Benjamin	NP	Benjamin
netanyahu	NP	netanyahu
'	POS	'
s	NN	S
government	NN	government
has	VHZ	have
voted	VVN	vote
to	TO	to
ban	VV	ban
the	DT	the
Qatari	JJ	Qatari
broadcaster	NN	broadcaster
Al	NP	Al
jazer	NN	jazer
from	IN	from
operating	VVG	operate
in	IN	in
Israel	NP	Israel
the	DT	the
decision	NN	decision
follows	VVZ	follow
a	DT	a
law	NN	law
passed	VVN	pass
by	IN	by
the	DT	the
Israeli	JJ	Israeli
knesset	NN	Knesset
that	WDT	that
allows	VVZ	allow
the	DT	the
temporary	JJ	temporary
closure	NN	closure
of	IN	of
foreign	JJ	foreign
broadcasters	NNS	broadcaster
considered	VVN	consider
to	TO	to
pose	VV	pose
a	DT	a
security	NN	security
threat	NN	threat
Israeli	JJ	Israeli
media	NNS	medium
say	VVP	say
the	DT	the
block	NN	block
can	MD	can
last	VV	last
up	RP	up
to	TO	to
45	CD	@card@
days	NNS	day
the	DT	the
head	NN	head
of	IN	of
alzer	NP	alzer
'	POS	'
s	JJ	s
Israeli	JJ	Israeli
operation	NN	operation
called	VVD	call
the	DT	the
ban	NN	ban
dangerous	JJ	dangerous
and	CC	and
said	VVD	say
it	PP	it
was	VBD	be
motivated	VVN	motivate
by	IN	by
politics	NNS	politics
journalist	NN	journalist
balag	NN	balag
sladin	NN	sladin
joins	VVZ	join
me	PP	me
now	RB	now
from	IN	from
Tel	NP	Tel
Aviv	NP	Aviv
thanks	NNS	thanks
for	IN	for
coming	VVG	come
on	IN	on
um	NNS	um
what	WP	what
is	VBZ	be
netanyahu	NP	netanyahu
'	POS	'
s	JJ	s
cabinet	NN	cabinet
saying	VVG	say
about	RB	about
why	WRB	why
they	PP	they
made	VVD	make
this	DT	this
decision	NN	decision
well	RB	well
there	EX	there
are	VBP	be
some	DT	some
things	NNS	thing
that	IN/that	that
they	PP	they
are	VBP	be
saying	VVG	say
publicly	RB	publicly
and	CC	and
others	NNS	other
that	IN/that	that
they	PP	they
are	VBP	be
not	RB	not
saying	VVG	say
publicly	RB	publicly
in	IN	in
terms	NNS	term
of	IN	of
what	WP	what
they	PP	they
are	VBP	be
saying	VVG	say
publicly	RB	publicly
is	VBZ	be
that	IN/that	that
the	DT	the
law	NN	law
comes	VVZ	come
not	RB	not
to	TO	to
uh	UH	uh
close	VV	close
El	NP	El
jazer	NN	jazer
specifically	RB	specifically
but	CC	but
the	DT	the
law	NN	law
itself	PP	itself
says	VVZ	say
that	IN/that	that
any	DT	any
media	NNS	medium
outlet	NN	outlet
that	WDT	that
does	VVZ	do
harm	VV	harm
Israel	NP	Israel
'	POS	'
s	NN	S
security	NN	security
will	MD	will
be	VB	be
closed	VVN	close
now	RB	now
we	PP	we
'	POS	'
ve	JJ	ve
seen	VVN	see
that	IN/that	that
with	IN	with
withad	NN	withad
a	DT	a
couple	NN	couple
of	IN	of
months	NNS	month
ago	RB	ago
as	RB	as
well	RB	well
but	CC	but
now	RB	now
we	PP	we
'	''	'
re	IN	re
seeing	VVG	see
it	PP	it
with	IN	with
a	DT	a
different	JJ	different
and	CC	and
a	DT	a
more	JJR	more
uh	UH	uh
influential	JJ	influential
media	NNS	medium
which	WDT	which
is	VBZ	be
El	NP	El
jazer	NP	jazer
it	PP	it
'	POS	'
s	NN	S
not	RB	not
mentioned	VVN	mention
actually	RB	actually
in	IN	in
the	DT	the
law	NN	law
but	CC	but
of	IN	of
course	NN	course
everyone	NN	everyone
knows	VVZ	know
that	IN/that	that
that	DT	that
'	''	'
s	NNS	s
what	WP	what
we	PP	we
are	VBP	be
talking	VVG	talk
about	RB	about
why	WRB	why
El	NP	El
jazer	NN	jazer
hurting	VVG	hurt
or	CC	or
harming	VVG	harm
Israel	NP	Israel
'	POS	'
s	NN	S
security	NN	security
well	RB	well
there	RB	there
have	VH	have
been	VBN	be
many	JJ	many
accusations	NNS	accusation
throughout	IN	throughout
the	DT	the
years	NNS	year
that	IN/that	that
El	NP	El
jazer	NP	jazer
are	VBP	be
using	VVG	use
the	DT	the
reporters	NNS	reporter
in	IN	in
order	NN	order
to	TO	to
report	VV	report
from	IN	from
places	NNS	place
that	WDT	that
are	VBP	be
not	RB	not
entirely	RB	entirely
accept	VV	accept
CED	NP	CED
by	IN	by
the	DT	the
military	NN	military
some	DT	some
things	NNS	thing
that	IN/that	that
the	DT	the
military	JJ	military
does	NNS	doe
censor	VVP	censor
that	IN/that	that
they	PP	they
are	VBP	be
saying	VVG	say
with	IN	with
no	DT	no
censorship	NN	censorship
these	DT	these
accusations	NNS	accusation
we	PP	we
have	VHP	have
heard	VVN	hear
over	IN	over
the	DT	the
years	NNS	year
but	CC	but
it	PP	it
'	POS	'
s	NNS	s
happening	VVG	happen
right	RB	right
now	RB	now
and	CC	and
this	DT	this
is	VBZ	be
the	DT	the
big	JJ	big
question	NN	question
why	WRB	why
right	NN	right
now	RB	now
specifically	RB	specifically
some	DT	some
are	VBP	be
saying	VVG	say
um	NNS	um
in	IN	in
the	DT	the
background	NN	background
of	IN	of
the	DT	the
war	NN	war
El	NP	El
jazer	NN	jazer
with	IN	with
in	IN	in
its	PP$	its
influential	JJ	influential
uh	UH	uh
um	JJ	um
coverage	NN	coverage
in	IN	in
the	DT	the
Arab	JJ	Arab
world	NN	world
in	IN	in
general	NN	general
they	PP	they
are	VBP	be
of	IN	of
course	VV	course
uh	UH	uh
um	NNS	um
hurting	VVG	hurt
Israel	NP	Israel
'	POS	'
s	JJ	s
um	JJ	um
stance	NN	stance
or	CC	or
repution	NN	repution
in	IN	in
the	DT	the
world	NN	world
something	NN	something
that	IN/that	that
Israel	NP	Israel
cares	VVZ	care
about	RB	about
and	CC	and
it	PP	it
'	POS	'
s	NN	S
also	RB	also
Championship	NN	championship
championing	VVG	champion
excuse	NN	excuse
me	PP	me
Hamas	VVZ	Hamas
and	CC	and
what	WP	what
they	PP	they
call	VVP	call
the	DT	the
Islamic	JJ	Islamic
resistance	NN	resistance
or	CC	or
the	DT	the
Palestinian	JJ	Palestinian
resistance	NN	resistance
in	IN	in
general	JJ	general
what	WP	what
they	PP	they
'	POS	'
re	NN	re
not	RB	not
saying	VVG	say
publicly	RB	publicly
is	VBZ	be
that	IN/that	that
the	DT	the
Israeli	JJ	Israeli
cabinet	NN	cabinet
knows	VVZ	know
that	IN/that	that
no	DT	no
one	CD	one
actually	RB	actually
is	VBZ	be
putting	VVG	put
any	DT	any
pressure	NN	pressure
on	IN	on
Qatar	NP	Qatar
the	DT	the
owner	NN	owner
of	IN	of
Al	NP	Al
jazer	NN	jazer
to	TO	to
pressure	VV	pressure
Hamas	NNS	Hamas
in	IN	in
this	DT	this
deal	NN	deal
so	IN	so
they	PP	they
'	POS	'
re	NN	re
trying	VVG	try
to	TO	to
do	VV	do
something	NN	something
to	TO	to
make	VV	make
it	PP	it
lose	VV	lose
something	NN	something
so	RB	so
maybe	RB	maybe
it	PP	it
can	MD	can
hurt	VV	hurt
it	PP	it
can	MD	can
press	VV	press
now	RB	now
you	PP	you
touched	VVD	touch
on	IN	on
this	DT	this
a	DT	a
little	JJ	little
bit	NN	bit
but	CC	but
practically	RB	practically
speaking	VVG	speak
what	WP	what
does	VVZ	do
this	DT	this
actually	RB	actually
mean	VVP	mean
the	DT	the
closure	NN	closure
of	IN	of
alzer	NP	alzer
'	POS	'
s	JJ	s
offices	NNS	office
in	IN	in
Jerusalem	NP	Jerusalem
uh	UH	uh
which	WDT	which
they	PP	they
have	VHP	have
and	CC	and
to	TO	to
clarify	VV	clarify
does	VVZ	do
this	DT	this
impact	NN	impact
alzer	NP	alzer
'	POS	'
s	JJ	s
reporting	NN	reporting
operations	NNS	operation
in	IN	in
Gaza	NP	Gaza
well	RB	well
I	NP	I
'	POS	'
ve	NN	ve
talked	VVD	talk
to	TO	to
my	PP$	my
colleagues	NNS	colleague
in	IN	in
jazer	NN	jazer
that	WDT	that
are	VBP	be
working	VVG	work
here	RB	here
um	NN	um
that	WDT	that
does	VVZ	do
mean	VV	mean
that	IN/that	that
they	PP	they
will	MD	will
close	VV	close
the	DT	the
offices	NNS	office
of	IN	of
Al	NP	Al
jazer	NP	jazer
in	IN	in
Jerusalem	NP	Jerusalem
but	CC	but
the	DT	the
law	NN	law
and	CC	and
it	PP	it
states	VVZ	state
that	IN/that	that
clearly	RB	clearly
we	PP	we
are	VBP	be
talking	VVG	talk
about	RB	about
only	RB	only
only	RB	only
the	DT	the
67	CD	@card@
borders	NNS	border
so	RB	so
inside	IN	inside
proper	JJ	proper
Israel	NP	Israel
we	PP	we
'	POS	'
re	NN	re
talking	VVG	talk
about	IN	about
the	DT	the
Gan	NP	Gan
Heights	NP	Heights
of	IN	of
course	NN	course
Israel	NP	Israel
itself	PP	itself
and	CC	and
