<video_id>cX6WYo70i28</video_id>	NP	<video_id>cX6WYo70i28</video_id>
<video_title>Israel	NP	<video_title>Israel
pushes	VVZ	push
ahead	RB	ahead
with	IN	with
a	DT	a
military	JJ	military
operation	NN	operation
in	IN	in
Rafah	NP	Rafah
as	IN	as
cease-fire	NN	cease-fire
talks	NNS	talk
continue	VVP	continue
|	SYM	|
DW	NP	DW
News</video_title>	NP	News</video_title>
<thumbnail_path>en_DW\Israel	NP	<thumbnail_path>en_DW\Israel
pushes	VVZ	push
ahead	RB	ahead
with	IN	with
a	DT	a
military	JJ	military
operation	NN	operation
in	IN	in
Rafah	NP	Rafah
as	IN	as
cease-fire	NN	cease-fire
talks	NNS	talk
continue	VVP	continue
DW	NP	DW
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20240507</publish_date>	NP	<publish_date>20240507</publish_date>
<doc>	NP	<doc>
Israel's	NP	Israel's
military	NN	military
says	VVZ	say
it	PP	it
now	RB	now
has	VHZ	have
operational	JJ	operational
control	NN	control
of	IN	of
the	DT	the
gazen	JJ	gazen
side	NN	side
of	IN	of
the	DT	the
Rafa	NP	Rafa
Crossing	VVG	cross
it	PP	it
has	VHZ	have
released	VVN	release
these	DT	these
images	NNS	image
claiming	VVG	claim
to	TO	to
show	VV	show
armored	JJ	armored
vehicles	NNS	vehicle
in	IN	in
Rafa	NP	Rafa
Israel's	NP	Israel's
push	NN	push
into	IN	into
the	DT	the
area	NN	area
comes	VVZ	come
as	RB	as
as	RB	as
as	IN	as
an	DT	an
Israeli	JJ	Israeli
delegation	NN	delegation
heads	NNS	head
to	TO	to
Egypt	NP	Egypt
for	IN	for
more	JJR	more
talks	NNS	talk
on	IN	on
a	DT	a
ceasefire	NN	ceasefire
proposal	NN	proposal
Hamas	NN	Hamas
which	WDT	which
carried	VVD	carry
out	RP	out
the	DT	the
October	NP	October
the	DT	the
7th	JJ	7th
Terror	NN	terror
attacks	NNS	attack
had	VHD	have
already	RB	already
accepted	VVN	accept
the	DT	the
terms	NNS	term
of	IN	of
the	DT	the
truth	NN	truth
but	CC	but
Israel	NP	Israel
says	VVZ	say
negotiations	NNS	negotiation
need	VVP	need
to	TO	to
continue	VV	continue
DW	NN	DW
correspondent	JJ	correspondent
Rebecca	NP	Rebecca
rers	NNS	rers
is	VBZ	be
in	IN	in
Jerusalem	NP	Jerusalem
and	CC	and
she	PP	she
told	VVD	tell
us	PP	us
