meantime	RB	meantime
it	PP	it
has	VHZ	have
been	VBN	be
1	CD	@card@
month	NN	month
since	IN	since
the	DT	the
international	JJ	international
court	NN	court
of	IN	of
justice	NN	justice
ordered	VVN	order
Israel	NP	Israel
to	TO	to
prevent	VV	prevent
genocide	NN	genocide
in	IN	in
Gaza	NP	Gaza
the	DT	the
icj	NN	icj
gave	VVD	give
Israel	NP	Israel
until	IN	until
today	NN	today
to	TO	to
submit	VV	submit
a	DT	a
report	NN	report
showing	VVG	show
that	IN/that	that
it	PP	it
is	VBZ	be
complying	VVG	comply
with	IN	with
six	CD	six
separate	JJ	separate
orders	NNS	order
the	DT	the
court	NN	court
did	VVD	do
not	RB	not
find	VV	find
that	IN/that	that
Israel	NP	Israel
was	VBD	be
committing	VVG	commit
genocide	NN	genocide
that	IN/that	that
matter	NN	matter
is	VBZ	be
still	RB	still
under	IN	under
consideration	NN	consideration
but	CC	but
nevertheless	RB	nevertheless
issued	VVD	issue
six	CD	six
orders	NNS	order
meant	VVN	mean
to	TO	to
make	VV	make
sure	JJ	sure
genocide	NN	genocide
does	VVZ	do
not	RB	not
happen	VV	happen
the	DT	the
court	NN	court
says	VVZ	say
that	IN/that	that
Israel	NP	Israel
must	MD	must
quote	VV	quote
do	VV	do
everything	NN	everything
it	PP	it
can	MD	can
to	TO	to
prevent	VV	prevent
acts	NNS	act
that	WDT	that
could	MD	could
fall	VV	fall
within	IN	within
the	DT	the
scope	NN	scope
of	IN	of
the	DT	the
UN	NP	UN
convention	NN	convention
on	IN	on
genocide	NN	genocide
make	VV	make
sure	RB	sure
its	PP$	its
military	NN	military
does	VVZ	do
not	RB	not
commit	VV	commit
any	DT	any
acts	NNS	act
covered	VVN	cover
by	IN	by
that	DT	that
convention	NN	convention
prevent	VV	prevent
and	CC	and
punish	VV	punish
incitement	NN	incitement
that	WDT	that
could	MD	could
encourage	VV	encourage
genocide	NN	genocide
enable	VV	enable
urgently	RB	urgently
needed	VVN	need
basic	JJ	basic
services	NNS	service
and	CC	and
humanitarian	JJ	humanitarian
assistance	NN	assistance
make	VV	make
sure	JJ	sure
that	IN/that	that
any	DT	any
evidence	NN	evidence
that	WDT	that
could	MD	could
point	VV	point
to	TO	to
genocide	NN	genocide
is	VBZ	be
not	RB	not
destroyed	VVN	destroy
Israel	NP	Israel
was	VBD	be
ordered	VVN	order
to	TO	to
submit	VV	submit
a	DT	a
report	NN	report
of	IN	of
its	PP$	its
compliance	NN	compliance
by	IN	by
today	NN	today
let	NN	let
'	POS	'
s	NNS	s
get	VVP	get
more	JJR	more
on	IN	on
this	DT	this
we	PP	we
are	VBP	be
joined	VVN	join
by	IN	by
Professor	NP	Professor
Shantal	NP	Shantal
Malone	NP	Malone
she	PP	she
'	POS	'
s	NN	S
joining	VVG	join
us	PP	us
from	IN	from
Berlin	NP	Berlin
where	WRB	where
she	PP	she
is	VBZ	be
with	IN	with
the	DT	the
European	JJ	European
Center	NN	center
for	IN	for
constitutional	JJ	constitutional
and	CC	and
human	JJ	human
rights	NNS	right
and	CC	and
also	RB	also
an	DT	an
international	JJ	international
law	NN	law
professor	NN	professor
at	IN	at
the	DT	the
University	NP	University
of	IN	of
Milan	NP	Milan
welcome	VVP	welcome
to	TO	to
