<video_id>Ob29-6FP1LM</video_id>	NP	<video_id>Ob29-6FP1LM</video_id>
<video_title>Israel,	NP	<video_title>Israel,
Hamas	NP	Hamas
close	NN	close
to	TO	to
reaching	VVG	reach
hostage	NN	hostage
release	NN	release
deal	NN	deal
|	SYM	|
DW	NP	DW
News</video_title>	NP	News</video_title>
<thumbnail_path>en_DW\Israel,	NP	<thumbnail_path>en_DW\Israel,
Hamas	NP	Hamas
close	NN	close
to	TO	to
reaching	VVG	reach
hostage	NN	hostage
release	NN	release
deal	NN	deal
DW	NP	DW
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20231121</publish_date>	NP	<publish_date>20231121</publish_date>
<doc>	NP	<doc>
Israel	NP	Israel
and	CC	and
Hamas	NP	Hamas
appear	VVP	appear
to	TO	to
be	VB	be
on	IN	on
the	DT	the
verge	NN	verge
of	IN	of
an	DT	an
agreement	NN	agreement
to	TO	to
release	VV	release
some	DT	some
of	IN	of
the	DT	the
hostages	NNS	hostage
being	VBG	be
held	VVN	hold
in	IN	in
Gaza	NP	Gaza
prime	JJ	prime
minister	NN	minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
says	VVZ	say
he	PP	he
has	VHZ	have
summoned	VVN	summon
his	PP$	his
War	NP	War
cabinet	NN	cabinet
to	TO	to
address	VV	address
what	WP	what
he	PP	he
called	VVD	call
developments	NNS	development
in	IN	in
the	DT	the
matter	NN	matter
of	IN	of
the	DT	the
release	NN	release
of	IN	of
our	PP$	our
hostages	NNS	hostage
the	DT	the
political	JJ	political
leader	NN	leader
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
militants	NNS	militant
ISM	NN	ism
Han	NP	Han
has	VHZ	have
said	VVN	say
that	IN/that	that
negotiators	NNS	negotiator
are	VBP	be
quote	NN	quote
close	JJ	close
to	TO	to
reaching	VVG	reach
a	DT	a
deal	NN	deal
it's	NNS	it's
thought	VVD	think
the	DT	the
agreement	NN	agreement
would	MD	would
see	VV	see
a	DT	a
swap	NN	swap
of	IN	of
Palestinian	JJ	Palestinian
prisoners	NNS	prisoner
being	VBG	be
held	VVN	hold
in	IN	in
Israeli	JJ	Israeli
jails	NNS	jail
for	IN	for
a	DT	a
significant	JJ	significant
number	NN	number
of	IN	of
Israeli	JJ	Israeli
hostages	NNS	hostage
taken	VVN	take
by	IN	by
Hamas	NP	Hamas
on	IN	on
October	NP	October
7th	JJ	7th
a	DT	a
temporary	JJ	temporary
truce	NN	truce
of	IN	of
several	JJ	several
days	NNS	day
is	VBZ	be
also	RB	also
said	VVN	say
to	TO	to
be	VB	be
part	NN	part
of	IN	of
the	DT	the
deal	NN	deal
as	RB	as
is	VBZ	be
the	DT	the
movement	NN	movement
of	IN	of
humanitarian	JJ	humanitarian
Aid	NN	aid
into	IN	into
Gaza	NP	Gaza
US	NP	US
President	NP	President
Joe	NP	Joe
Biden	NP	Biden
told	VVD	tell
reporters	NNS	reporter
that	IN/that	that
he	PP	he
is	VBZ	be
very	RB	very
hopeful	JJ	hopeful
the	DT	the
hostages	NNS	hostage
will	MD	will
be	VB	be
free	JJ	free
soon	RB	soon
we	PP	we
working	VVG	work
on	IN	on
this	DT	this
intensively	RB	intensively
for	IN	for
weeks	NNS	week
as	IN	as
you	PP	you
all	RB	all
know	VVP	know
I've	NN	I've
spoken	VVN	speak
recently	RB	recently
about	IN	about
it	PP	it
with	IN	with
both	CC	both
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
Netanyahu	NP	Netanyahu
and	CC	and
the	DT	the
uh	UH	uh
M	NN	M
cutter	NN	cutter
and	CC	and
my	PP$	my
team	NN	team
has	VHZ	have
been	VBN	be
in	IN	in
the	DT	the
region	NN	region
shuttering	NN	shuttering
shuttling	VVG	shuttle
uh	UH	uh
between	IN	between
capitals	NNS	capital
we	PP	we
uh	UH	uh
we're	NN	we're
now	RB	now
very	RB	very
close	VV	close
very	RB	very
close	VV	close
uh	UH	uh
we	PP	we
could	MD	could
bring	VV	bring
some	DT	some
of	IN	of
these	DT	these
hostages	NNS	hostage
home	NN	home
very	RB	very
soon	RB	soon
but	CC	but
I	PP	I
don't	VVD	don't
want	VV	want
to	TO	to
get	VV	get
into	IN	into
into	IN	into
the	DT	the
details	NNS	detail
of	IN	of
things	NNS	thing
because	IN	because
nothing	NN	nothing
is	VBZ	be
done	VVN	do
until	IN	until
it's	NNS	it's
done	VVN	do
and	CC	and
uh	UH	uh
when	WRB	when
we	PP	we
have	VHP	have
more	RBR	more
to	TO	to
say	VV	say
we	PP	we
will	MD	will
but	CC	but
things	NNS	thing
are	VBP	be
looking	VVG	look
good	JJ	good
at	IN	at
the	DT	the
moment	NN	moment
now	RB	now
several	JJ	several
families	NNS	family
of	IN	of
Israel	NP	Israel
hostages	NNS	hostage
have	VHP	have
voiced	VVN	voice
concern	NN	concern
that	IN/that	that
the	DT	the
country's	JJ	country's
War	NP	War
cabinet	NN	cabinet
isn't	NN	isn't
doing	VVG	do
enough	RB	enough
to	TO	to
bring	VV	bring
their	PP$	their
loved	VVN	love
ones	NNS	one
home	NN	home
relatives	NNS	relative
met	VVN	meet
with	IN	with
lawmakers	NNS	lawmaker
to	TO	to
urge	VV	urge
them	PP	them
not	RB	not
to	TO	to
pursue	VV	pursue
legislation	NN	legislation
that	WDT	that
would	MD	would
allow	VV	allow
the	DT	the
death	NN	death
penalty	NN	penalty
for	IN	for
captured	VVN	capture
Palestinian	JJ	Palestinian
militants	NNS	militant
relatives	NNS	relative
of	IN	of
hostages	NNS	hostage
protesting	VVG	protest
in	IN	in
Tel	NP	Tel
Aviv	NP	Aviv
as	IN	as
Israel's	NP	Israel's
prime	JJ	prime
minister	NN	minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
summoned	VVD	summon
his	PP$	his
War	NP	War
cabinet	NN	cabinet
admit	VVP	admit
growing	VVG	grow
signs	NNS	sign
that	IN/that	that
a	DT	a
deal	NN	deal
to	TO	to
release	VV	release
hostages	NNS	hostage
taken	VVN	take
by	IN	by
Hamas	NP	Hamas
could	MD	could
be	VB	be
emminent	JJ	emminent
our	PP$	our
second	JJ	second
goal	NN	goal
is	VBZ	be
the	DT	the
return	NN	return
of	IN	of
the	DT	the
hostages	NNS	hostage
we're	NN	we're
making	VVG	make
progress	NN	progress
I	PP	I
don't	VVD	don't
think	VV	think
it's	JJ	it's
worth	NN	worth
saying	VVG	say
too	RB	too
much	RB	much
not	RB	not
at	IN	at
even	RB	even
this	DT	this
moment	NN	moment
but	CC	but
I	PP	I
hope	VVP	hope
there	EX	there
will	MD	will
be	VB	be
good	JJ	good
news	NN	news
soon	RB	soon
we	PP	we
are	VBP	be
now	RB	now
at	IN	at
the	DT	the
closest	JJS	close
point	NN	point
we	PP	we
ever	RB	ever
have	VHP	have
been	VBN	be
uh	UH	uh
in	IN	in
in	IN	in
reaching	VVG	reach
and	CC	and
an	DT	an
agreement	NN	agreement
we	PP	we
are	VBP	be
very	RB	very
optimistic	JJ	optimistic
we	PP	we
are	VBP	be
very	RB	very
hopeful	JJ	hopeful
but	CC	but
uh	UH	uh
we	PP	we
are	VBP	be
also	RB	also
very	RB	very
keen	JJ	keen
for	IN	for
this	DT	this
uh	UH	uh
mediation	NN	mediation
to	TO	to
to	TO	to
succeed	VV	succeed
in	IN	in
reaching	VVG	reach
a	DT	a
humanitarian	JJ	humanitarian
truth	NN	truth
the	DT	the
tentative	JJ	tentative
deal	NN	deal
could	MD	could
see	VV	see
the	DT	the
release	NN	release
of	IN	of
over	RB	over
50	CD	@card@
hostages	NNS	hostage
sources	NNS	source
say	VVP	say
the	DT	the
progress	NN	progress
comes	VVZ	come
after	IN	after
some	DT	some
families	NNS	family
accused	VVD	accuse
a	DT	a
knesset's	JJ	knesset's
national	JJ	national
security	NN	security
Committee	NP	Committee
of	IN	of
endangering	VVG	endanger
the	DT	the
lives	NNS	life
of	IN	of
their	PP$	their
missing	JJ	missing
loved	VVN	love
ones	NNS	one
now	RB	now
there's	RB	there's
some	DT	some
optimism	NN	optimism
I	PP	I
think	VVP	think
the	DT	the
only	JJ	only
thing	NN	thing
that	IN/that	that
I	PP	I
could	MD	could
call	VV	call
Justice	NN	justice
is	VBZ	be
bring	VV	bring
everyone	NN	everyone
back	RB	back
home	RB	home
but	CC	but
I	PP	I
do	VVP	do
understand	VV	understand
that	IN/that	that
it's	NNS	it's
difficult	JJ	difficult
and	CC	and
I	PP	I
hope	VVP	hope
this	DT	this
deal	NN	deal
will	MD	will
help	VV	help
us	PP	us
bring	VV	bring
everybody	NN	everybody
back	RB	back
home	RB	home
as	IN	as
well	RB	well
and	CC	and
I'm	NP	I'm
really	RB	really
hopeful	JJ	hopeful
that	IN/that	that
they'll	NN	they'll
come	VVN	come
back	RB	back
soon	RB	soon
many	JJ	many
here	RB	here
don't	NN	don't
want	VVP	want
to	TO	to
risk	VV	risk
anything	NN	anything
now	RB	now
that	IN/that	that
a	DT	a
return	NN	return
of	IN	of
at	IN	at
least	JJS	least
some	DT	some
of	IN	of
the	DT	the
captives	NNS	captive
could	MD	could
be	VB	be
just	RB	just
around	IN	around
the	DT	the
corner	NN	corner
let's	NNS	let's
take	VVP	take
you	PP	you
live	VVP	live
to	TO	to
Tel	NP	Tel
Aviv	NP	Aviv
now	RB	now
where	WRB	where
relatives	NNS	relative
of	IN	of
hostages	NNS	hostage
are	VBP	be
protesting	VVG	protest
demanding	VVG	demand
the	DT	the
release	NN	release
of	IN	of
their	PP$	their
loved	VVN	love
ones	NNS	one
and	CC	and
more	JJR	more
action	NN	action
from	IN	from
the	DT	the
government	NN	government
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
is	VBZ	be
currently	RB	currently
meeting	VVG	meet
with	IN	with
members	NNS	member
of	IN	of
his	PP$	his
cabinet	NN	cabinet
to	TO	to
hammer	VV	hammer
out	RP	out
the	DT	the
last	JJ	last
details	NNS	detail
of	IN	of
the	DT	the
possible	JJ	possible
release	NN	release
of	IN	of
50	CD	@card@
Israeli	JJ	Israeli
hostages	NNS	hostage
as	IN	as
it's	NNS	it's
being	VBG	be
reported	VVN	report
earlier	RBR	earlier
a	DT	a
Us	NP	U
official	NN	official
quoted	VVN	quote
by	IN	by
the	DT	the
Reuters	NP	Reuters
news	NN	news
agency	NN	agency
said	VVD	say
any	DT	any
hostages	NNS	hostage
released	VVN	release
would	MD	would
mostly	RB	mostly
be	VB	be
women	NNS	woman
and	CC	and
children	NNS	child
with	IN	with
150	CD	@card@
Palestinian	JJ	Palestinian
prisoners	NNS	prisoner
freed	VVN	free
by	IN	by
Israel	NP	Israel
in	IN	in
exchange	NN	exchange
for	IN	for
them	PP	them
and	CC	and
we	PP	we
can	MD	can
now	RB	now
get	VV	get
more	RBR	more
from	IN	from
DW	JJ	DW
correspondent	NN	correspondent
Ben	NP	Ben
fulin	NN	fulin
who	WP	who
joins	VVZ	join
us	PP	us
from	IN	from
Jerusalem	NP	Jerusalem
Ben	NP	Ben
what	WP	what
are	VBP	be
you	PP	you
you	PP	you
hearing	VVG	hear
about	IN	about
this	DT	this
hostage	NN	hostage
deal	NN	deal
and	CC	and
how	WRB	how
it	PP	it
might	MD	might
play	VV	play
out	RP	out
a	DT	a
military	JJ	military
spokesperson	NN	spokesperson
has	VHZ	have
just	RB	just
uh	UH	uh
front	NN	front
of	IN	of
the	DT	the
media	NNS	medium
and	CC	and
said	VVD	say
that	IN/that	that
progress	NN	progress
is	VBZ	be
being	VBG	be
made	VVN	make
uh	UH	uh
that's	NNS	that's
what	WP	what
we're	RB	we're
being	VBG	be
told	VVN	tell
from	IN	from
all	DT	all
sides	VVZ	side
uh	UH	uh
from	IN	from
the	DT	the
Americans	NPS	Americans
from	IN	from
the	DT	the
Qatari	JJ	Qatari
side	NN	side
the	DT	the
mediators	NNS	mediator
or	CC	or
the	DT	the
main	JJ	main
mediators	NNS	mediator
in	IN	in
this	DT	this
Hamas	NN	Hamas
as	IN	as
well	RB	well
saying	VVG	say
that	IN/that	that
the	DT	the
ball	NN	ball
is	VBZ	be
in	IN	in
Israel's	NP	Israel's
court	NN	court
and	CC	and
uh	UH	uh
we've	NN	we've
had	VHD	have
tonight	RB	tonight
uh	UH	uh
extraordinary	JJ	extraordinary
meetings	NNS	meeting
by	IN	by
the	DT	the
war	NN	war
cabinet	NN	cabinet
followed	VVN	follow
by	IN	by
the	DT	the
SEC	NP	SEC
security	NN	security
cabinet	NN	cabinet
a	DT	a
wider	JJR	wide
cabinet	NN	cabinet
and	CC	and
also	RB	also
uh	UH	uh
the	DT	the
government	NN	government
now	IN	now
uh	UH	uh
a	DT	a
deal	NN	deal
is	VBZ	be
on	IN	on
the	DT	the
cusp	NN	cusp
according	VVG	accord
to	TO	to
all	DT	all
sources	NNS	source
but	CC	but
we're	NN	we're
yet	RB	yet
to	TO	to
have	VH	have
been	VBN	be
told	VVN	tell
what's	JJ	what's
going	NN	going
on	IN	on
uh	UH	uh
whether	IN	whether
or	CC	or
not	RB	not
a	DT	a
