<video_id>5XBKuPfL38U</video_id>	JJ	<video_id>5XBKuPfL38U</video_id>
<video_title>Israel-Hamas	NNS	<video_title>Israel-Hamas
war:	JJ	war:
Two	CD	two
US	NP	US
hostages	NNS	hostage
released	VVN	release
by	IN	by
Hamas	NP	Hamas
|	SYM	|
DW	JJ	DW
News</video_title>	NP	News</video_title>
<thumbnail_path>en_DW\Israel-Hamas	NN	<thumbnail_path>en_DW\Israel-Hamas
war	NN	war
Two	CD	two
US	NP	US
hostages	NNS	hostage
released	VVN	release
by	IN	by
Hamas	NP	Hamas
DW	NP	DW
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20231020</publish_date>	NN	<publish_date>20231020</publish_date>
<doc>	NN	<doc>
we	PP	we
begin	VVP	begin
with	IN	with
some	DT	some
developing	VVG	develop
news	NN	news
Hamas	NN	Hamas
says	VVZ	say
it	PP	it
has	VHZ	have
released	VVN	release
two	CD	two
American	JJ	American
hostages	NNS	hostage
for	IN	for
what	WP	what
it	PP	it
calls	VVZ	call
humanitarian	JJ	humanitarian
reasons	NNS	reason
the	DT	the
mother	NN	mother
and	CC	and
daughter	NN	daughter
were	VBD	be
among	IN	among
around	RB	around
200	CD	@card@
captives	NNS	captive
abducted	VVN	abduct
by	IN	by
Hamas	NNS	Hamas
during	IN	during
its	PP$	its
Terror	NN	terror
attacks	NNS	attack
in	IN	in
Israel	NP	Israel
on	IN	on
October	NP	October
7th	JJ	7th
the	DT	the
Israeli	JJ	Israeli
Prime	NP	Prime
Minister's	NP	Minister's
office	NN	office
says	VVZ	say
the	DT	the
freed	VVN	free
hostages	NNS	hostage
are	VBP	be
being	VBG	be
taken	VVN	take
to	TO	to
a	DT	a
military	JJ	military
base	NN	base
they've	NN	they've
been	VBN	be
named	VVN	name
as	IN	as
Judith	NP	Judith
and	CC	and
Natalie	NP	Natalie
ranan	NP	ranan
and	CC	and
we	PP	we
can	MD	can
now	RB	now
bring	VV	bring
in	IN	in
journalist	NN	journalist
Sami	NP	Sami
so	IN	so
he	PP	he
joins	VVZ	join
us	PP	us
from	IN	from
Jerusalem	NP	Jerusalem
Sami	NP	Sami
what	WP	what
more	JJR	more
can	MD	can
you	PP	you
tell	VV	tell
us	PP	us
about	IN	about
the	DT	the
hostages	NNS	hostage
who've	NN	who've
been	VBN	be
released	VVN	release
yeah	RB	yeah
well	RB	well
Judith	NP	Judith
and	CC	and
her	PP$	her
daughter	NN	daughter
Natalie	NP	Natalie
they're	NN	they're
from	IN	from
suburb	NN	suburb
outside	IN	outside
Chicago	NP	Chicago
and	CC	and
they	PP	they
were	VBD	be
visiting	VVG	visit
family	NN	family
in	IN	in
nalo	NN	nalo
which	WDT	which
is	VBZ	be
adjacent	JJ	adjacent
to	TO	to
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
they	PP	they
have	VHP	have
relatives	NNS	relative
in	IN	in
in	IN	in
that	DT	that
area	NN	area
and	CC	and
they	PP	they
were	VBD	be
abducted	VVN	abduct
by	IN	by
Hamas	JJ	Hamas
um	NNS	um
what	WP	what
we	PP	we
know	VVP	know
is	VBZ	be
that	IN/that	that
probably	RB	probably
Judith	NP	Judith
has	VHZ	have
some	DT	some
medical	JJ	medical
issue	NN	issue
and	CC	and
Hamas	NN	Hamas
they	PP	they
say	VVP	say
that	IN/that	that
they	PP	they
released	VVD	release
the	DT	the
two	CD	two
of	IN	of
them	PP	them
for	IN	for
humanitarian	JJ	humanitarian
uh	UH	uh
reasons	VVZ	reason
uh	UH	uh
the	DT	the
two	CD	two
of	IN	of
them	PP	them
have	VHP	have
crossed	VVN	cross
uh	UH	uh
to	TO	to
the	DT	the
crossed	VVD	cross
the	DT	the
border	NN	border
into	IN	into
Israel	NP	Israel
um	NNS	um
they	PP	they
have	VHP	have
been	VBN	be
taken	VVN	take
to	TO	to
a	DT	a
military	JJ	military
base	NN	base
and	CC	and
from	IN	from
there	RB	there
they're	NN	they're
going	VVG	go
to	TO	to
be	VB	be
taken	VVN	take
uh	UH	uh
to	TO	to
a	DT	a
military	JJ	military
location	NN	location
inside	IN	inside
Israel	NP	Israel
where	WRB	where
they're	JJ	they're
going	VVG	go
toet	NN	toet
meet	VV	meet
their	PP$	their
relatives	NNS	relative
this	DT	this
evening	NN	evening
there's	RB	there's
going	VVG	go
to	TO	to
be	VB	be
a	DT	a
meeting	NN	meeting
between	IN	between
the	DT	the
two	CD	two
and	CC	and
their	PP$	their
relatives	NNS	relative
and	CC	and
this	DT	this
was	VBD	be
also	RB	also
released	VVN	release
from	IN	from
the	DT	the
Israeli	NP	Israeli
Prime	NP	Prime
Minister's	NP	Minister's
office	NN	office
and	CC	and
what	WP	what
do	VVP	do
we	PP	we
know	VVP	know
about	IN	about
the	DT	the
welfare	NN	welfare
of	IN	of
the	DT	the
hostages	NNS	hostage
who	WP	who
are	VBP	be
still	RB	still
being	VBG	be
held	VVN	hold
by	IN	by
Hamas	NP	Hamas
Israel	NP	Israel
says	VVZ	say
most	RBS	most
of	IN	of
them	PP	them
are	VBP	be
alive	RB	alive
now	RB	now
well	RB	well
we	PP	we
don't	VVD	don't
know	VV	know
much	JJ	much
uh	UH	uh
we	PP	we
know	VVP	know
that	IN/that	that
they're	NN	they're
held	VVD	hold
both	DT	both
by	IN	by
Hamas	NP	Hamas
and	CC	and
also	RB	also
the	DT	the
Islamic	NP	Islamic
Jihad	NP	Jihad
at	IN	at
the	DT	the
time	NN	time
said	VVD	say
that	IN/that	that
they're	NN	they're
holding	VVG	hold
some	DT	some
uh	UH	uh
30	CD	@card@
hostages	NNS	hostage
um	RB	um
we	PP	we
know	VVP	know
that	IN/that	that
there's	RB	there's
one	CD	one
video	NN	video
that	WDT	that
was	VBD	be
released	VVN	release
of	IN	of
a	DT	a
a	DT	a
a	DT	a
young	JJ	young
woman	NN	woman
that	WDT	that
is	VBZ	be
held	VVN	hold
the	DT	the
hostage	NN	hostage
in	IN	in
in	IN	in
Gaza	NP	Gaza
and	CC	and
that	WDT	that
was	VBD	be
released	VVN	release
during	IN	during
the	DT	the
week	NN	week
so	RB	so
so	RB	so
Hamas	NP	Hamas
has	VHZ	have
been	VBN	be
trying	VVG	try
to	TO	to
show	VV	show
that	IN/that	that
they	PP	they
are	VBP	be
capable	JJ	capable
of	IN	of
taking	VVG	take
care	NN	care
of	IN	of
these	DT	these
hostages	NNS	hostage
but	CC	but
also	RB	also
they're	NN	they're
giving	VVG	give
out	RP	out
the	DT	the
message	NN	message
that	IN/that	that
if	IN	if
Israel	NP	Israel
is	VBZ	be
continuing	VVG	continue
uh	UH	uh
with	IN	with
their	PP$	their
with	IN	with
bombing	VVG	bomb
the	DT	the
Gans	NP	Gans
of	IN	of
strip	NN	strip
