<video_id>upFEpXLRaSY</video_id>	JJ	<video_id>upFEpXLRaSY</video_id>
<video_title>Israeli	NN	<video_title>Israeli
airstrike	NN	airstrike
on	IN	on
vehicle	NN	vehicle
in	IN	in
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
kills	VVZ	kill
a	DT	a
Hamas	JJ	Hamas
commander	NN	commander
|	SYM	|
DW	NP	DW
News</video_title>	NP	News</video_title>
<thumbnail_path>en_DW\Israeli	NN	<thumbnail_path>en_DW\Israeli
airstrike	NN	airstrike
on	IN	on
vehicle	NN	vehicle
in	IN	in
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
kills	VVZ	kill
a	DT	a
Hamas	JJ	Hamas
commander	NN	commander
DW	NP	DW
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20240803</publish_date>	NN	<publish_date>20240803</publish_date>
<doc>	NN	<doc>
an	DT	an
Israeli	JJ	Israeli
air	NN	air
strike	NN	strike
on	IN	on
a	DT	a
vehicle	NN	vehicle
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
has	VHZ	have
killed	VVN	kill
a	DT	a
Hamas	NP	Hamas
Commander	NP	Commander
that's	NNS	that's
according	VVG	accord
to	TO	to
a	DT	a
media	NNS	medium
Outlet	NN	outlet
linked	VVN	link
to	TO	to
the	DT	the
group	NN	group
which	WDT	which
is	VBZ	be
classified	VVN	classify
as	IN	as
a	DT	a
terrorist	JJ	terrorist
organization	NN	organization
by	IN	by
many	JJ	many
countries	NNS	country
the	DT	the
Israeli	JJ	Israeli
military	NN	military
has	VHZ	have
confirmed	VVN	confirm
the	DT	the
attack	NN	attack
saying	VVG	say
it	PP	it
targeted	VVD	target
a	DT	a
militant	JJ	militant
cell	NN	cell
around	IN	around
the	DT	the
city	NN	city
of	IN	of
tulam	NN	tulam
it's	NNS	it's
the	DT	the
latest	JJS	late
in	IN	in
a	DT	a
series	NN	series
of	IN	of
strikes	NNS	strike
against	IN	against
hamas's	NN	hamas's
leadership	NN	leadership
raising	VVG	raise
concerns	NNS	concern
about	IN	about
a	DT	a
potential	JJ	potential
spillover	NNS	spillover
of	IN	of
the	DT	the
war	NN	war
in	IN	in
Gaza	NP	Gaza
it	PP	it
comes	VVZ	come
a	DT	a
day	NN	day
after	IN	after
the	DT	the
group's	NN	group's
leader	NN	leader
Ismael	NP	Ismael
hania	NP	hania
was	VBD	be
buried	VVN	bury
in	IN	in
the	DT	the
capital	JJ	capital
uh	UH	uh
of	IN	of
katari	NP	katari
Doha	NP	Doha
with	IN	with
thousands	NNS	thousand
attending	VVG	attend
the	DT	the
funeral	JJ	funeral
service	NN	service
he	PP	he
was	VBD	be
assassinated	VVN	assassinate
in	IN	in
an	DT	an
alleged	JJ	alleged
Israeli	JJ	Israeli
attack	NN	attack
in	IN	in
