kimim	NN	kimim
RV	NN	RV
is	VBZ	be
the	DT	the
ambassador	NN	ambassador
of	IN	of
Israel	NP	Israel
to	TO	to
the	DT	the
European	NP	European
Union	NP	Union
and	CC	and
nato	NP	nato
in	IN	in
Brussels	NP	Brussels
and	CC	and
he	PP	he
'	POS	'
s	NN	S
now	RB	now
joining	VVG	join
me	PP	me
here	RB	here
at	IN	at
the	DT	the
European	NP	European
Parliament	NP	Parliament
in	IN	in
Strasburg	NP	Strasburg
Mr	NP	Mr
Ambassador	NP	Ambassador
the	DT	the
parliament	NN	parliament
has	VHZ	have
uh	UH	uh
debated	VVD	debate
the	DT	the
situation	NN	situation
in	IN	in
Israel	NP	Israel
and	CC	and
Gaza	NP	Gaza
of	IN	of
course	NN	course
the	DT	the
Hamas	JJ	Hamas
terror	NN	terror
is	VBZ	be
rejected	VVN	reject
by	IN	by
all	DT	all
deputies	NNS	deputy
but	CC	but
the	DT	the
parliament	NN	parliament
is	VBZ	be
also	RB	also
saying	VVG	say
Israel	NP	Israel
should	MD	should
do	VV	do
a	DT	a
little	JJ	little
bit	NN	bit
more	RBR	more
to	TO	to
protect	VV	protect
civilians	NNS	civilian
in	IN	in
Gaza	NP	Gaza
what	WP	what
what	WP	what
do	VVP	do
you	PP	you
say	VVP	say
yeah	RB	yeah
what	WP	what
I	PP	I
'	POS	'
m	NN	m
saying	NN	saying
is	VBZ	be
first	JJ	first
of	IN	of
all	DT	all
we	PP	we
need	VVP	need
to	TO	to
look	VV	look
how	WRB	how
it	PP	it
started	VVD	start
Hamas	RB	Hamas
provoke	VV	provoke
a	DT	a
war	NN	war
the	DT	the
atrocities	NNS	atrocity
that	WDT	that
they	PP	they
conduct	VVP	conduct
cannot	MD	can
be	VB	be
forgotten	VVN	forget
and	CC	and
cannot	MD	can
be	VB	be
there	EX	there
cannot	MD	can
be	VB	be
any	DT	any
excuse	NN	excuse
for	IN	for
that	WDT	that
Israel	NP	Israel
is	VBZ	be
acting	VVG	act
according	VVG	accord
to	TO	to
International	NP	International
humanitarian	JJ	humanitarian
law	NN	law
Israel	NP	Israel
is	VBZ	be
the	DT	the
war	NN	war
this	DT	this
war	NN	war
is	VBZ	be
not	RB	not
against	IN	against
the	DT	the
