<doc>	NN	<doc>
as	IN	as
the	DT	the
conflict	NN	conflict
in	IN	in
Gaza	NP	Gaza
intensifies	VVZ	intensify
a	DT	a
public	JJ	public
warning	NN	warning
from	IN	from
the	DT	the
United	NP	United
States	NPS	States
Israel	NP	Israel
needs	VVZ	need
to	TO	to
do	VV	do
more	RBR	more
to	TO	to
protect	VV	protect
Palestinian	JJ	Palestinian
civilians	NNS	civilian
if	IN	if
you	PP	you
have	VHP	have
an	DT	an
opportunity	NN	opportunity
to	TO	to
alleviate	VV	alleviate
the	DT	the
pain	NN	pain
you	PP	you
should	MD	should
do	VV	do
it	PP	it
period	NN	period
And	CC	and
if	IN	if
you	PP	you
don't	VVD	don't
you're	NN	you're
going	VVG	go
to	TO	to
lose	VV	lose
credibility	NN	credibility
worldwide	RB	worldwide
my	PP$	my
guest	NN	guest
this	DT	this
week	NN	week
from	IN	from
Israel	NP	Israel
is	VBZ	be
Amy	NP	Amy
Aon	NP	Aon
former	JJ	former
head	NN	head
of	IN	of
the	DT	the
shinb	NN	shinb
the	DT	the
country's	JJ	country's
internal	JJ	internal
security	NN	security
service	NN	service
will	MD	will
Israel	NP	Israel
heed	VV	heed
the	DT	the
US	NP	US
warning	NN	warning
if	IN	if
somebody	NN	somebody
um	NNS	um
Can	MD	can
advise	VV	advise
us	PP	us
not	RB	not
what	WP	what
to	TO	to
not	RB	not
what	WP	what
not	RB	not
to	TO	to
do	VV	do
but	CC	but
how	WRB	how
to	TO	to
destroy	VV	destroy
the	DT	the
military	JJ	military
capability	NN	capability
of	IN	of
Hamas	NNS	Hamas
without	IN	without
human	NN	human
suffering	VVG	suffer
uh	UH	uh
I	PP	I
am	VBP	be
ready	JJ	ready
to	TO	to
uh	UH	uh
to	TO	to
listen	VV	listen
to	TO	to
every	DT	every
advice	NN	advice
so	IN	so
what	WP	what
happens	VVZ	happen
next	JJ	next
does	VVZ	do
Israel's	NP	Israel's
government	NN	government
have	VHP	have
a	DT	a
plan	NN	plan
for	IN	for
the	DT	the
future	NN	future
and	CC	and
can	MD	can
anything	RB	anything
good	RB	good
be	VB	be
salvaged	VVN	salvage
once	IN	once
this	DT	this
war	NN	war
