<video_id>XbdJHMjdV4Q</video_id>	NP	<video_id>XbdJHMjdV4Q</video_id>
<video_title>Israeli	NP	<video_title>Israeli
ex-PM	NP	ex-PM
Olmert:	NP	Olmert:
Hamas	NP	Hamas
is	VBZ	be
the	DT	the
enemy	NN	enemy
of	IN	of
all	DT	all
moderate	JJ	moderate
Arab	JJ	Arab
countries	NNS	country
|	SYM	|
DW	NP	DW
News</video_title>	NP	News</video_title>
<thumbnail_path>en_DW\Israeli	NP	<thumbnail_path>en_DW\Israeli
ex-PM	NP	ex-PM
Olmert	NP	Olmert
Hamas	NP	Hamas
is	VBZ	be
the	DT	the
enemy	NN	enemy
of	IN	of
all	DT	all
moderate	JJ	moderate
Arab	JJ	Arab
countries	NNS	country
DW	JJ	DW
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20231121</publish_date>	NN	<publish_date>20231121</publish_date>
<doc>	NN	<doc>
and	CC	and
for	IN	for
a	DT	a
special	JJ	special
perspective	NN	perspective
I'm	NN	I'm
pleased	VVN	please
to	TO	to
welcome	VV	welcome
ahud	NP	ahud
Almer	NP	Almer
he	PP	he
was	VBD	be
Israel's	NP	Israel's
prime	JJ	prime
minister	NN	minister
from	IN	from
2006	CD	@card@
to	TO	to
2009	CD	@card@
and	CC	and
mayor	NN	mayor
of	IN	of
Jerusalem	NP	Jerusalem
for	IN	for
10	CD	@card@
years	NNS	year
until	IN	until
2003	CD	@card@
Mr	NN	Mr
alard	NN	alard
welcome	JJ	welcome
to	TO	to
DW	NN	DW
in	IN	in
a	DT	a
recent	JJ	recent
interview	NN	interview
you	PP	you
claimed	VVD	claim
that	IN/that	that
the	DT	the
Hamas	NP	Hamas
Command	NP	Command
Center	NP	Center
was	VBD	be
not	RB	not
in	IN	in
fact	NN	fact
under	IN	under
the	DT	the
alifa	NN	alifa
hospital	NN	hospital
but	CC	but
in	IN	in
Kan	NP	Kan
Yunis	NP	Yunis
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
I	PP	I
want	VVP	want
to	TO	to
quote	VV	quote
you	PP	you
there	RB	there
you	PP	you
said	VVD	say
that	WDT	that
is	VBZ	be
where	WRB	where
they	PP	they
have	VHP	have
the	DT	the
leadership	NN	leadership
they	PP	they
are	VBP	be
hiding	VVG	hide
they	PP	they
have	VHP	have
the	DT	the
bunkers	NNS	bunker
they	PP	they
have	VHP	have
the	DT	the
command	NN	command
position	NN	position
they	PP	they
have	VHP	have
the	DT	the
launching	NN	launching
pads	VVZ	pad
what	WP	what
is	VBZ	be
your	PP$	your
evidence	NN	evidence
for	IN	for
that	DT	that
we'll	NN	we'll
find	VVP	find
we'll	RB	we'll
show	VV	show
you	PP	you
the	DT	the
evidence	NN	evidence
I	PP	I
hope	VVP	hope
the	DT	the
Israeli	NP	Israeli
Army	NP	Army
will	MD	will
reach	VV	reach
out	RP	out
there	RB	there
and	CC	and
will	MD	will
provide	VV	provide
you	PP	you
the	DT	the
evidence	NN	evidence
now	RB	now
you	PP	you
could	MD	could
see	VV	see
that	IN/that	that
underneath	IN	underneath
the	DT	the
shifa	JJ	shifa
hospital	NN	hospital
there	EX	there
were	VBD	be
bunkers	NNS	bunker
there	EX	there
were	VBD	be
weapons	NNS	weapon
and	CC	and
they	PP	they
uh	UH	uh
they	PP	they
were	VBD	be
uh	UH	uh
taking	VVG	take
the	DT	the
uh	UH	uh
hostages	NNS	hostage
into	IN	into
uh	UH	uh
shifa	NN	shifa
and	CC	and
uh	UH	uh
we	PP	we
have	VHP	have
evidence	NN	evidence
that	IN/that	that
some	DT	some
of	IN	of
the	DT	the
hostages	NNS	hostage
which	WDT	which
came	VVD	come
alive	JJ	alive
to	TO	to
shifa	NN	shifa
were	VBD	be
killed	VVN	kill
there	RB	there
so	CC	so
uh	UH	uh
uh	UH	uh
you	PP	you
don't	VVD	don't
really	RB	really
expect	VV	expect
that	DT	that
