Prim	NP	Prim
Minister	NP	Minister
the	DT	the
security	NN	security
of	IN	of
Israel	NP	Israel
and	CC	and
its	PP$	its
citizen	NN	citizen
is	VBZ	be
something	NN	something
that	IN/that	that
Germany	NP	Germany
defense	NN	defense
this	DT	this
is	VBZ	be
the	DT	the
principle	NN	principle
that	IN/that	that
we	PP	we
have	VHP	have
when	WRB	when
we	PP	we
government	NN	government
and	CC	and
Parliament	NP	Parliament
supports	VVZ	support
Israel	NP	Israel
and	CC	and
all	DT	all
parties	NNS	party
do	VVP	do
the	DT	the
same	JJ	same
and	CC	and
it	PP	it
is	VBZ	be
very	RB	very
important	JJ	important
for	IN	for
me	PP	me
to	TO	to
emphasize	VV	emphasize
this	DT	this
here	RB	here
in	IN	in
Israel	NP	Israel
German	JJ	German
history	NN	history
and	CC	and
the	DT	the
responsibility	NN	responsibility
we	PP	we
have	VHP	have
given	VVN	give
the	DT	the
history	NN	history
of	IN	of
the	DT	the
Hol	NP	Hol
Holocaust	NN	holocaust
mean	VVP	mean
that	IN/that	that
it	PP	it
is	VBZ	be
our	PP$	our
task	NN	task
to	TO	to
stand	VV	stand
up	RP	up
for	IN	for
the	DT	the
security	NN	security
of	IN	of
ladies	NNS	lady
and	CC	and
gent	NN	gent
the	DT	the
cruel	JJ	cruel
and	CC	and
bloody	JJ	bloody
attack	NN	attack
of	IN	of
Hamas	NP	Hamas
against	IN	against
Israel	NP	Israel
is	VBZ	be
uh	UH	uh
condemned	VVN	condemn
by	IN	by
us	PP	us
the	DT	the
terror	NN	terror
against	IN	against
innocent	JJ	innocent
civilians	NNS	civilian
the	DT	the
killing	NN	killing
of	IN	of
innocent	JJ	innocent
people	NNS	people
the	DT	the
murder	NN	murder
of	IN	of
babies	NNS	baby
Abduction	NN	abduction
of	IN	of
women	NNS	woman
men	NNS	man
and	CC	and
children	NNS	child
the	DT	the
humiliation	NN	humiliation
of	IN	of
Holocaust	NN	holocaust
Survivors	NNS	survivor
all	DT	all
of	IN	of
that	WDT	that
shocks	VVZ	shock
us	PP	us
it	PP	it
is	VBZ	be
quite	RB	quite
clear	JJ	clear
Israel	NP	Israel
has	VHZ	have
the	DT	the
right	NN	right
to	TO	to
defend	VV	defend
itself	PP	itself
against	IN	against
this	DT	this
Terror	NN	terror
under	IN	under
international	JJ	international
