us	PP	us
officials	NNS	official
say	VVP	say
they	PP	they
are	VBP	be
closer	JJR	close
to	TO	to
a	DT	a
deal	NN	deal
to	TO	to
PO	NN	po
fighting	NN	fighting
in	IN	in
Gaza	NP	Gaza
in	IN	in
exchange	NN	exchange
for	IN	for
the	DT	the
release	NN	release
of	IN	of
many	JJ	many
more	JJR	more
hostages	NNS	hostage
held	VVN	hold
by	IN	by
Hamas	NP	Hamas
that	WDT	that
'	POS	'
s	NN	S
as	IN	as
pressure	NN	pressure
in	IN	in
Israel	NP	Israel
Mounds	NNS	mound
against	IN	against
the	DT	the
government	NN	government
of	IN	of
prime	JJ	prime
minister	NN	minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
on	IN	on
Saturday	NP	Saturday
Israeli	JJ	Israeli
police	NN	police
clashed	VVN	clash
with	IN	with
protesters	NNS	protester
during	IN	during
a	DT	a
anti	JJ	anti
-	NN	-
government	NN	government
rally	NN	rally
in	IN	in
Tel	NP	Tel
Aviv	NP	Aviv
protesters	NNS	protester
called	VVN	call
for	IN	for
new	JJ	new
elections	NNS	election
along	IN	along
with	IN	with
the	DT	the
immediate	JJ	immediate
release	NN	release
of	IN	of
all	DT	all
hostages	NNS	hostage
still	RB	still
held	VVN	hold
in	IN	in
Gaza	NP	Gaza
DW	NP	DW
correspondent	NN	correspondent
Tanya	NP	Tanya
kma	NP	kma
is	VBZ	be
standing	VVG	stand
by	IN	by
in	IN	in
Jerusalem	NP	Jerusalem
hello	NN	hello
Tanya	NP	Tanya
Israelis	NPS	Israelis
uh	UH	uh
broadly	RB	broadly
backed	VVN	back
their	PP$	their
government	NN	government
'	POS	'
s	JJ	s
handling	NN	handling
of	IN	of
the	DT	the
war	NN	war
on	IN	on
Hamas	NNS	Hamas
in	IN	in
the	DT	the
first	JJ	first
weeks	NNS	week
after	IN	after
the	DT	the
October	NP	October
7th	JJ	7th
attacks	NNS	attack
now	RB	now
we	PP	we
seeing	VVG	see
massive	JJ	massive
protests	NNS	protest
outside	IN	outside
the	DT	the
prime	JJ	prime
minister	NN	minister
'	POS	'
s	NN	S
home	NN	home
what	WP	what
has	VHZ	have
changed	VVN	change
well	RB	well
I	PP	I
think	VVP	think
it	PP	it
'	''	'
s	NN	S
quite	PDT	quite
a	DT	a
fast	JJ	fast
moving	VVG	move
situation	NN	situation
but	CC	but
also	RB	also
a	DT	a
complex	JJ	complex
uh	UH	uh
picture	NN	picture
here	IN	here
uh	UH	uh
as	IN	as
you	PP	you
said	VVD	say
the	DT	the
the	DT	the
country	NN	country
is	VBZ	be
still	RB	still
very	RB	very
much	RB	much
United	VVN	unite
uh	UH	uh
uh	UH	uh
behind	IN	behind
you	PP	you
know	VVP	know
a	DT	a
majority	NN	majority
of	IN	of
Israelis	NPS	Israelis
support	VVP	support
the	DT	the
war	NN	war
they	PP	they
support	VV	support
uh	UH	uh
the	DT	the
armed	JJ	armed
forces	NNS	force
and	CC	and
to	TO	to
a	DT	a
certain	JJ	certain
extent	NN	extent
also	RB	also
uh	UH	uh
their	PP$	their
leadership	NN	leadership
but	CC	but
the	DT	the
longer	JJR	long
this	DT	this
goes	VVZ	go
on	IN	on
the	DT	the
more	JJR	more
questions	NNS	question
are	VBP	be
being	VBG	be
asked	VVN	ask
to	TO	to
what	WP	what
are	VBP	be
the	DT	the
scenarios	NNS	scenario
for	IN	for
the	DT	the
day	NN	day
after	IN	after
and	CC	and
one	CD	one
very	RB	very
very	RB	very
big	JJ	big
and	CC	and
very	RB	very
important	JJ	important
question	NN	question
here	RB	here
is	VBZ	be
the	DT	the
issue	NN	issue
of	IN	of
the	DT	the
hostages	NNS	hostage
um	NN	um
that	IN/that	that
you	PP	you
know	VVP	know
that	IN/that	that
that	DT	that
'	''	'
s	NNS	s
what	WP	what
we	PP	we
are	VBP	be
seeing	VVG	see
here	RB	here
in	IN	in
the	DT	the
past	JJ	past
weeks	NNS	week
there	EX	there
have	VHP	have
been	VBN	be
every	DT	every
Saturday	NP	Saturday
uh	UH	uh
tens	NNS	ten
of	IN	of
thousands	NNS	thousand
of	IN	of
people	NNS	people
coming	VVG	come
out	RP	out
to	TO	to
demand	VV	demand
the	DT	the
release	NN	release
to	TO	to
to	TO	to
demand	VV	demand
the	DT	the
the	DT	the
government	NN	government
a	DT	a
new	JJ	new
uh	UH	uh
hostage	NN	hostage
deal	NN	deal
to	TO	to
um	RB	um
release	VV	release
the	DT	the
remaining	VVG	remain
uh	UH	uh
over	IN	over
136	CD	@card@
hostages	NNS	hostage
that	WDT	that
are	VBP	be
believed	VVN	believe
to	TO	to
be	VB	be
still	RB	still
in	IN	in
Gaza	NP	Gaza
to	TO	to
uh	UH	uh
free	VV	free
them	PP	them
and	CC	and
to	TO	to
uh	UH	uh
and	CC	and
we	PP	we
have	VHP	have
more	JJR	more
groups	NNS	group
now	RB	now
joining	VVG	join
uh	UH	uh
uh	UH	uh
those	DT	those
protest	NN	protest
there	RB	there
the	DT	the
anti	JJ	anti
-	NN	-
Netanyahu	NP	Netanyahu
uh	UH	uh
protesters	NNS	protester
that	WDT	that
have	VHP	have
been	VBN	be
um	VVG	um
around	RP	around
but	CC	but
they	PP	they
haven	NN	haven
'	POS	'
t	NN	t
been	VBN	be
coming	VVG	come
out	RP	out
so	RB	so
much	JJ	much
we	PP	we
'	''	'
ve	NNS	ve
seen	VVN	see
them	PP	them
we	PP	we
have	VHP	have
some	DT	some
protesters	NNS	protester
that	WDT	that
are	VBP	be
protesting	VVG	protest
against	IN	against
the	DT	the
war	NN	war
these	DT	these
are	VBP	be
smaller	JJR	small
protests	NNS	protest
but	CC	but
also	RB	also
protesters	NNS	protester
that	WDT	that
are	VBP	be
now	RB	now
calling	VVG	call
for	IN	for
new	JJ	new
elections	NNS	election
and	CC	and
that	DT	that
is	VBZ	be
also	RB	also
according	VVG	accord
to	TO	to
Pauls	NPS	Paul
what	WP	what
a	DT	a
majority	NN	majority
of	IN	of
