<video_id>c-YtlSWKQJc</video_id>	NP	<video_id>c-YtlSWKQJc</video_id>
<video_title>Israeli	NP	<video_title>Israeli
raids	VVZ	raid
al-Shifa	NP	al-Shifa
hospital,	NP	hospital,
warns	VVZ	warn
Gazans	NNS	Gazan
to	TO	to
evacuate	VV	evacuate
|	SYM	|
DW	NP	DW
News</video_title>	NP	News</video_title>
<thumbnail_path>en_DW\Israeli	NP	<thumbnail_path>en_DW\Israeli
raids	VVZ	raid
al-Shifa	NP	al-Shifa
hospital,	NP	hospital,
warns	VVZ	warn
Gazans	NNS	Gazan
to	TO	to
evacuate	VV	evacuate
DW	NP	DW
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20240318</publish_date>	NN	<publish_date>20240318</publish_date>
<doc>	NN	<doc>
now	RB	now
Israel's	NP	Israel's
Army	NP	Army
is	VBZ	be
warning	VVG	warn
gazans	NNS	Gazan
to	TO	to
evacuate	VV	evacuate
the	DT	the
alifa	NN	alifa
hospital	NN	hospital
as	IN	as
it	PP	it
carries	VVZ	carry
out	RP	out
an	DT	an
operation	NN	operation
there	RB	there
the	DT	the
Hamas	NNS	Hamas
run	VVP	run
Palestinian	JJ	Palestinian
health	NN	health
authority	NN	authority
says	VVZ	say
several	JJ	several
people	NNS	people
have	VHP	have
been	VBN	be
killed	VVN	kill
and	CC	and
part	NN	part
of	IN	of
the	DT	the
complex	NN	complex
is	VBZ	be
on	IN	on
fire	NN	fire
Israel	NP	Israel
released	VVD	release
these	DT	these
images	NNS	image
of	IN	of
the	DT	the
raid	NN	raid
the	DT	the
Army	NP	Army
claims	VVZ	claim
Hamas	JJ	Hamas
militants	NNS	militant
fired	VVN	fire
at	IN	at
them	PP	them
from	IN	from
the	DT	the
hospital	NN	hospital
and	CC	and
that	IN/that	that
Hamas	NP	Hamas
is	VBZ	be
using	VVG	use
alifa	NN	alifa
as	IN	as
a	DT	a
command	NN	command
center	NN	center
it's	NNS	it's
the	DT	the
biggest	JJS	big
and	CC	and
one	CD	one
of	IN	of
the	DT	the
last	JJ	last
remaining	VVG	remain
health	NN	health
facilities	NNS	facility
in	IN	in
the	DT	the
strip	NN	strip
gazans	NNS	Gazan
have	VHP	have
sought	VVN	seek
shelter	NN	shelter
from	IN	from
the	DT	the
war	NN	war
at	IN	at
alifa	NN	alifa
after	IN	after
