<video_id>WWf_FqsjuA0</video_id>	JJ	<video_id>WWf_FqsjuA0</video_id>
<video_title>Israeli	NN	<video_title>Israeli
recounts	VVZ	recount
phone	NN	phone
call	NN	call
with	IN	with
her	PP$	her
sons	NNS	son
as	IN	as
Hamas	NP	Hamas
captured	VVD	capture
them	PP	them
|	SYM	|
DW	NP	DW
News</video_title>	NP	News</video_title>
<thumbnail_path>en_DW\Israeli	NP	<thumbnail_path>en_DW\Israeli
recounts	VVZ	recount
phone	NN	phone
call	NN	call
with	IN	with
her	PP$	her
sons	NNS	son
as	IN	as
Hamas	NP	Hamas
captured	VVD	capture
them	PP	them
DW	NP	DW
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20231023</publish_date>	JJ	<publish_date>20231023</publish_date>
<doc>	NN	<doc>
ranana	NN	ranana
gome	NN	gome
is	VBZ	be
one	CD	one
of	IN	of
many	JJ	many
Israelis	NPS	Israelis
whose	WP$	whose
lives	NNS	life
changed	VVD	change
Forever	RB	forever
on	IN	on
the	DT	the
7th	JJ	7th
of	IN	of
October	NP	October
when	WRB	when
Hamas	JJ	Hamas
terrorists	NNS	terrorist
are	VBP	be
crossed	VVN	cross
into	IN	into
Israel	NP	Israel
killing	VVG	kill
more	JJR	more
than	IN	than
1,400	CD	@card@
people	NNS	people
and	CC	and
kidnapping	VVG	kidnap
more	JJR	more
than	IN	than
200	CD	@card@
her	PP$	her
two	CD	two
sons	NNS	son
aged	VVN	age
12	CD	@card@
and	CC	and
16	CD	@card@
were	VBD	be
among	IN	among
those	DT	those
taken	VVN	take
hostage	NN	hostage
we	PP	we
uh	UH	uh
all	RB	all
woke	VVD	wake
up	RP	up
to	TO	to
the	DT	the
red	JJ	red
alert	NN	alert
at	IN	at
6:30	CD	@card@
Saturday	NP	Saturday
morning	NN	morning
October	NP	October
7th	JJ	7th
I	PP	I
was	VBD	be
away	RP	away
uh	UH	uh
they	PP	they
slept	VVD	sleep
alone	RB	alone
at	IN	at
my	PP$	my
house	NN	house
um	NNS	um
they're	JJ	they're
12	CD	@card@
and	CC	and
16	CD	@card@
on	IN	on
a	DT	a
normal	JJ	normal
World	NP	World
teenagers	NNS	teenager
can	MD	can
can	MD	can
do	VV	do
that	IN/that	that
every	DT	every
now	RB	now
and	CC	and
again	RB	again
um	NNS	um
and	CC	and
um	NNS	um
I	PP	I
called	VVD	call
them	PP	them
just	RB	just
to	TO	to
see	VV	see
that	IN/that	that
they	PP	they
uh	UH	uh
know	VV	know
the	DT	the
you	PP	you
know	VVP	know
the	DT	the
routine	JJ	routine
unfortunately	RB	unfortunately
that	IN/that	that
that	WDT	that
they	PP	they
need	VVP	need
to	TO	to
go	VV	go
into	IN	into
the	DT	the
safe	JJ	safe
room	NN	room
which	WDT	which
is	VBZ	be
uh	UH	uh
the	DT	the
eldest	JJ	eldest
um	JJ	um
bedroom	NN	bedroom
as	IN	as
well	RB	well
um	JJ	um
and	CC	and
they	PP	they
were	VBD	be
and	CC	and
um	RB	um
then	RB	then
I	PP	I
just	RB	just
stayed	VVD	stay
uh	UH	uh
with	IN	with
them	PP	them
on	IN	on
the	DT	the
phone	NN	phone
every	DT	every
few	JJ	few
minutes	NNS	minute
to	TO	to
you	PP	you
know	VVP	know
they	PP	they
were	VBD	be
scared	RB	scared
obviously	RB	obviously
there	EX	there
was	VBD	be
a	DT	a
barriage	NN	barriage
of	IN	of
rockets	NNS	rocket
falling	VVG	fall
at	IN	at
us	PP	us
um	VVZ	um
uh	UH	uh
so	RB	so
well	VV	well
uh	UH	uh
they	PP	they
were	VBD	be
quite	RB	quite
scared	VVN	scare
um	NNS	um
at	IN	at
a	DT	a
certain	JJ	certain
point	NN	point
they	PP	they
said	VVD	say
they	PP	they
started	VVD	start
hearing	NN	hearing
gunshots	NNS	gunshot
outside	IN	outside
the	DT	the
house	NN	house
and	CC	and
I	PP	I
told	VVD	tell
them	PP	them
uh	UH	uh
it	PP	it
was	VBD	be
probably	RB	probably
the	DT	the
Army	NN	army
protecting	VVG	protect
us	PP	us
uh	UH	uh
I	PP	I
started	VVD	start
getting	VVG	get
text	NN	text
messages	NNS	message
from	IN	from
other	JJ	other
members	NNS	member
of	IN	of
community	NN	community
um	NNS	um
we	PP	we
live	VVP	live
in	IN	in
a	DT	a
small	JJ	small
community	NN	community
of	IN	of
about	RB	about
400	CD	@card@
people	NNS	people
me	PP	me
so	IN	so
we	PP	we
started	VVD	start
getting	VVG	get
texts	NNS	text
um	NNS	um
saying	VVG	say
that	IN/that	that
there	EX	there
are	VBP	be
terrorists	NNS	terrorist
walking	VVG	walk
outside	IN	outside
freely	RB	freely
uh	UH	uh
Dressed	VVN	dress
in	IN	in
the	DT	the
uh	UH	uh
IDF	NP	IDF
army	NN	army
uniform	NN	uniform
um	NNS	um
and	CC	and
you	PP	you
know	VVP	know
telling	VVG	tell
people	NNS	people
not	RB	not
to	TO	to
go	VV	go
outside	JJ	outside
and	CC	and
not	RB	not
to	TO	to
open	VV	open
doors	NNS	door
and	CC	and
then	RB	then
the	DT	the
texts	NNS	text
went	VVD	go
into	IN	into
saying	VVG	say
that	IN/that	that
they	PP	they
started	VVD	start
breaking	VVG	break
into	IN	into
houses	NNS	house
and	CC	and
uh	UH	uh
taking	VVG	take
people	NNS	people
away	RB	away
and	CC	and
burning	VVG	burn
families	NNS	family
in	IN	in
inside	IN	inside
their	PP$	their
house	VV	house
uh	UH	uh
just	RB	just
uh	UH	uh
half	PDT	half
an	DT	an
hour	NN	hour
an	DT	an
hour	NN	hour
later	RBR	later
I	PP	I
can't	VVD	can't
give	VV	give
you	PP	you
know	VV	know
the	DT	the
timeline	NN	timeline
is	VBZ	be
is	VBZ	be
all	RB	all
blurred	VVN	blur
um	NNS	um
they	PP	they
said	VVD	say
they	PP	they
called	VVD	call
me	PP	me
and	CC	and
they	PP	they
said	VVD	say
they	PP	they
hear	VVP	hear
someone	NN	someone
breaking	NN	breaking
in	IN	in
uh	UH	uh
they	PP	they
whispered	VVD	whisper
and	CC	and
I	PP	I
asked	VVD	ask
them	PP	them
to	TO	to
be	VB	be
quiet	JJ	quiet
and	CC	and
to	TO	to
stay	VV	stay
on	IN	on
the	DT	the
line	NN	line
with	IN	with
me	PP	me
and	CC	and
just	RB	just
a	DT	a
few	JJ	few
minutes	NNS	minute
later	RBR	later
I	PP	I
could	MD	could
hear	VV	hear
a	DT	a
few	JJ	few
people	NNS	people
uh	UH	uh
speaking	VVG	speak
between	IN	between
them	PP	them
probably	RB	probably
two	CD	two
or	CC	or
three	CD	three
people	NNS	people
