two	CD	two
weeks	NNS	week
after	IN	after
South	NP	South
Africa	NP	Africa
'	POS	'
s	JJ	s
presentation	NN	presentation
in	IN	in
front	NN	front
of	IN	of
the	DT	the
international	JJ	international
court	NN	court
of	IN	of
justice	NN	justice
against	IN	against
Israel	NP	Israel
for	IN	for
a	DT	a
presumptive	JJ	presumptive
violation	NN	violation
on	IN	on
the	DT	the
convention	NN	convention
for	IN	for
the	DT	the
prevention	NN	prevention
of	IN	of
genocide	NN	genocide
today	NN	today
finally	RB	finally
the	DT	the
court	NN	court
has	VHZ	have
actually	RB	actually
issued	VVN	issue
a	DT	a
preliminary	JJ	preliminary
ruling	NN	ruling
to	TO	to
discuss	VV	discuss
it	PP	it
with	IN	with
us	PP	us
is	VBZ	be
Lu	NP	Lu
Moren	NP	Moren
oampo	NN	oampo
former	JJ	former
prosecutor	NN	prosecutor
of	IN	of
the	DT	the
IC	NP	IC
thank	VV	thank
you	PP	you
for	IN	for
being	VBG	be
with	IN	with
to	TO	to
uh	UH	uh
Mr	NP	Mr
oampo	NN	oampo
could	MD	could
you	PP	you
basically	RB	basically
just	RB	just
walk	VV	walk
us	PP	us
through	IN	through
the	DT	the
ruling	NN	ruling
what	WP	what
is	VBZ	be
that	DT	that
happened	VVN	happen
today	NN	today
what	WP	what
did	VVD	do
the	DT	the
court	NN	court
say	VVP	say
today	NN	today
the	DT	the
summary	NN	summary
could	MD	could
be	VB	be
the	DT	the
judges	NNS	judge
were	VBD	be
tough	JJ	tough
on	IN	on
Israel	NP	Israel
that	IN/that	that
a	DT	a
genocide	NN	genocide
is	VBZ	be
a	DT	a
serious	JJ	serious
imminent	JJ	imminent
the	DT	the
risk	NN	risk
of	IN	of
genocide	NN	genocide
for	IN	for
all	PDT	all
the	DT	the
people	NNS	people
in	IN	in
Gaza	NP	Gaza
that	WDT	that
were	VBD	be
very	RB	very
clear	JJ	clear
and	CC	and
strong	JJ	strong
but	CC	but
they	PP	they
were	VBD	be
in	IN	in
some	DT	some
way	NN	way
gave	VVD	give
Israel	NP	Israel
time	NN	time
to	TO	to
adjust	VV	adjust
they	PP	they
they	PP	they
gave	VVD	give
Israel	NP	Israel
the	DT	the
time	NN	time
to	TO	to
come	VV	come
back	RB	back
to	TO	to
measures	NNS	measure
to	TO	to
transform	VV	transform
situation	NN	situation
in	IN	in
Gaza	NP	Gaza
and	CC	and
they	PP	they
had	VHD	have
to	TO	to
report	VV	report
in	IN	in
one	CD	one
month	NN	month
so	RB	so
that	IN/that	that
why	WRB	why
it	PP	it
'	POS	'
s	NN	S
a	DT	a
mixed	JJ	mixed
combination	NN	combination
that	WDT	that
shows	VVZ	show
that	IN/that	that
the	DT	the
15	CD	@card@
judges	NNS	judge
who	WP	who
made	VVD	make
the	DT	the
majority	NN	majority
made	VVD	make
compromise	NN	compromise
between	IN	between
them	PP	them
particularly	RB	particularly
the	DT	the
president	NN	president
of	IN	of
the	DT	the
Court	NP	Court
no	RB	no
the	DT	the
US	PP	us
judge	VVP	judge
she	PP	she
she	PP	she
came	VVD	come
from	IN	from
a	DT	a
state	NN	state
department	NN	department
experience	NN	experience
so	IN	so
the	DT	the
fact	NN	fact
that	IN/that	that
she	PP	she
vote	VV	vote
for	IN	for
the	DT	the
majority	NN	majority
saying	VVG	say
is	VBZ	be
a	DT	a
r	NN	r
of	IN	of
genocide	NN	genocide
very	RB	very
clear	VV	clear
it	PP	it
'	POS	'
s	NN	S
really	RB	really
important	JJ	important
and	CC	and
also	RB	also
the	DT	the
the	DT	the
the	DT	the
the	DT	the
the	DT	the
measures	NNS	measure
giving	VVG	give
space	NN	space
to	TO	to
Israel	NP	Israel
is	VBZ	be
also	RB	also
I	PP	I
think	VVP	think
part	NN	part
of	IN	of
her	PP$	her
power	NN	power
it	PP	it
does	VVZ	do
fall	VV	fall
far	RB	far
short	JJ	short
from	IN	from
what	WP	what
South	NP	South
Africa	NP	Africa
actually	RB	actually
did	VVD	do
request	NN	request
which	WDT	which
was	VBD	be
essentially	RB	essentially
the	DT	the
cessation	NN	cessation
of	IN	of
Israeli	JJ	Israeli
uh	UH	uh
operations	NNS	operation
in	IN	in
the	DT	the
territory	NN	territory
of	IN	of
Gaza	NP	Gaza
right	RB	right
well	RB	well
well	RB	well
well	RB	well
maybe	RB	maybe
it	PP	it
'	POS	'
s	NN	S
not	RB	not
exactly	RB	exactly
what	WP	what
South	NP	South
Africa	NP	Africa
requested	VVD	request
but	CC	but
I	PP	I
think	VVP	think
South	NP	South
Africa	NP	Africa
deserve	VVP	deserve
recognition	NN	recognition
and	CC	and
gratitude	NN	gratitude
because	IN	because
South	NP	South
Africa	NP	Africa
is	VBZ	be
just	RB	just
one	CD	one
of	IN	of
153	CD	@card@
countries	NNS	country
including	VVG	include
Germany	NP	Germany
and	CC	and
us	PP	us
who	WP	who
are	VBP	be
State	NN	state
parties	NNS	party
of	IN	of
the	DT	the
genocide	NN	genocide
convention	NN	convention
all	RB	all
of	IN	of
them	PP	them
have	VHP	have
an	DT	an
obligation	NN	obligation
era	NN	era
HS	NNS	HS
as	RB	as
to	TO	to
say	VV	say
say	VV	say
the	DT	the
court	NN	court
so	IN	so
an	DT	an
obligation	NN	obligation
not	RB	not
just	RB	just
to	TO	to
behave	VV	behave
themselves	PP	themselves
all	PDT	all
the	DT	the
state	NN	state
party	NN	party
chai	NN	chai
convention	NN	convention
have	VHP	have
the	DT	the
obligation	NN	obligation
to	TO	to
prevent	VV	prevent
other	JJ	other
states	NNS	state
to	TO	to
commit	VV	commit
the	DT	the
crimes	NNS	crime
and	CC	and
that	DT	that
was	VBD	be
South	NP	South
Africa	NP	Africa
dit	NN	dit
South	NP	South
Africa	NP	Africa
we	PP	we
need	VVP	need
to	TO	to
be	VB	be
gr	JJ	gr
to	TO	to
be	VB	be
thankful	JJ	thankful
for	IN	for
South	NP	South
Africa	NP	Africa
MOVE	VVP	move
because	RB	because
trigger	VV	trigger
a	DT	a
different	JJ	different
dimension	NN	dimension
no	DT	no
more	JJR	more
Wars	NP	Wars
law	NN	law
Lo	NP	Lo
legal	JJ	legal
discussions	NNS	discussion
that	WDT	that
is	VBZ	be
the	DT	the
opportunity	NN	opportunity
that	IN/that	that
South	NP	South
Africa	NP	Africa
is	VBZ	be
giving	VVG	give
us	PP	us
transform	VV	transform
a	DT	a
war	NN	war
in	IN	in
yeah	RB	yeah
critics	NNS	critic
would	MD	would
say	VV	say
that	IN/that	that
I	PP	I
mean	VVP	mean
the	DT	the
possibility	NN	possibility
of	IN	of
this	RB	this
having	VHG	have
actually	RB	actually
direct	JJ	direct
effect	NN	effect
on	IN	on
the	DT	the
ground	NN	ground
I	PP	I
mean	VVP	mean
we	PP	we
had	VHD	have
been	VBN	be
seeing	VVG	see
uh	UH	uh
the	DT	the
death	NN	death
of	IN	of
civilians	NNS	civilian
on	IN	on
a	DT	a
daily	JJ	daily
basis	NN	basis
are	VBP	be
actually	RB	actually
very	RB	very
limited	VVD	limit
uh	UH	uh
do	VV	do
you	PP	you
see	VV	see
it	PP	it
the	DT	the
same	JJ	same
way	NN	way
no	RB	no
I	PP	I
think	VVP	think
no	RB	no
I	PP	I
think	VVP	think
people	NNS	people
don	NN	don
'	POS	'
t	NN	t
understand	VVP	understand
the	DT	the
how	WRB	how
the	DT	the
international	JJ	international
legal	JJ	legal
system	NN	system
works	VVZ	work
because	IN	because
if	IN	if
you	PP	you
see	VVP	see
the	DT	the
core	NN	core
decision	NN	decision
is	VBZ	be
wrong	JJ	wrong
but	CC	but
it	PP	it
also	RB	also
quote	VVP	quote
article	NN	article
three	CD	three
of	IN	of
the	DT	the
genocide	NN	genocide
convention	NN	convention
and	CC	and
talking	VVG	talk
about	IN	about
complicity	NN	complicity
and	CC	and
that	IN/that	that
'	POS	'
s	NNS	s
the	DT	the
message	NN	message
the	DT	the
US	NP	US
cannot	MD	can
support	VV	support
a	DT	a
similar	JJ	similar
campaign	NN	campaign
now	RB	now
because	IN	because
could	MD	could
be	VB	be
a	DT	a
complice	NN	complice
of	IN	of
genocide	NN	genocide
so	RB	so
that	IN/that	that
why	WRB	why
what	WP	what
I	PP	I
expect	VVP	expect
is	VBZ	be
now	RB	now
NYU	NP	NYU
yes	NN	yes
is	VBZ	be
rejecting	VVG	reject
the	DT	the
coration	NN	coration
but	CC	but
Biden	NP	Biden
has	VHZ	have
no	RB	no
the	DT	the
same	JJ	same
space	NN	space
President	NP	President
Biden	NP	Biden
has	VHZ	have
to	TO	to
one	CD	one
months	NNS	month
transform	VV	transform
the	DT	the
game	NN	game
so	IN	so
you	PP	you
think	VVP	think
that	IN/that	that
to	TO	to
some	DT	some
degree	NN	degree
this	DT	this
actually	RB	actually
will	MD	will
also	RB	also
exert	VV	exert
very	RB	very
powerful	JJ	powerful
force	NN	force
on	IN	on
Israel	NP	Israel
allies	NNS	ally
who	WP	who
up	RB	up
until	IN	until
this	DT	this
point	NN	point
have	VHP	have
given	VVN	give
Israel	NP	Israel
more	JJR	more
or	CC	or
less	JJR	less
a	DT	a
free	JJ	free
pass	NN	pass
in	IN	in
terms	NNS	term
of	IN	of
conducting	VVG	conduct
its	PP$	its
military	JJ	military
operations	NNS	operation
well	RB	well
first	JJ	first
point	NN	point
for	IN	for
me	PP	me
and	CC	and
I	PP	I
was	VBD	be
pleased	VVN	please
and	CC	and
for	IN	for
me	PP	me
it	PP	it
was	VBD	be
a	DT	a
pleasure	NN	pleasure
to	TO	to
listen	VV	listen
a	DT	a
formal	JJ	formal
legal	JJ	legal
language	NN	language
talking	VVG	talk
about	IN	about
the	DT	the
genocide	NN	genocide
and	CC	and
and	CC	and
there	EX	there
are	VBP	be
they	PP	they
say	VVP	say
there	EX	there
are	VBP	be
1	CD	@card@
.	SENT	.
7	CD	@card@
million	CD	million
people	NNS	people
this	DT	this
place	NN	place
mean	VV	mean
in	IN	in
in	IN	in
a	DT	a
in	IN	in
a	DT	a
population	NN	population
of	IN	of
