<video_id>pOLcUkTwIfU</video_id>	NP	<video_id>pOLcUkTwIfU</video_id>
<video_title>Netanyahu:	NP	<video_title>Netanyahu:
Israel	NP	Israel
will	MD	will
enter	VV	enter
Rafah	NP	Rafah
regardless	RB	regardless
of	IN	of
a	DT	a
cease-fire	NN	cease-fire
deal	NN	deal
with	IN	with
Hamas	NP	Hamas
|	SYM	|
DW	NP	DW
News</video_title>	NP	News</video_title>
<thumbnail_path>en_DW\Netanyahu	NP	<thumbnail_path>en_DW\Netanyahu
Israel	NP	Israel
will	MD	will
enter	VV	enter
Rafah	NP	Rafah
regardless	RB	regardless
of	IN	of
a	DT	a
cease-fire	NN	cease-fire
deal	NN	deal
with	IN	with
Hamas	NP	Hamas
DW	NP	DW
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20240430</publish_date>	NP	<publish_date>20240430</publish_date>
<doc>	NP	<doc>
Israel's	NP	Israel's
prime	JJ	prime
minister	NN	minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
is	VBZ	be
vowing	VVG	vow
that	IN/that	that
his	PP$	his
country's	NP	country's
Army	NP	Army
will	MD	will
enter	VV	enter
the	DT	the
southern	JJ	southern
Gaza	NP	Gaza
City	NP	City
of	IN	of
Rafa	NP	Rafa
regardless	RB	regardless
of	IN	of
whether	IN	whether
a	DT	a
ceasefire	NN	ceasefire
deal	NN	deal
is	VBZ	be
reached	VVN	reach
with	IN	with
Hamas	NNS	Hamas
speaking	VVG	speak
at	IN	at
a	DT	a
meeting	NN	meeting
with	IN	with
the	DT	the
families	NNS	family
of	IN	of
Israeli	JJ	Israeli
hostages	NNS	hostage
Netanyahu	NP	Netanyahu
said	VVD	say
Israel	NP	Israel
would	MD	would
not	RB	not
end	VV	end
the	DT	the
war	NN	war
until	IN	until
all	DT	all
of	IN	of
its	PP$	its
goals	NNS	goal
had	VHD	have
been	VBN	be
achieved	VVN	achieve
including	VVG	include
eliminating	VVG	eliminate
Hamas	JJ	Hamas
battalions	NNS	battalion
in	IN	in
Rafa	NP	Rafa
many	RB	many
had	VHD	have
hoped	VVN	hope
a	DT	a
ceasefire	NN	ceasefire
agreement	NN	agreement
would	MD	would
avert	VV	avert
a	DT	a
rougher	JJR	rough
ground	NN	ground
incursion	NN	incursion
which	WDT	which
Israel	NP	Israel
's	POS	's
allies	NNS	ally
including	VVG	include
the	DT	the
United	NP	United
States	NPS	States
and	CC	and
Germany	NP	Germany
have	VHP	have
warned	VVN	warn
against	IN	against
let's	NNS	let's
get	VVP	get
more	JJR	more
from	IN	from
DW's	NP	DW's
correspondent	JJ	correspondent
uh	UH	uh
in	IN	in
Jerusalem	NP	Jerusalem
Tanya	NP	Tanya
ker	NN	ker
Tanya	NP	Tanya
is	VBZ	be
Benjamin	NP	Benjamin
netanyahu's	JJ	netanyahu's
stance	NN	stance
on	IN	on
Rafa	NP	Rafa
jeopardizing	VVG	jeopardize
the	DT	the
possibility	NN	possibility
of	IN	of
reaching	VVG	reach
any	DT	any
kind	NN	kind
of	IN	of
deal	NN	deal
well	NN	well
that's	NNS	that's
also	RB	also
being	VBG	be
discussed	VVN	discuss
uh	UH	uh
in	IN	in
Israel	NP	Israel
between	IN	between
those	DT	those
who	WP	who
are	VBP	be
supporting	VVG	support
such	PDT	such
a	DT	a
deal	NN	deal
that	WDT	that
is	VBZ	be
uh	UH	uh
currently	RB	currently
uh	UH	uh
being	VBG	be
worked	VVN	work
on	IN	on
through	IN	through
mediators	NNS	mediator
Qatar	NP	Qatar
and	CC	and
Egypt	NP	Egypt
uh	UH	uh
in	IN	in
Cairo	NP	Cairo
and	CC	and
where	WRB	where
a	DT	a
response	NN	response
by	IN	by
Hamas	NP	Hamas
is	VBZ	be
actually	RB	actually
uh	UH	uh
uh	UH	uh
waited	VVN	wait
for	IN	for
at	IN	at
the	DT	the
moment	NN	moment
uh	UH	uh
so	RB	so
and	CC	and
those	DT	those
of	IN	of
course	NN	course
who	WP	who
are	VBP	be
opposing	VVG	oppose
uh	UH	uh
to	TO	to
end	VV	end
the	DT	the
war	NN	war
and	CC	and
those	DT	those
who	WP	who
uh	UH	uh
have	VHP	have
said	VVN	say
that	IN/that	that
