<video_id>B2zcfvETBIw</video_id>	JJ	<video_id>B2zcfvETBIw</video_id>
<video_title>Netanyahu	NN	<video_title>Netanyahu
says	VVZ	say
Israel	NP	Israel
to	TO	to
wind	VV	wind
down	RP	down
war	NN	war
in	IN	in
Gaza	NP	Gaza
to	TO	to
Focus	NP	Focus
on	IN	on
Lebanon	NP	Lebanon
|	SYM	|
DW	NP	DW
News</video_title>	NP	News</video_title>
<thumbnail_path>en_DW\Netanyahu	NP	<thumbnail_path>en_DW\Netanyahu
says	VVZ	say
Israel	NP	Israel
to	TO	to
wind	VV	wind
down	RP	down
war	NN	war
in	IN	in
Gaza	NP	Gaza
to	TO	to
Focus	NP	Focus
on	IN	on
Lebanon	NP	Lebanon
DW	NP	DW
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20240624</publish_date>	NP	<publish_date>20240624</publish_date>
<doc>	NP	<doc>
Israel's	NP	Israel's
prime	JJ	prime
minister	NN	minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
says	VVZ	say
the	DT	the
intense	JJ	intense
phase	NN	phase
of	IN	of
Israel's	NP	Israel's
war	NN	war
against	IN	against
Hamas	NP	Hamas
in	IN	in
Gaza	NP	Gaza
is	VBZ	be
quote	NN	quote
about	RB	about
to	TO	to
end	VV	end
speaking	NN	speaking
on	IN	on
Israeli	NP	Israeli
TV	NP	TV
Netanyahu	NP	Netanyahu
said	VVD	say
the	DT	the
Army	NN	army
is	VBZ	be
close	JJ	close
to	TO	to
completing	VVG	complete
its	PP$	its
current	JJ	current
ground	NN	ground
offensive	NN	offensive
in	IN	in
the	DT	the
southern	JJ	southern
city	NN	city
of	IN	of
Rafa	NP	Rafa
but	CC	but
maintained	VVD	maintain
that	IN/that	that
the	DT	the
fighting	VVG	fight
won't	NN	won't
stop	NN	stop
until	IN	until
the	DT	the
group	NN	group
behind	IN	behind
the	DT	the
October	NP	October
7th	JJ	7th
Terror	NN	terror
attacks	NNS	attack
no	RB	no
longer	RBR	longer
controls	VVZ	control
Gaza	NP	Gaza
he	PP	he
also	RB	also
warned	VVD	warn
more	JJR	more
Israeli	JJ	Israeli
forces	NNS	force
will	MD	will
move	VV	move
to	TO	to
the	DT	the
border	NN	border
with	IN	with
Lebanon	NP	Lebanon
where	WRB	where
fighting	VVG	fight
with	IN	with
Hezbollah	NP	Hezbollah
has	VHZ	have
escalated	VVN	escalate
did	VVD	do
Tanya	NP	Tanya
Kramer	NP	Kramer
has	VHZ	have
more	JJR	more
for	IN	for
us	PP	us
from	IN	from
Jerusalem	NP	Jerusalem
Tanya	NP	Tanya
where	WRB	where
does	VVZ	do
all	PDT	all
this	DT	this
leave	VV	leave
us	PP	us
in	IN	in
the	DT	the
war	NN	war
well	RB	well
prime	JJ	prime
minister	NN	minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
gave	VVD	give
this	DT	this
interview	NN	interview
you	PP	you
have	VHP	have
to	TO	to
say	VV	say
a	DT	a
rare	JJ	rare
interview	NN	interview
to	TO	to
a	DT	a
local	JJ	local
uh	UH	uh
TV	NN	TV
uh	UH	uh
Channel	NP	Channel
a	DT	a
right-wing	JJ	right-wing
Channel	NP	Channel
as	IN	as
it	PP	it
is	VBZ	be
known	VVN	know
here	RB	here
where	WRB	where
he	PP	he
was	VBD	be
saying	VVG	say
basically	RB	basically
that	IN/that	that
the	DT	the
intense	JJ	intense
phase	NN	phase
of	IN	of
the	DT	the
war	NN	war
is	VBZ	be
winding	VVG	wind
down	RP	down
and	CC	and
he	PP	he
also	RB	also
indicated	VVD	indicate
that	IN/that	that
the	DT	the
Army	NN	army
is	VBZ	be
close	JJ	close
to	TO	to
completing	VVG	complete
its	PP$	its
offensive	NN	offensive
in	IN	in
rafar	NN	rafar
the	DT	the
southern	JJ	southern
city	NN	city
in	IN	in
uh	UH	uh
Southern	JJ	Southern
uh	UH	uh
Gaza	NP	Gaza
but	CC	but
without	IN	without
giving	VVG	give
a	DT	a
timeline	NN	timeline
or	CC	or
without	IN	without
giving	VVG	give
even	RB	even
more	JJR	more
details	NNS	detail
but	CC	but
he	PP	he
also	RB	also
said	VVD	say
the	DT	the
war	NN	war
is	VBZ	be
actually	RB	actually
uh	UH	uh
not	RB	not
over	IN	over
this	DT	this
would	MD	would
mean	VV	mean
uh	UH	uh
he	PP	he
said	VVD	say
that	IN/that	that
fewer	JJR	few
troops	NNS	troop
would	MD	would
be	VB	be
needed	VVN	need
in	IN	in
Gaza	NP	Gaza
and	CC	and
they	PP	they
would	MD	would
be	VB	be
redeployed	VVN	redeploy
uh	UH	uh
to	TO	to
uh	UH	uh
Northern	NP	Northern
Israel	NP	Israel
he	PP	he
also	RB	also
said	VVD	say
in	IN	in
that	DT	that
interview	VV	interview
uh	UH	uh
that	IN/that	that
he	PP	he
was	VBD	be
prepared	VVN	prepare
only	RB	only
for	IN	for
a	DT	a
partial	JJ	partial
uh	UH	uh
deal	VV	deal
an	DT	an
agreement	NN	agreement
that	WDT	that
would	MD	would
see	VV	see
a	DT	a
ceasefire	NN	ceasefire
a	DT	a
PA	NN	pa
in	IN	in
fighting	NN	fighting
including	VVG	include
then	RB	then
also	RB	also
the	DT	the
release	NN	release
of	IN	of
some	DT	some
of	IN	of
the	DT	the
hostages	NNS	hostage
uh	UH	uh
as	IN	as
he	PP	he
said	VVD	say
but	CC	but
that	IN/that	that
the	DT	the
war	NN	war
will	MD	will
not	RB	not
be	VB	be
ending	NN	ending
until	IN	until
uh	UH	uh
Hamas	NN	Hamas
is	VBZ	be
removed	VVN	remove
from	IN	from
power	NN	power
now	RB	now
these	DT	these
comments	NNS	comment
he	PP	he
made	VVD	make
were	VBD	be
very	JJ	very
uh	UH	uh
sharply	RB	sharply
criticized	VVN	criticize
here	RB	here
especially	RB	especially
by	IN	by
uh	UH	uh
uh	UH	uh
groups	NNS	group
that	WDT	that
are	VBP	be
representing	VVG	represent
uh	UH	uh
the	DT	the
hostage	NN	hostage
uh	UH	uh
families	NNS	family
saying	VVG	say
that	IN/that	that
he	PP	he
would	MD	would
therefore	RB	therefore
abandon	VV	abandon
uh	UH	uh
some	DT	some
of	IN	of
the	DT	the
hostages	NNS	hostage
that	WDT	that
remain	VV	remain
uh	UH	uh
in	IN	in
Gaza	NP	Gaza
and	CC	and
uh	UH	uh
prime	JJ	prime
minister	NN	minister
the	DT	the
prime	JJ	prime
minister's	NN	minister's
office	NN	office
then	RB	then
issued	VVD	issue
a	DT	a
clarifying	VVG	clarify
statement	NN	statement
that	IN/that	that
they	PP	they
would	MD	would
not	RB	not
abandon	VV	abandon
the	DT	the
hostages	NNS	hostage
that	WDT	that
is	VBZ	be
actually	RB	actually
Hamas	JJ	Hamas
who's	NNS	who's
not	RB	not
uh	UH	uh
agreeing	VVG	agree
uh	UH	uh
to	TO	to
the	DT	the
deal	NN	deal
but	CC	but
it's	NNS	it's
very	RB	very
it	PP	it
seen	VVN	see
as	IN	as
problematic	JJ	problematic
as	IN	as
there's	RB	there's
no	DT	no
incentive	NN	incentive
right	RB	right
now	RB	now
for	IN	for
Hamas	NP	Hamas
to	TO	to
agree	VV	agree
to	TO	to
such	PDT	such
a	DT	a
deal	NN	deal
that	WDT	that
has	VHZ	have
been	VBN	be
stalled	VVN	stall
that's	NNS	that's
a	DT	a
ceasefire	NN	ceasefire
hostage	NN	hostage
deal	NN	deal
that's	NNS	that's
on	IN	on
the	DT	the
table	NN	table
because	IN	because
their	PP$	their
main	JJ	main
demand	NN	demand
was	VBD	be
always	RB	always
to	TO	to
get	VV	get
a	DT	a
clear	JJ	clear
timeline	NN	timeline
for	IN	for
When	WRB	when
The	DT	the
War	NP	War
uh	UH	uh
will	MD	will
end	VV	end
to	TO	to
enter	VV	enter
such	PDT	such
an	DT	an
agreement	NN	agreement
ant	NN	ant
what	WP	what
about	IN	about
the	DT	the
situation	NN	situation
at	IN	at
the	DT	the
border	NN	border
with	IN	with
Lebanon	NP	Lebanon
fighting	VVG	fight
between	IN	between
Israel	NP	Israel
and	CC	and
hasah	NP	hasah
has	VHZ	have
increased	VVN	increase
in	IN	in
recent	JJ	recent
weeks	NNS	week
can	MD	can
you	PP	you
tell	VV	tell
us	PP	us
where	WRB	where
things	NNS	thing
stand	VVP	stand
there	RB	there
now	RB	now
well	RB	well
absolutely	RB	absolutely
and	CC	and
there	EX	there
was	VBD	be
always	RB	always
uh	UH	uh
you	PP	you
know	VVP	know
the	DT	the
the	DT	the
understanding	NN	understanding
in	IN	in
Israel	NP	Israel
that	IN/that	that
once	IN	once
the	DT	the
uh	UH	uh
offensive	NN	offensive
in	IN	in
rafar	NN	rafar
in	IN	in
Gaza	NP	Gaza
would	MD	would
be	VB	be
coming	VVG	come
to	TO	to
an	DT	an
end	NN	end
then	RB	then
the	DT	the
attention	NN	attention
of	IN	of
Israel	NP	Israel
would	MD	would
then	RB	then
uh	UH	uh
turn	VV	turn
uh	UH	uh
nor	CC	nor
to	TO	to
its	PP$	its
northern	JJ	northern
border	NN	border
and	CC	and
as	RB	as
you	PP	you
have	VHP	have
rightly	RB	rightly
said	VVD	say
uh	UH	uh
there	EX	there
has	VHZ	have
been	VBN	be
a	DT	a
lot	NN	lot
of	IN	of
crossb	NN	crossb
fying	VVG	fying
actually	RB	actually
since	IN	since
October	NP	October
8	CD	@card@
hollah	NN	hollah
has	VHZ	have
joined	VVN	join
uh	UH	uh
the	DT	the
War	NN	war
so	RB	so
to	TO	to
speak	VV	speak
but	CC	but
this	DT	this
has	VHZ	have
been	VBN	be
intensifying	VVG	intensify
in	IN	in
uh	UH	uh
recent	JJ	recent
weeks	NNS	week
we	PP	we
seen	VVN	see
more	JJR	more
attacks	NNS	attack
going	VVG	go
deeper	JJR	deep
into	IN	into
Israel	NP	Israel
by	IN	by
Hezbollah	NP	Hezbollah
but	CC	but
also	RB	also
attacks	NNS	attack
by	IN	by
Israel	NP	Israel
deeper	RBR	deeper
into	IN	into
uh	UH	uh
Lebanese	JJ	Lebanese
territory	NN	territory
against	IN	against
uh	UH	uh
Hezbollah	NP	Hezbollah
Israel	NP	Israel
wants	VVZ	want
to	TO	to
push	VV	push
Hezbollah	NP	Hezbollah
back	RB	back
from	IN	from
its	PP$	its
border	VV	border
uh	UH	uh
tens	NNS	ten
of	IN	of
thousands	NNS	thousand
of	IN	of
Israelis	NPS	Israelis
had	VHD	have
to	TO	to
leave	VV	leave
the	DT	the
area	NN	area
have	VHP	have
left	VVN	leave
homes	NNS	home
and	CC	and
uh	UH	uh
you	PP	you
know	VVP	know
cities	NNS	city
and	CC	and
uh	UH	uh
uh	UH	uh
villages	NNS	village
uh	UH	uh
in	IN	in
this	DT	this
area	NN	area
there	EX	there
have	VHP	have
been	VBN	be
displaced	VVN	displace
there	RB	there
and	CC	and
this	DT	this
is	VBZ	be
something	NN	something
that	IN/that	that
Israel	NP	Israel
cannot	MD	can
accept	VV	accept
so	IN	so
we	PP	we
heard	VVD	hear
Netanyahu	NP	Netanyahu
saying	VVG	say
that	IN/that	that
he	PP	he
would	MD	would
look	VV	look
for	IN	for
a	DT	a
diplomatic	JJ	diplomatic
solution	NN	solution
there	EX	there
are	VBP	be
some	DT	some
efforts	NNS	effort
underway	JJ	underway
but	CC	but
if	IN	if
there's	RB	there's
no	DT	no
diplomatic	JJ	diplomatic
solution	NN	solution
he	PP	he
would	MD	would
look	VV	look
uh	UH	uh
for	IN	for
another	DT	another
way	NN	way
and	CC	and
of	IN	of
course	NN	course
there	EX	there
is	VBZ	be
the	DT	the
concern	NN	concern
right	RB	right
now	RB	now
that	IN/that	that
if	IN	if
there	EX	there
would	MD	would
be	VB	be
an	DT	an
Israeli	JJ	Israeli
attack	NN	attack
on	IN	on
Southern	JJ	Southern
libanon	NN	libanon
this	DT	this
could	MD	could
actually	RB	actually
go	VV	go
into	IN	into
a	DT	a
wider	JJR	wide
uh	UH	uh
uh	UH	uh
War	NP	War
um	NNS	um
with	IN	with
Iran	NP	Iran
potentially	RB	potentially
joining	VVG	join
and	CC	and
its	PP$	its
militias	NNS	militia
across	IN	across
the	DT	the
region	NN	region
Tanya	NP	Tanya
thank	VVP	thank
you	PP	you
as	IN	as
always	RB	always
that	WDT	that
is	VBZ	be
DW's	NP	DW's
at	IN	at
Tanya	NP	Tanya
Kramer	NP	Kramer
in	IN	in
Jerusalem	NP	Jerusalem
</doc>	NP	</doc>
