<video_id>3-Ztp8GIAQc</video_id>	NP	<video_id>3-Ztp8GIAQc</video_id>
<video_title>Oslo	NP	<video_title>Oslo
Accords	NPS	Accord
laid	VVD	lay
groundwork	NN	groundwork
for	IN	for
two-state	NN	two-state
solution	NN	solution
|	SYM	|
DW	NP	DW
News</video_title>	NP	News</video_title>
<thumbnail_path>en_DW\Oslo	NP	<thumbnail_path>en_DW\Oslo
Accords	NPS	Accord
laid	VVD	lay
groundwork	NN	groundwork
for	IN	for
two-state	NN	two-state
solution	NN	solution
DW	NP	DW
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20231027</publish_date>	NN	<publish_date>20231027</publish_date>
<doc>	NN	<doc>
my	PP$	my
first	JJ	first
guest	NN	guest
tonight	NN	tonight
is	VBZ	be
a	DT	a
man	NN	man
who	WP	who
helped	VVD	help
bring	VV	bring
Israelis	NPS	Israelis
and	CC	and
Palestinians	NPS	Palestinians
as	RB	as
close	VV	close
to	TO	to
peace	NN	peace
as	IN	as
anyone	NN	anyone
Yosi	NP	Yosi
bin	NN	bin
is	VBZ	be
considered	VVN	consider
the	DT	the
architect	NN	architect
of	IN	of
the	DT	the
1994	CD	@card@
Oslo	NP	Oslo
Accords	NPS	Accord
between	IN	between
Israel	NP	Israel
and	CC	and
the	DT	the
Palestinian	NP	Palestinian
Liberation	NP	Liberation
Organization	NP	Organization
he	PP	he
served	VVD	serve
as	IN	as
Minister	NP	Minister
of	IN	of
Justice	NP	Justice
and	CC	and
religious	JJ	religious
Affairs	NNS	affair
under	IN	under
prime	JJ	prime
minister	NN	minister
ahud	NN	ahud
Barack	NP	Barack
and	CC	and
since	IN	since
then	RB	then
he	PP	he
has	VHZ	have
remained	VVN	remain
committed	VVN	commit
to	TO	to
a	DT	a
path	NN	path
to	TO	to
peace	VV	peace
just	RB	just
last	JJ	last
year	NN	year
he	PP	he
supported	VVD	support
a	DT	a
proposal	NN	proposal
for	IN	for
an	DT	an
Israeli	NP	Israeli
Palestinian	NP	Palestinian
Confederation	NP	Confederation
and	CC	and
I	PP	I
a	DT	a
that	WDT	that
seemingly	RB	seemingly
fell	VVD	fall
on	IN	on
deaf	JJ	deaf
ears	NNS	ear
Mr	NN	Mr
bin	NN	bin
it's	NNS	it's
good	JJ	good
to	TO	to
have	VH	have
you	PP	you
with	IN	with
us	PP	us
tonight	RB	tonight
um	VVZ	um
this	DT	this
week	NN	week
thank	VV	thank
you	PP	you
for	IN	for
having	VHG	have
me	PP	me
when	WRB	when
you	PP	you
look	VVP	look
at	IN	at
what	WP	what
happened	VVD	happen
at	IN	at
the	DT	the
the	DT	the
UN	NP	UN
this	DT	this
week	NN	week
when	WRB	when
the	DT	the
UN	NP	UN
Secretary	NP	Secretary
General	NP	General
said	VVD	say
that	IN/that	that
the	DT	the
October	NP	October
7th	JJ	7th
attack	NN	attack
did	VVD	do
not	RB	not
happen	VV	happen
in	IN	in
a	DT	a
vacuum	NN	vacuum
that	WDT	that
prompted	VVD	prompt
Israel's	NP	Israel's
un	NN	un
ambassador	NN	ambassador
to	TO	to
demand	VV	demand
that	IN/that	that
the	DT	the
Secretary	NP	Secretary
General	NP	General
resign	VV	resign
what	WP	what
did	VVD	do
you	PP	you
think	VVP	think
when	WRB	when
that	DT	that
[Music]	NN	[Music]
happened	VVD	happen
well	RB	well
the	DT	the
Antonio	NP	Antonio
gutes	NNS	gutes
is	VBZ	be
a	DT	a
somebody	NN	somebody
who	WP	who
supports	VVZ	support
Israel	NP	Israel
who	WP	who
believes	VVZ	believe
in	IN	in
Israel	NP	Israel
who	WP	who
believes	VVZ	believe
in	IN	in
peace	NN	peace
who	WP	who
was	VBD	be
shocked	VVN	shock
by	IN	by
what	WP	what
he	PP	he
W	NP	W
but	CC	but
what	WP	what
he	PP	he
saw	VVD	see
in	IN	in
the	DT	the
region	NN	region
and	CC	and
regretfully	RB	regretfully
he	PP	he
was	VBD	be
rejected	VVN	reject
when	WRB	when
he	PP	he
asked	VVD	ask
to	TO	to
visit	VV	visit
Israel	NP	Israel
few	JJ	few
days	NNS	day
ago	RB	ago
I	PP	I
don't	VVD	don't
know	VV	know
why	WRB	why
the	DT	the
Israeli	JJ	Israeli
government	NN	government
decided	VVD	decide
to	TO	to
do	VV	do
something	NN	something
like	IN	like
that	WDT	that
he	PP	he
made	VVD	make
a	DT	a
huge	JJ	huge
mistake	NN	mistake
by	IN	by
saying	VVG	say
that	IN/that	that
the	DT	the
attack	NN	attack
the	DT	the
the	DT	the
crazy	JJ	crazy
crazy	JJ	crazy
Isis	NP	Isis
kind	NN	kind
of	IN	of
attack	NN	attack
against	IN	against
babies	NNS	baby
and	CC	and
and	CC	and
women	NNS	woman
and	CC	and
and	CC	and
old	JJ	old
people	NNS	people
was	VBD	be
not	RB	not
in	IN	in
a	DT	a
vacuum	NN	vacuum
because	IN	because
it	PP	it
was	VBD	be
not	RB	not
a	DT	a
situation	NN	situation
that	IN/that	that
in	IN	in
in	IN	in
which	WDT	which
the	DT	the
Hamas	JJ	Hamas
people	NNS	people
are	VBP	be
saying	VVG	say
we	PP	we
would	MD	would
like	VV	like
to	TO	to
have	VH	have
peace	NN	peace
with	IN	with
Israel	NP	Israel
we	PP	we
would	MD	would
like	VV	like
to	TO	to
H	NP	H
divide	VVP	divide
the	DT	the
land	NN	land
we	PP	we
would	MD	would
like	VV	like
to	TO	to
live	VV	live
in	IN	in
peace	NN	peace
and	CC	and
it	PP	it
is	VBZ	be
impossible	JJ	impossible
and	CC	and
because	IN	because
they	PP	they
are	VBP	be
unemployed	JJ	unemployed
and	CC	and
and	CC	and
because	IN	because
they	PP	they
are	VBP	be
under	IN	under
Israel	NP	Israel
indirect	JJ	indirect
rule	NN	rule
they	PP	they
had	VHD	have
to	TO	to
do	VV	do
something	NN	something
no	RB	no
