<video_id>zp7yYxdNdb8</video_id>	JJ	<video_id>zp7yYxdNdb8</video_id>
<video_title>Thousands	NNS	<video_title>Thousands
of	IN	of
Israelis	NNS	Israeli
evacuated	VVN	evacuate
from	IN	from
towns	NNS	town
near	IN	near
Gaza	NP	Gaza
|	SYM	|
DW	JJ	DW
News</video_title>	JJ	News</video_title>
<thumbnail_path>en_DW\Thousands	NNS	<thumbnail_path>en_DW\Thousands
of	IN	of
Israelis	NNS	Israeli
evacuated	VVN	evacuate
from	IN	from
towns	NNS	town
near	IN	near
Gaza	NP	Gaza
DW	NP	DW
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20231010</publish_date>	NN	<publish_date>20231010</publish_date>
<doc>	NN	<doc>
we	PP	we
can	MD	can
join	VV	join
Rebecca	NP	Rebecca
Rus	NP	Rus
who's	NNS	who's
near	IN	near
zikim	NNS	zikim
in	IN	in
southern	JJ	southern
Israel	NP	Israel
close	NN	close
to	TO	to
the	DT	the
border	NN	border
with	IN	with
Gaza	NP	Gaza
welcome	JJ	welcome
Rebecca	NP	Rebecca
what's	NNS	what's
happening	VVG	happen
well	RB	well
just	RB	just
prior	JJ	prior
to	TO	to
coming	VVG	come
on	IN	on
air	NN	air
actually	RB	actually
Phil	NP	Phil
there	EX	there
was	VBD	be
another	DT	another
small	JJ	small
volley	NN	volley
of	IN	of
rockets	NNS	rocket
coming	VVG	come
from	IN	from
Gaza	NP	Gaza
uh	UH	uh
that	WDT	that
were	VBD	be
intercepted	VVN	intercept
here	RB	here
in	IN	in
our	PP$	our
area	NN	area
uh	UH	uh
but	CC	but
earlier	JJR	early
today	NN	today
uh	UH	uh
just	RB	just
around	IN	around
5:00	CD	@card@
p.m.	RB	p.m.
local	JJ	local
time	VV	time
uh	UH	uh
Hamas	NNS	Hamas
attacked	VVD	attack
the	DT	the
city	NN	city
of	IN	of
ashalon	NN	ashalon
now	RB	now
they	PP	they
sent	VVD	send
a	DT	a
message	NN	message
warning	VVG	warn
that	IN/that	that
they	PP	they
were	VBD	be
going	VVG	go
to	TO	to
carry	VV	carry
out	RP	out
this	DT	this
large	JJ	large
attack	NN	attack
warning	VVG	warn
residents	NNS	resident
to	TO	to
evacuate	VV	evacuate
because	IN	because
they	PP	they
were	VBD	be
going	VVG	go
to	TO	to
attack	VV	attack
that	IN/that	that
City	NP	City
uh	UH	uh
they	PP	they
did	VVD	do
so	RB	so
and	CC	and
there	EX	there
was	VBD	be
one	CD	one
