kisin	NN	kisin
thanks	NNS	thanks
for	IN	for
speaking	VVG	speak
to	TO	to
DW	NP	DW
um	NNS	um
Israel	NP	Israel
is	VBZ	be
saying	VVG	say
that	IN/that	that
it	PP	it
it	PP	it
'	POS	'
s	NN	S
on	IN	on
the	DT	the
brink	NN	brink
of	IN	of
mounting	VVG	mount
a	DT	a
new	JJ	new
offensive	NN	offensive
against	IN	against
Rafa	NP	Rafa
the	DT	the
town	NN	town
very	RB	very
the	DT	the
very	RB	very
bottom	JJ	bottom
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
over	IN	over
a	DT	a
million	CD	million
gazans	NNS	Gazan
have	VHP	have
sought	VVN	seek
Refuge	NP	Refuge
there	RB	there
there	EX	there
are	VBP	be
fears	NNS	fear
that	IN/that	that
there	EX	there
could	MD	could
be	VB	be
another	DT	another
wave	NN	wave
of	IN	of
of	IN	of
casualties	NNS	casualty
if	IN	if
we	PP	we
look	VVP	look
at	IN	at
Germany	NP	Germany
and	CC	and
the	DT	the
United	NP	United
States	NP	States
you	PP	you
know	VVP	know
really	RB	really
Israel	NP	Israel
'	POS	'
s	NN	S
two	CD	two
biggest	JJS	big
supporters	NNS	supporter
are	VBP	be
we	PP	we
getting	VVG	get
to	TO	to
the	DT	the
point	NN	point
where	WRB	where
you	PP	you
think	VVP	think
they	PP	they
need	VVP	need
to	TO	to
say	VV	say
to	TO	to
Israel	NP	Israel
enough	RB	enough
is	VBZ	be
enough	RB	enough
well	RB	well
the	DT	the
German	JJ	German
foreign	JJ	foreign
minister	NN	minister
has	VHZ	have
already	RB	already
said	VVN	say
it	PP	it
'	POS	'
s	NN	S
hell	NN	hell
there	RB	there
and	CC	and
um	RB	um
I	PP	I
think	VVP	think
this	DT	this
um	NNS	um
must	MD	must
not	RB	not
happen	VV	happen
um	NNS	um
the	DT	the
protection	NN	protection
of	IN	of
civilians	NNS	civilian
is	VBZ	be
key	JJ	key
so	IN	so
many	JJ	many
um	JJ	um
thousands	NNS	thousand
of	IN	of
children	NNS	child
have	VHP	have
already	RB	already
been	VBN	be
killed	VVN	kill
and	CC	and
um	RB	um
there	EX	there
is	VBZ	be
apparently	RB	apparently
no	DT	no
end	NN	end
inight	NN	inight
so	IN	so
I	PP	I
really	RB	really
hope	VVP	hope
that	IN/that	that
um	JJ	um
netan	NN	netan
reconsiders	VVZ	reconsider
that	IN/that	that
he	PP	he
does	VVZ	do
what	WDT	what
150	CD	@card@
countries	NNS	country
and	CC	and
more	JJR	more
asked	VVD	ask
in	IN	in
the	DT	the
United	NP	United
Nations	NPS	Nations
and	CC	and
finally	RB	finally
agreed	VVD	agree
to	TO	to
ceasefire	NN	ceasefire
and	CC	and
yet	RB	yet
that	DT	that
message	NN	message
is	VBZ	be
evidently	RB	evidently
not	RB	not
not	RB	not
getting	VVG	get
through	IN	through
from	IN	from
Germany	NP	Germany
or	CC	or
the	DT	the
United	NP	United
States	NPS	States
to	TO	to
Netanyahu	NP	Netanyahu
well	VV	well
it	PP	it
'	POS	'
s	NN	S
um	NNS	um
for	IN	for
um	VVG	um
the	DT	the
politicians	NNS	politician
to	TO	to
see	VV	see
what	WP	what
instruments	NNS	instrument
do	VVP	do
they	PP	they
have	VHP	have
so	RB	so
that	IN/that	that
their	PP$	their
appeal	NN	appeal
um	NN	um
is	VBZ	be
actually	RB	actually
hurt	VVN	hurt
we	PP	we
have	VHP	have
seen	VVN	see
President	NP	President
Biden	NP	Biden
we	PP	we
have	VHP	have
seen	VVN	see
Tony	NP	Tony
blinkin	NNS	blinkin
ask	VVP	ask
um	JJ	um
netan	NN	netan
to	TO	to
to	TO	to
stop	VV	stop
and	CC	and
and	CC	and
have	VH	have
a	DT	a
ceasefire	NN	ceasefire
to	TO	to
allow	VV	allow
for	IN	for
more	JJR	more
um	NNS	um
for	IN	for
more	JJR	more
help	NN	help
to	TO	to
come	VV	come
in	RP	in
and	CC	and
um	VVG	um
we	PP	we
'	POS	'
ll	NNS	ll
see	VVP	see
in	IN	in
in	IN	in
a	DT	a
short	JJ	short
time	NN	time
when	WRB	when
um	JJ	um
the	DT	the
Israeli	JJ	Israeli
government	NN	government
has	VHZ	have
to	TO	to
deliver	VV	deliver
a	DT	a
report	NN	report
to	TO	to
the	DT	the
international	JJ	international
court	NN	court
of	IN	of
justice	NN	justice
what	WP	what
it	PP	it
does	VVZ	do
to	TO	to
prevent	VV	prevent
genocide	NN	genocide
and	CC	and
we	PP	we
we	PP	we
need	VVP	need
we	PP	we
need	VVP	need
to	TO	to
stop	VV	stop
of	IN	of
of	IN	of
this	DT	this
killing	NN	killing
do	VVP	do
you	PP	you
believe	VVP	believe
that	RB	that
that	IN/that	that
there	EX	there
is	VBZ	be
any	DT	any
evidence	NN	evidence
that	IN/that	that
the	DT	the
genocide	NN	genocide
could	MD	could
be	VB	be
taking	VVG	take
place	NN	place
or	CC	or
a	DT	a
risk	NN	risk
of	IN	of
taking	VVG	take
place	NN	place
well	RB	well
the	DT	the
this	DT	this
is	VBZ	be
what	WP	what
the	DT	the
international	JJ	international
court	NN	court
has	VHZ	have
said	VVN	say
by	IN	by
accepting	VVG	accept
um	NNS	um
the	DT	the
South	JJ	South
African	JJ	African
request	NN	request
and	CC	and
it	PP	it
has	VHZ	have
said	VVN	say
there	EX	there
is	VBZ	be
a	DT	a
danger	NN	danger
of	IN	of
genocide	NN	genocide
and	CC	and
to	TO	to
prevent	VV	prevent
this	DT	this
um	NNS	um
it	PP	it
asks	VVZ	ask
certain	JJ	certain
measures	NNS	measure
to	TO	to
be	VB	be
taken	VVN	take
and	CC	and
um	RB	um
this	DT	this
um	NNS	um
will	MD	will
now	RB	now
