I	NP	I
'	POS	'
m	NN	m
CLA	NP	CLA
Richardson	NP	Richardson
thank	VVP	thank
you	PP	you
so	RB	so
much	RB	much
for	IN	for
joining	VVG	join
us	PP	us
we	PP	we
begin	VVP	begin
with	IN	with
breaking	VVG	break
news	NN	news
Israel	NP	Israel
says	VVZ	say
it	PP	it
has	VHZ	have
dismissed	VVN	dismiss
two	CD	two
officers	NNS	officer
and	CC	and
reprimanded	VVD	reprimand
three	CD	three
others	NNS	other
for	IN	for
Monday	NP	Monday
'	POS	'
s	JJ	s
air	NN	air
strikes	NNS	strike
in	IN	in
Gaza	NP	Gaza
that	WDT	that
killed	VVD	kill
seven	CD	seven
Aid	NP	Aid
workers	NNS	worker
Israel	NP	Israel
'	POS	'
s	NN	S
military	NN	military
admitted	VVD	admit
a	DT	a
series	NN	series
of	IN	of
grave	JJ	grave
mistakes	NNS	mistake
saying	VVG	say
the	DT	the
soldiers	NNS	soldier
mishandled	VVD	mishandle
critical	JJ	critical
information	NN	information
and	CC	and
violated	VVD	violate
the	DT	the
Army	NP	Army
'	POS	'
s	JJ	s
Rules	NNS	rule
of	IN	of
Engagement	NN	engagement
we	PP	we
can	MD	can
get	VV	get
the	DT	the
very	RB	very
latest	JJS	late
on	IN	on
this	DT	this
from	IN	from
DW	NP	DW
'	POS	'
s	NN	S
correspondent	NN	correspondent
Tanya	NP	Tanya
Kramer	NP	Kramer
joining	VVG	join
me	PP	me
now	RB	now
from	IN	from
Jerusalem	NP	Jerusalem
Tanya	NP	Tanya
what	WP	what
more	RBR	more
we	PP	we
know	VVP	know
about	IN	about
the	DT	the
results	NNS	result
of	IN	of
this	DT	this
investigation	NN	investigation
well	RB	well
this	DT	this
report	NN	report
was	VBD	be
just	JJ	just
uh	UH	uh
released	VVN	release
by	IN	by
the	DT	the
military	JJ	military
and	CC	and
they	PP	they
'	POS	'
re	NN	re
basically	RB	basically
saying	VVG	say
that	IN/that	that
the	DT	the
forces	VVZ	force
uh	UH	uh
they	PP	they
were	VBD	be
riding	VVG	ride
there	RB	there
identified	VVN	identify
a	DT	a
uh	UH	uh
Hamas	NN	Hamas
gunman	NN	gunman
on	IN	on
one	CD	one
of	IN	of
the	DT	the
trucks	NNS	truck
where	WRB	where
the	DT	the
uh	UH	uh
World	NP	World
Central	NP	Central
Kitchen	NP	Kitchen
uh	UH	uh
Aid	NN	aid
workers	NNS	worker
were	VBD	be
at	IN	at
the	DT	the
time	NN	time
they	PP	they
were	VBD	be
then	RB	then
uh	UH	uh
um	NNS	um
you	PP	you
know	VVP	know
offloading	VVG	offload
uh	UH	uh
the	DT	the
the	DT	the
aid	NN	aid
from	IN	from
there	RB	there
and	CC	and
then	RB	then
uh	UH	uh
turning	VVG	turn
back	RB	back
from	IN	from
this	DT	this
Warehouse	NN	warehouse
in	IN	in
central	JJ	central
Gaza	NP	Gaza
now	RB	now
they	PP	they
say	VVP	say
