<video_id>OOwIfWVdw-8</video_id>	NP	<video_id>OOwIfWVdw-8</video_id>
<video_title>UN	NP	<video_title>UN
Security	NP	Security
Council	NP	Council
holds	VVZ	hold
meeting	NN	meeting
on	IN	on
Palestine	NP	Palestine
|	SYM	|
DW	NP	DW
News</video_title>	NP	News</video_title>
<thumbnail_path>en_DW\UN	NP	<thumbnail_path>en_DW\UN
Security	NP	Security
Council	NP	Council
holds	VVZ	hold
meeting	NN	meeting
on	IN	on
Palestine	NP	Palestine
DW	NP	DW
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20240813</publish_date>	NN	<publish_date>20240813</publish_date>
<doc>	NN	<doc>
you	PP	you
of	IN	of
procedure	NN	procedure
I	PP	I
invite	VVP	invite
the	DT	the
following	VVG	follow
briefers	NNS	briefers
to	TO	to
participate	VV	participate
in	IN	in
this	DT	this
meeting	NN	meeting
Miss	NP	Miss
Rosemary	NP	Rosemary
de	NP	de
Caro	NP	Caro
under	IN	under
secret	JJ	secret
general	NN	general
for	IN	for
political	JJ	political
and	CC	and
peace	NN	peace
building	VVG	build
Affairs	NPS	Affairs
and	CC	and
Miss	NP	Miss
Lisa	NP	Lisa
dtin	NN	dtin
director	NN	director
of	IN	of
financing	NN	financing
and	CC	and
partnership	NN	partnership
Division	NN	division
office	NN	office
for	IN	for
the	DT	the
coordination	NN	coordination
of	IN	of
humanitarian	JJ	humanitarian
Affairs	NNS	affair
it	PP	it
is	VBZ	be
so	RB	so
decided	VVN	decide
the	DT	the
security	NN	security
Council	NN	council
will	MD	will
now	RB	now
begin	VV	begin
its	PP$	its
consideration	NN	consideration
of	IN	of
item	NN	item
two	CD	two
of	IN	of
the	DT	the
agenda	NN	agenda
I	PP	I
now	RB	now
give	VVP	give
the	DT	the
floor	NN	floor
to	TO	to
miss	VV	miss
Rosemary	NP	Rosemary
dealo	NP	dealo
Mr	NP	Mr
President	NP	President
members	NNS	member
of	IN	of
the	DT	the
security	NN	security
Council	NN	council
and	CC	and
increasing	VVG	increase
tensions	NNS	tension
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
the	DT	the
devastating	JJ	devastating
Israeli	JJ	Israeli
attack	NN	attack
on	IN	on
the	DT	the
elban	JJ	elban
school	NN	school
in	IN	in
Gaza	NP	Gaza
City	NP	City
which	WDT	which
prompted	VVD	prompt
this	DT	this
meeting	NN	meeting
points	VVZ	point
once	RB	once
again	RB	again
to	TO	to
the	DT	the
desperate	JJ	desperate
need	NN	need
to	TO	to
reach	VV	reach
a	DT	a
ceasefire	NN	ceasefire
free	VV	free
the	DT	the
hostages	NNS	hostage
and	CC	and
scale	VV	scale
up	RP	up
humanitarian	JJ	humanitarian
Aid	NN	aid
to	TO	to
Gaza	NP	Gaza
the	DT	the
Israel	NP	Israel
Defense	NP	Defense
Forces	NP	Forces
air	NN	air
strike	NN	strike
in	IN	in
the	DT	the
Alban	NP	Alban
School	NP	School
compound	NN	compound
took	VVD	take
place	NN	place
early	RB	early
on	IN	on
10	CD	@card@
August	NP	August
it	PP	it
killed	VVD	kill
dozens	NNS	dozen
of	IN	of
Palestinians	NPS	Palestinians
and	CC	and
wounded	JJ	wounded
many	JJ	many
others	NNS	other
including	VVG	include
women	NNS	woman
and	CC	and
children	NNS	child
according	VVG	accord
to	TO	to
local	JJ	local
Palestinian	JJ	Palestinian
sources	NNS	source
the	DT	the
Secretary	NP	Secretary
General	NP	General
condemned	VVD	condemn
the	DT	the
continued	JJ	continued
loss	NN	loss
of	IN	of
life	NN	life
in	IN	in
Gaza	NP	Gaza
following	VVG	follow
another	DT	another
attack	NN	attack
on	IN	on
a	DT	a
school	NN	school
Sheltering	VVG	shelter
hundreds	NNS	hundred
of	IN	of
displaced	VVN	displace
Palestinian	JJ	Palestinian
families	NNS	family
according	VVG	accord
to	TO	to
Israel	NP	Israel
the	DT	the
IDF	NP	IDF
targeted	VVD	target
a	DT	a
Hamas	NP	Hamas
Command	NP	Command
Center	NP	Center
in	IN	in
a	DT	a
mosque	NN	mosque
inside	IN	inside
the	DT	the
school	NN	school
compound	NN	compound
and	CC	and
killed	VVN	kill
at	IN	at
least	JJS	least
31	CD	@card@
Hamas	NNS	Hamas
and	CC	and
Palestinian	JJ	Palestinian
Islamic	JJ	Islamic
Jihad	NP	Jihad
Fighters	NNS	fighter
as	IN	as
the	DT	the
Secretary	NP	Secretary
General	NP	General
underlined	VVD	underline
yesterday	NN	yesterday
International	NP	International
humanitarian	JJ	humanitarian
law	NN	law
including	VVG	include
the	DT	the
principles	NNS	principle
of	IN	of
Distinction	NN	distinction
proportionality	NN	proportionality
and	CC	and
precautions	NNS	precaution
in	IN	in
attack	NN	attack
must	MD	must
be	VB	be
upheld	VVN	uphold
at	IN	at
all	DT	all
times	NNS	time
also	RB	also
yesterday	NN	yesterday
Hamas	NNS	Hamas
announced	VVD	announce
the	DT	the
killing	NN	killing
of	IN	of
a	DT	a
hostage	NN	hostage
and	CC	and
serious	JJ	serious
injury	NN	injury
of	IN	of
two	CD	two
other	JJ	other
Hamas	JJ	Hamas
others	NNS	other
by	IN	by
Hamas	JJ	Hamas
militants	NNS	militant
while	IN	while
in	IN	in
captivity	NN	captivity
in	IN	in
Gaza	NP	Gaza
both	CC	both
sides	NNS	side
have	VHP	have
stated	VVN	state
they	PP	they
are	VBP	be
looking	VVG	look
into	IN	into
the	DT	the
incidents	NNS	incident
Mr	NP	Mr
President	NP	President
with	IN	with
hostilities	NNS	hostility
continuing	VVG	continue
across	IN	across
the	DT	the
strip	NN	strip
including	VVG	include
in	IN	in
the	DT	the
north	NN	north
around	IN	around
Gaza	NP	Gaza
City	NP	City
in	IN	in
the	DT	the
middle	JJ	middle
area	NN	area
in	IN	in
con	JJ	con
Yunis	NP	Yunis
and	CC	and
in	IN	in
and	CC	and
around	IN	around
Rafa	NP	Rafa
the	DT	the
situation	NN	situation
remains	VVZ	remain
catastrophic	JJ	catastrophic
for	IN	for
civilians	NNS	civilian
no	DT	no
place	NN	place
is	VBZ	be
safe	JJ	safe
in	IN	in
Gaza	NP	Gaza
yet	CC	yet
Civ	NP	Civ
I	NP	I
Ians	NPS	Ian
continue	VVP	continue
to	TO	to
be	VB	be
ordered	VVN	order
to	TO	to
evacuate	VV	evacuate
to	TO	to
ever	RB	ever
shrinking	VVG	shrink
areas	NNS	area
my	PP$	my
colleague	NN	colleague
director	NN	director
Doon	NP	Doon
from	IN	from
OA	NP	OA
will	MD	will
brief	VV	brief
you	PP	you
shortly	RB	shortly
in	IN	in
more	JJR	more
detail	NN	detail
regarding	VVG	regard
the	DT	the
dire	JJ	dire
humanitarian	JJ	humanitarian
conditions	NNS	condition
in	IN	in
Gaza	NP	Gaza
10	CD	@card@
months	NNS	month
since	IN	since
the	DT	the
start	NN	start
of	IN	of
the	DT	the
war	NN	war
the	DT	the
threat	NN	threat
of	IN	of
further	JJR	further
Regional	JJ	regional
escalation	NN	escalation
is	VBZ	be
more	RBR	more
palpable	JJ	palpable
and	CC	and
chilling	JJ	chilling
than	IN	than
ever	RB	ever
exchanges	NNS	exchange
of	IN	of
fire	NN	fire
across	IN	across
the	DT	the
Blue	NP	Blue
Line	NP	Line
have	VHP	have
continued	VVN	continue
nearly	RB	nearly
daily	RB	daily
since	IN	since
I	PP	I
last	JJ	last
brief	NN	brief
on	IN	on
31	CD	@card@
July	NP	July
numerous	JJ	numerous
projectiles	NNS	projectile
have	VHP	have
been	VBN	be
fired	VVN	fire
from	IN	from
Lebanon	NP	Lebanon
across	IN	across
the	DT	the
Blue	NP	Blue
Line	NP	Line
causing	VVG	cause
damage	NN	damage
to	TO	to
buildings	NNS	building
and	CC	and
bushfires	NNS	bushfires
in	IN	in
open	JJ	open
areas	NNS	area
the	DT	the
IDF	NP	IDF
has	VHZ	have
responded	VVN	respond
with	IN	with
strikes	NNS	strike
across	IN	across
the	DT	the
blue	JJ	blue
line	NN	line
into	IN	into
Southern	NP	Southern
Lebanon	NP	Lebanon
uncrewed	JJ	uncrewed
aerial	JJ	aerial
Vehicles	NNS	vehicle
crossing	VVG	cross
the	DT	the
blue	JJ	blue
line	NN	line
from	IN	from
Southern	NP	Southern
Lebanon	NP	Lebanon
have	VHP	have
also	RB	also
continued	VVN	continue
an	DT	an
IDF	NP	IDF
base	NN	base
was	VBD	be
hit	VVN	hit
across	IN	across
the	DT	the
Blue	NP	Blue
Line	NP	Line
while	IN	while
yet	RB	yet
while	IN	while
another	DT	another
base	NN	base
was	VBD	be
hit	VVN	hit
near	IN	near
naria	NP	naria
and	CC	and
North	NP	North
norn	NP	Norn
Israel	NP	Israel
