meanwhile	RB	meanwhile
US	NP	US
Secretary	NP	Secretary
of	IN	of
State	NP	State
Anthony	NP	Anthony
blinkin	NN	blinkin
says	VVZ	say
Israel	NP	Israel
'	POS	'
s	JJ	s
tactics	NNS	tactic
in	IN	in
Gaza	NP	Gaza
have	VHP	have
meant	VVN	mean
a	DT	a
horrible	JJ	horrible
loss	NN	loss
of	IN	of
life	NN	life
for	IN	for
civilians	NNS	civilian
but	CC	but
they	PP	they
have	VHP	have
failed	VVN	fail
to	TO	to
neutralize	VV	neutralize
Hamas	JJ	Hamas
leaders	NNS	leader
and	CC	and
Fighters	NNS	fighter
his	PP$	his
comments	NNS	comment
come	VVN	come
as	IN	as
the	DT	the
Israeli	JJ	Israeli
military	JJ	military
expans	NNS	expans
its	PP$	its
attack	NN	attack
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
hundreds	NNS	hundred
of	IN	of
thousands	NNS	thousand
of	IN	of
Palestinians	NPS	Palestinians
have	VHP	have
fled	VVN	flee
the	DT	the
southern	JJ	southern
city	NN	city
of	IN	of
Rafa	NP	Rafa
where	WRB	where
Israel	NP	Israel
is	VBZ	be
targeting	VVG	target
Hamas	JJ	Hamas
Fighters	NNS	fighter
Israeli	JJ	Israeli
tanks	NNS	tank
have	VHP	have
also	RB	also
re	IN	re
-	NN	-
entered	VVN	enter
Northern	NP	Northern
Gaza	NP	Gaza
after	IN	after
Israel	NP	Israel
said	VVD	say
that	IN/that	that
Hamas	JJ	Hamas
forces	NNS	force
were	VBD	be
trying	VVG	try
to	TO	to
regroup	VV	regroup
in	IN	in
the	DT	the
area	NN	area
Israeli	JJ	Israeli
tanks	NNS	tank
heading	VVG	head
back	RB	back
into	IN	into
Northern	NP	Northern
Gaza	NP	Gaza
the	DT	the
Israeli	JJ	Israeli
military	NN	military
had	VHD	have
declared	VVN	declare
victory	NN	victory
over	IN	over
Hamas	NP	Hamas
here	RB	here
months	NNS	month
ago	RB	ago
now	RB	now
it	PP	it
says	VVZ	say
it	PP	it
'	''	'
s	NNS	s
gone	VVN	go
back	RB	back
to	TO	to
stop	VV	stop
the	DT	the
militant	JJ	militant
group	NN	group
reestablishing	VVG	reestablish
control	NN	control
Palestinians	NNS	Palestinian
living	VVG	live
here	RB	here
in	IN	in
the	DT	the
jabalia	NN	jabalia
refugee	NN	refugee
camp	NN	camp
just	RB	just
north	RB	north
of	IN	of
Gaza	NP	Gaza
City	NP	City
have	VHP	have
been	VBN	be
told	VVN	tell
to	TO	to
evacuate	VV	evacuate
with	IN	with
the	DT	the
area	NN	area
still	RB	still
devastated	VVN	devastate
from	IN	from
the	DT	the
earlier	RBR	earlier
Israeli	JJ	Israeli
operations	NNS	operation
and	CC	and
new	JJ	new
air	NN	air
strike	NN	strike
raining	VVG	rain
down	RP	down
residents	NNS	resident
are	VBP	be
hurrying	VVG	hurry
to	TO	to
get	VV	get
out	RP	out
but	CC	but
many	JJ	many
of	IN	of
those	DT	those
rushing	VVG	rush
to	TO	to
flee	VV	flee
with	IN	with
everything	NN	everything
they	PP	they
could	MD	could
take	VV	take
with	IN	with
them	PP	them
said	VVD	say
that	IN/that	that
there	EX	there
was	VBD	be
nowhere	RB	nowhere
safe	JJ	safe
left	NN	left
for	IN	for
them	PP	them
to	TO	to
go	VV	go
we	PP	we
left	VVD	leave
the	DT	the
camp	NN	camp
but	CC	but
we	PP	we
don	VVP	don
'	''	'
t	NN	t
know	VVP	know
where	WRB	where
to	TO	to
go	VV	go
we	PP	we
don	VV	don
'	''	'
t	NN	t
know	VVP	know
where	WRB	where
to	TO	to
head	VV	head
we	PP	we
don	VV	don
'	''	'
t	NN	t
have	VHP	have
food	NN	food
drink	NN	drink
or	CC	or
clothes	NNS	clothes
we	PP	we
have	VHP	have
to	TO	to
move	VV	move
every	DT	every
day	NN	day
we	PP	we
move	VVP	move
