<video_id>2qHNnWQHahQ</video_id>	NP	<video_id>2qHNnWQHahQ</video_id>
<video_title>US,	NP	<video_title>US,
Algeria	NP	Algeria
propose	VV	propose
dueling	VVG	duel
Israel-Hamas	JJ	Israel-Hamas
cease-fire	NN	cease-fire
resolutions	NNS	resolution
to	TO	to
UN	NP	UN
|	SYM	|
DW	NP	DW
News</video_title>	NP	News</video_title>
<thumbnail_path>en_DW\US,	NP	<thumbnail_path>en_DW\US,
Algeria	NP	Algeria
propose	VV	propose
dueling	VVG	duel
Israel-Hamas	JJ	Israel-Hamas
cease-fire	NN	cease-fire
resolutions	NNS	resolution
to	TO	to
UN	NP	UN
DW	NP	DW
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20240220</publish_date>	NN	<publish_date>20240220</publish_date>
<doc>	NN	<doc>
elsewhere	RB	elsewhere
the	DT	the
UN	NP	UN
Security	NP	Security
Council	NP	Council
is	VBZ	be
set	VVN	set
to	TO	to
vote	VV	vote
in	IN	in
a	DT	a
few	JJ	few
hours	NNS	hour
on	IN	on
a	DT	a
resolution	NN	resolution
demanding	VVG	demand
a	DT	a
ceasefire	NN	ceasefire
in	IN	in
the	DT	the
war	NN	war
between	IN	between
Israel	NP	Israel
and	CC	and
Hamas	NP	Hamas
which	WDT	which
is	VBZ	be
labeled	VVN	label
as	IN	as
a	DT	a
terrorist	JJ	terrorist
organization	NN	organization
in	IN	in
many	JJ	many
countries	NNS	country
the	DT	the
Algeria	NP	Algeria
sponsored	VVD	sponsor
plan	NN	plan
representing	VVG	represent
several	JJ	several
Arab	NP	Arab
Nations	NPS	Nations
calls	VVZ	call
for	IN	for
an	DT	an
immediate	JJ	immediate
humanitarian	JJ	humanitarian
ceasefire	NN	ceasefire
as	RB	as
well	RB	well
as	IN	as
the	DT	the
release	NN	release
of	IN	of
all	DT	all
hostages	NNS	hostage
the	DT	the
US	NP	US
has	VHZ	have
said	VVN	say
that	IN/that	that
it	PP	it
will	MD	will
veto	VV	veto
that	DT	that
resolution	NN	resolution
and	CC	and
has	VHZ	have
instead	RB	instead
proposed	VVN	propose
its	PP$	its
own	JJ	own
it	PP	it
calls	VVZ	call
for	IN	for
a	DT	a
temporary	JJ	temporary
ceasefire	NN	ceasefire
linked	VVN	link
to	TO	to
the	DT	the
release	NN	release
of	IN	of
hostages	NNS	hostage
it	PP	it
is	VBZ	be
yet	RB	yet
unclear	JJ	unclear
if	IN	if
the	DT	the
US	NP	US
resolution	NN	resolution
will	MD	will
be	VB	be
put	VVN	put
to	TO	to
a	DT	a
vote	NN	vote
as	RB	as
well	RB	well
for	IN	for
more	JJR	more
contacts	NNS	contact
let's	NNS	let's
bring	VVP	bring
in	IN	in
DW	NN	DW
correspondent	NN	correspondent
Aman	NP	Aman
SF	NP	SF
who	WP	who
has	VHZ	have
the	DT	the
view	NN	view
right	RB	right
now	RB	now
from	IN	from
Jerusalem	NP	Jerusalem
so	IN	so
I	PP	I
mean	VVP	mean
why	WRB	why
two	CD	two
resolutions	NNS	resolution
what's	JJ	what's
what's	NNS	what's
different	JJ	different
between	IN	between
them	PP	them
well	RB	well
there's	RB	there's
actually	RB	actually
a	DT	a
lot	NN	lot
less	JJR	less
difference	NN	difference
than	IN	than
you	PP	you
might	MD	might
think	VV	think
it	PP	it
essentially	RB	essentially
boils	VVZ	boil
down	RP	down
to	TO	to
the	DT	the
wording	NN	wording
on	IN	on
the	DT	the
time	NN	time
frame	NN	frame
for	IN	for
the	DT	the
ceasefire	NN	ceasefire
so	RB	so
whereas	IN	whereas
the	DT	the
Algerian	JJ	Algerian
ceasefire	NN	ceasefire
resolution	NN	resolution
calls	VVZ	call
for	IN	for
an	DT	an
immediate	JJ	immediate
ceasefire	NN	ceasefire
uh	UH	uh
the	DT	the
UN	NP	UN
resolution	NN	resolution
calls	VVZ	call
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
and	CC	and
the	DT	the
release	NN	release
of	IN	of
hostages	NNS	hostage
when	WRB	when
practicable	JJ	practicable
both	DT	both
call	NN	call
for	IN	for
the	DT	the
release	NN	release
of	IN	of
hostages	NNS	hostage
of	IN	of
course	NN	course
but	CC	but
that	DT	that
