<	SYM	<
doc	NN	doc
>	SYM	>
US	NP	US
President	NP	President
Joe	NP	Joe
Biden	NP	Biden
has	VHZ	have
endorsed	VVN	endorse
what	WP	what
he	PP	he
calls	VVZ	call
an	DT	an
Israeli	JJ	Israeli
proposal	NN	proposal
for	IN	for
a	DT	a
permanent	JJ	permanent
ceasefire	NN	ceasefire
in	IN	in
Gaza	NP	Gaza
the	DT	the
plan	NN	plan
would	MD	would
unfold	VV	unfold
in	IN	in
three	CD	three
phases	NNS	phase
and	CC	and
assure	VV	assure
a	DT	a
permanent	JJ	permanent
ceasefire	NN	ceasefire
the	DT	the
return	NN	return
of	IN	of
Israeli	JJ	Israeli
hostages	NNS	hostage
and	CC	and
the	DT	the
Reconstruction	NN	reconstruction
of	IN	of
Gaza	NP	Gaza
Hamas	NP	Hamas
has	VHZ	have
released	VVN	release
a	DT	a
statement	NN	statement
saying	VVG	say
it	PP	it
views	VVZ	view
The	DT	the
Proposal	NN	proposal
positively	RB	positively
the	DT	the
office	NN	office
of	IN	of
Israeli	NP	Israeli
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
has	VHZ	have
said	VVN	say
it	PP	it
still	RB	still
wants	VVZ	want
to	TO	to
see	VV	see
the	DT	the
destruction	NN	destruction
of	IN	of
hamas	NNS	hamas
'	POS	'
s	NN	S
military	NN	military
and	CC	and
governing	VVG	govern
ability	NN	ability
here	RB	here
'	POS	'
s	JJ	s
Biden	NP	Biden
speaking	NN	speaking
from	IN	from
the	DT	the
White	NP	White
House	NP	House
this	DT	this
is	VBZ	be
truly	RB	truly
a	DT	a
decisive	JJ	decisive
moment	NN	moment
Israel	NP	Israel
'	POS	'
s	NN	S
made	VVD	make
their	PP$	their
proposal	NN	proposal
Hamas	NN	Hamas
says	VVZ	say
it	PP	it
wants	VVZ	want
to	TO	to
cease	VV	cease
fire	VV	fire
this	DT	this
deal	NN	deal
is	VBZ	be
an	DT	an
opportunity	NN	opportunity
to	TO	to
prove	VV	prove
whether	IN	whether
they	PP	they
really	RB	really
mean	VVP	mean
it	PP	it
Hamas	RB	Hamas
needs	VVZ	need
to	TO	to
take	VV	take
the	DT	the
deal	NN	deal
I	PP	I
know	VVP	know
there	EX	there
are	VBP	be
those	DT	those
in	IN	in
Israel	NP	Israel
who	WP	who
will	MD	will
not	RB	not
agree	VV	agree
with	IN	with
this	DT	this
plan	NN	plan
and	CC	and
will	MD	will
call	VV	call
for	IN	for
the	DT	the
war	NN	war
to	TO	to
continue	VV	continue
indefinitely	RB	indefinitely
some	RB	some
some	DT	some
are	VBP	be
even	RB	even
in	IN	in
the	DT	the
government	NN	government
Coalition	NP	Coalition
I	PP	I
ask	VVP	ask
you	PP	you
to	TO	to
take	VV	take
a	DT	a
step	NN	step
back	RB	back
and	CC	and
think	VV	think
what	WP	what
will	MD	will
happen	VV	happen
if	IN	if
this	DT	this
moment	NN	moment
is	VBZ	be
lost	VVN	lose
we	PP	we
can	MD	can
'	''	'
t	NN	t
lose	VV	lose
this	DT	this
moment	NN	moment
it	PP	it
'	POS	'
s	JJ	s
time	NN	time
to	TO	to
begin	VV	begin
this	DT	this
new	JJ	new
stage	NN	stage
for	IN	for
the	DT	the
hostages	NNS	hostage
to	TO	to
come	VV	come
home	NN	home
for	IN	for
Israel	NP	Israel
to	TO	to
be	VB	be
secure	JJ	secure
for	IN	for
the	DT	the
suffering	NN	suffering
to	TO	to
stop	VV	stop
it	PP	it
'	POS	'
s	JJ	s
time	NN	time
for	IN	for
this	DT	this
war	NN	war
to	TO	to
end	VV	end
over	RP	over
to	TO	to
Benjamin	NP	Benjamin
Alvarez	NP	Alvarez
grber	NP	grber
in	IN	in
Washington	NP	Washington
Benjamin	NP	Benjamin
tell	VV	tell
us	PP	us
more	JJR	more
about	IN	about
what	WP	what
'	POS	'
s	NN	S
in	IN	in
this	DT	this
plan	NN	plan
that	IN/that	that
Biden	NP	Biden
has	VHZ	have
just	RB	just
announced	VVN	announce
so	IN	so
president	NN	president
Biden	NP	Biden
laid	VVD	lay
out	RP	out
what	WP	what
he	PP	he
described	VVD	describe
as	IN	as
a	DT	a
three	CD	three
-	NN	-
phase	NN	phase
proposal	NN	proposal
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
the	DT	the
first	JJ	first
phase	NN	phase
involves	VVZ	involve
a	DT	a
six	CD	six
-	NN	-
we	PP	we
ceasefire	NN	ceasefire
when	WRB	when
Israel	NP	Israel
forces	NNS	force
would	MD	would
withdraw	VV	withdraw
from	IN	from
what	WP	what
he	PP	he
called	VVD	call
were	VBD	be
all	RB	all
populated	VVN	populate
areas	NNS	area
of	IN	of
Gaza	NP	Gaza
some	DT	some
hostages	NNS	hostage
would	MD	would
be	VB	be
freed	VVN	free
in	IN	in
exchange	NN	exchange
for	IN	for
some	DT	some
Palestinian	JJ	Palestinian
prisoners	NNS	prisoner
and	CC	and
Palestinian	JJ	Palestinian
civilians	NNS	civilian
would	MD	would
return	VV	return
also	RB	also
trucks	NNS	truck
of	IN	of
humanitarian	JJ	humanitarian
Aid	NN	aid
would	MD	would
be	VB	be
allowed	VVN	allow
into	IN	into
Gaza	NP	Gaza
in	IN	in
the	DT	the
second	JJ	second
phase	NN	phase
then	RB	then
Hamas	NP	Hamas
and	CC	and
Israel	NP	Israel
would	MD	would
negotiate	VV	negotiate
terms	NNS	term
of	IN	of
a	DT	a
permanent	JJ	permanent
end	NN	end
two	CD	two
hostilities	NNS	hostility
in	IN	in
the	DT	the
third	JJ	third
phase	NN	phase
will	MD	will
then	RB	then
include	VV	include
a	DT	a
reconstruction	NN	reconstruction
plan	NN	plan
for	IN	for
Gaza	NP	Gaza
what	WP	what
President	NP	President
Biden	NP	Biden
said	VVD	say
is	VBZ	be
that	IN/that	that
this	DT	this
was	VBD	be
a	DT	a
proposal	NN	proposal
that	WDT	that
was	VBD	be
transmitted	VVN	transmit
by	IN	by
Qatar	NP	Qatar
to	TO	to
Hamas	NP	Hamas
and	CC	and
what	WP	what
we	PP	we
heard	VVD	hear
that	IN/that	that
they	PP	they
would	MD	would
be	VB	be
open	JJ	open
and	CC	and
well	RB	well
also	RB	also
willing	JJ	willing
and	CC	and
accepting	VVG	accept
and	CC	and
saying	VVG	say
that	IN/that	that
they	PP	they
look	VVP	look
further	RBR	further
to	TO	to
also	RB	also
going	VVG	go
in	IN	in
that	DT	that
direction	NN	direction
Benyamin	NP	Benyamin
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
has	VHZ	have
repeatedly	RB	repeatedly
said	VVN	say
that	IN/that	that
he	PP	he
won	VVD	win
'	''	'
t	NN	t
stop	NN	stop
until	IN	until
Hamas	NP	Hamas
is	VBZ	be
completely	RB	completely
destroyed	VVN	destroy
he	PP	he
'	POS	'
s	NN	S
resisted	VVD	resist
calls	NNS	call
even	RB	even
from	IN	from
the	DT	the
US	NP	US
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
up	RB	up
to	TO	to
this	DT	this
point	NN	point
what	WP	what
has	VHZ	have
changed	VVN	change
that	IN/that	that
'	POS	'
s	NN	S
right	NN	right
and	CC	and
it	PP	it
'	POS	'
s	NN	S
also	RB	also
interesting	JJ	interesting
that	IN/that	that
it	PP	it
'	POS	'
s	NNS	s
the	DT	the
president	NN	president
of	IN	of
the	DT	the
United	NP	United
States	NPS	States
and	CC	and
not	RB	not
the	DT	the
prime	JJ	prime
minister	NN	minister
of	IN	of
Israel	NP	Israel
that	WDT	that
presents	VVZ	present
this	DT	this
Israeli	JJ	Israeli
proposal	NN	proposal
because	IN	because
just	RB	just
recently	RB	recently
Israel	NP	Israel
said	VVD	say
that	IN/that	that
it	PP	it
would	MD	would
not	RB	not
end	VV	end
the	DT	the
war	NN	war
in	IN	in
exchange	NN	exchange
for	IN	for
the	DT	the
hostages	NNS	hostage
and	CC	and
looking	VVG	look
into	IN	into
the	DT	the
reactions	NNS	reaction
and	CC	and
looking	VVG	look
what	WP	what
the	DT	the
office	NN	office
of	IN	of
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
of	IN	of
Israel	NP	Israel
also	RB	also
said	VVD	say
to	TO	to
this	DT	this
proposal	NN	proposal
and	CC	and
a	DT	a
quote	NN	quote
that	IN/that	that
it	PP	it
would	MD	would
also	RB	also
enable	VV	enable
Israel	NP	Israel
to	TO	to
continue	VV	continue
the	DT	the
war	NN	war
until	IN	until
all	PDT	all
its	PP$	its
objectives	NNS	objective
are	VBP	be
achieved	VVN	achieve
and	CC	and
that	IN/that	that
of	IN	of
course	NN	course
sounds	VVZ	sound
quite	RB	quite
different	JJ	different
to	TO	to
what	WP	what
President	NP	President
Biden	NP	Biden
said	VVD	say
when	WRB	when
he	PP	he
mentioned	VVD	mention
that	IN/that	that
this	DT	this
is	VBZ	be
the	DT	the
time	NN	time
