file_name,video_id,publish_date,total_word_count,Lemma_genocide,Lemma_Israel,Lemma_Gaza,Lemma_Hamas,Lemma_War,Lemma_Hostages,Lemma_Iran,Lemma_Palestine,Lemma_Aid,Lemma_Military,Token_Palestinians,Token_Israelis,Lemma_Palestinian,Lemma_Israeli,Lemma_Humanitarian,Lemma_Ceasefire,Lemma_Rafa,Lemma_Netanyahu,Lemma_Hospital,Lemma_Children,Lemma_Minister,Lemma_Attack,Lemma_Killed,Lemma_Hezbollah,Lemma_Civilians,Lemma_Lebanon,Lemma_Terrorist,Lemma_terror,Lemma_Westbank,Lemma_Egypt,Lemma_Support,Lemma_Biden,Lemma_Court,Lemma_Food,Lemma_Water,Lemma_Electricity,Lemma_Health,Lemma_Negotiations,Lemma_Militia,Lemma_Family,Lemma_Hostage,Lemma_Refugee,Lemma_Protest,Lemma_Islamic,Lemma_unra,Lemma_Unrwa,Lemma_Diplomatic,Lemma_Jewish,Lemma_Suffering,Lemma_Casualties,Lemma_Death,Lemma_Militant,Lemma_Soldiers,Lemma_Human,Lemma_Prisoners,Lemma_Escalation,Lemma_Fuel,Lemma_Supplies,Lemma_Civilian,Lemma_idf,Lemma_Displace,Lemma_UN,Lemma_Israeli Government,Lemma_October 7th,Lemma_United states,Lemma_Evacuate corridor,Lemma_Terror attacks,Lemma_Release hostages,Lemma_United Nations,Lemma_Israeli military
'gaza children killed as they slept' in un-run school - bbc news_treetagger_output.txt,6981lyMCjR8,20140730,500,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0
'hamas has destroyed the chance of humanitarian aid for gaza' says mark regev - bbc news_treetagger_output.txt,BomaDpJR9ps,20140801,132,0,0,3,3,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'hamas wants to destroy israel' says mayor of jerusalem nir barkat - bbc news_treetagger_output.txt,eHczHQzhocE,20140711,91,0,3,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'how many israelis need to die to gain your sympathy' asks naftali bennett - bbc news_treetagger_output.txt,M44qSf5Rj2k,20140820,511,0,2,4,6,0,0,0,0,0,1,0,1,0,1,2,3,0,0,0,0,0,0,2,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
'israel has found rockets in un school' says tzipi hotolevy - bbc news_treetagger_output.txt,UK64sRU8ROw,20140730,961,0,24,4,7,0,0,0,0,0,6,0,0,1,1,0,3,0,2,1,12,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
'miracle' survivor of gaza blast dies in hospital - bbc news_treetagger_output.txt,jsj02JmiJ6E,20140722,305,0,2,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'miracle' survivor of gaza blast dies in hospital - bbc news_words.txt,jsj02JmiJ6E,20140722,0,0,2,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'this is our 911' says israel, as israel-gaza fighting continues - bbc news_treetagger_output.txt",3vJm4Dofo7g,20231009,576,0,9,9,7,0,2,1,0,0,4,2,1,2,11,1,0,0,0,0,2,1,2,4,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
'we haven't got any rockets in west bank yet israel kills everyday' - bbc news_treetagger_output.txt,43o9BBqAB6o,20140801,140,0,1,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'we're hosting over 220,000 internally displaced people in gaza' unrwa - bbc news_treetagger_output.txt",RCHEMULnji8,20140731,963,0,2,10,0,0,0,0,0,0,3,1,0,2,3,2,2,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
