file_name,video_id,publish_date,total_word_count,Lemma_genocide,Lemma_Israel,Lemma_Gaza,Lemma_Hamas,Lemma_War,Lemma_Hostages,Lemma_Iran,Lemma_Palestine,Lemma_Aid,Lemma_Military,Token_Palestinians,Token_Israelis,Lemma_Palestinian,Lemma_Israeli,Lemma_Humanitarian,Lemma_Ceasefire,Lemma_Rafa,Lemma_Netanyahu,Lemma_Hospital,Lemma_Children,Lemma_Minister,Lemma_Attack,Lemma_Killed,Lemma_Hezbollah,Lemma_Civilians,Lemma_Lebanon,Lemma_Terrorist,Lemma_terror,Lemma_Westbank,Lemma_Egypt,Lemma_Support,Lemma_Biden,Lemma_Court,Lemma_Food,Lemma_Water,Lemma_Electricity,Lemma_Health,Lemma_Negotiations,Lemma_Militia,Lemma_Family,Lemma_Hostage,Lemma_Refugee,Lemma_Protest,Lemma_Islamic,Lemma_unra,Lemma_Unrwa,Lemma_Diplomatic,Lemma_Jewish,Lemma_Suffering,Lemma_Casualties,Lemma_Death,Lemma_Militant,Lemma_Soldiers,Lemma_Human,Lemma_Prisoners,Lemma_Escalation,Lemma_Fuel,Lemma_Supplies,Lemma_Civilian,Lemma_idf,Lemma_Displace,Lemma_UN,Lemma_Israeli Government,Lemma_October 7th,Lemma_United states,Lemma_Evacuate corridor,Lemma_Terror attacks,Lemma_Release hostages,Lemma_United Nations,Lemma_Israeli military
'a bird in heaven' grandfather cradles 7-year-old granddaughter killed in southern gaza_treetagger_output.txt,2pgFrmNgjUo,20240210,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'a mistake' biden warns against israel occupying gaza_treetagger_output.txt,GoRBO7Hu9KM,20231016,1205,0,9,8,8,8,8,4,0,0,1,2,2,3,5,5,0,0,1,0,0,2,0,2,4,0,2,0,0,0,1,3,3,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
'dangerous and unhinged' white house reacts to trump complimenting hezbollah_treetagger_output.txt,qHx5qTp2DhY,20231012,1589,0,8,0,3,0,0,1,0,0,0,0,2,1,3,0,0,0,10,0,1,1,4,0,4,0,0,2,0,0,0,2,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
'death was a blessing' father on learning fate of daughter_treetagger_output.txt,dVxHa7Cv2a0,20231012,972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'i don't know if we're going to make it' palestinian-american stuck in gaza speaks out_treetagger_output.txt,Iqjqm7pBIIE,20231011,757,0,0,7,3,0,0,0,0,0,0,1,0,1,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
'i was so shocked' mom who broke down on dnc stage speaks out_treetagger_output.txt,PzLBHU9S-go,20240822,1294,0,1,4,3,1,4,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,3,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'israelis are bombing the crap out of gaza' tapper presses biden official on american hostages_treetagger_output.txt,EtAz61fKLeg,20231015,1855,0,10,15,15,4,7,0,0,0,0,2,4,2,4,0,0,0,0,0,2,0,1,2,0,10,0,2,0,0,4,0,4,0,3,6,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
'it was animal slaughter' israeli festival survivor describes horror_treetagger_output.txt,VWu7zjxvOxg,20231012,1267,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
'it was like that place didn't exist' see doctors' journey leaving gaza_treetagger_output.txt,r6s5C5GhnAY,20240531,410,0,1,4,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'it's a very big deal' petraeus on the significance of iran's attack_treetagger_output.txt,gAQMmtiCuG4,20240415,1404,0,15,1,3,5,1,16,0,0,0,0,4,0,2,0,0,0,1,0,0,1,9,1,3,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
'mind-boggling' retired general on hamas tunnel in gaza_treetagger_output.txt,8cQ7zYQlPyg,20231218,1062,0,2,7,8,0,4,0,0,0,1,0,1,1,8,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0
'nobody can win a war like this' jewish student reflects on israeli-hamas war_treetagger_output.txt,DPNVq3BXy-U,20231101,1068,0,14,7,5,3,1,0,2,0,2,2,0,1,3,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,1,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'orders of magnitude more difficult' petraeus on urban combat_treetagger_output.txt,RYtxWLVwH_Q,20231017,1446,0,3,5,7,3,0,0,0,0,5,1,1,1,3,0,0,0,1,1,0,1,2,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
'shocking' watch blinken react to footage of hamas terrorist attack on family_treetagger_output.txt,8adDjfFKfwI,20231103,1235,0,5,8,7,1,0,0,0,0,0,0,1,2,2,1,0,0,0,0,2,0,2,1,0,2,0,2,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
'soap has become a luxury item' aid official describes anguish in gaza_treetagger_output.txt,FcVtsq068KI,20240830,1505,0,4,4,1,3,0,0,0,11,0,0,1,0,1,3,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
'they bombed an entire street' child in gaza who pulled brother from rubble_treetagger_output.txt,sxhFnBEe6Ts,20231203,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
'they told us this area was safe' designated gaza safe zone targeted by israeli airstrike_treetagger_output.txt,hrqXnnPe4FQ,20240910,1030,0,4,7,8,1,0,0,0,0,4,1,0,2,10,4,0,0,0,0,1,0,1,7,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0
'we have 3 minutes' cnn goes inside one of most dangerous places in northern israel_treetagger_output.txt,FWibxMDbMFc,20240709,1261,0,10,13,5,4,0,0,0,0,8,1,1,1,9,0,0,0,0,0,1,0,2,1,5,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
'who takes over' tapper presses netanyahu adviser on the future of gaza_treetagger_output.txt,D4ijJkr_d_A,20231027,962,0,3,13,13,2,0,0,0,0,6,0,0,0,4,2,0,0,1,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0
'you don't compliment any of them' haley responds to trump's hamas comment_treetagger_output.txt,rs_hCX_JmyM,20231015,2130,0,20,6,18,0,6,6,0,0,0,6,0,5,4,1,0,0,1,0,3,2,0,1,4,3,1,3,0,0,3,2,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"104 civilians killed trying to access food aid trucks in gaza, palestinian health ministry says_treetagger_output.txt",ywOzeZl7uIU,20240229,586,0,0,5,1,0,0,0,0,8,7,0,0,2,11,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
