file_name,video_id,publish_date,total_word_count,Lemma_Israel,Lemma_Gaza,Lemma_Hamas,Lemma_War,Lemma_Hostages,Lemma_Iran,Lemma_Palestine,Lemma_Aid,Lemma_Military,Token_Palestinians,Token_Israelis,Lemma_Palestinian,Lemma_Israeli,Lemma_Humanitarian,Lemma_Ceasefire,Lemma_Rafa,Lemma_Netanyahu,Lemma_Hospital,Lemma_Children,Lemma_Minister,Lemma_Attack,Lemma_Killed,Lemma_Hezbollah,Lemma_Civilians,Lemma_Lebanon,Lemma_Terrorist,Lemma_terror,Lemma_Westbank,Lemma_Egypt,Lemma_Support,Lemma_Biden,Lemma_Court,Lemma_Food,Lemma_Water,Lemma_Electricity,Lemma_Health,Lemma_Negotiations,Lemma_Militia,Lemma_Family,Lemma_Hostage,Lemma_Refugee,Lemma_Protest,Lemma_Islamic,Lemma_unra,Lemma_Unrwa,Lemma_Diplomatic,Lemma_Jewish,Lemma_Suffering,Lemma_Casualties,Lemma_Death,Lemma_Militant,Lemma_Soldiers,Lemma_Human,Lemma_Prisoners,Lemma_Escalation,Lemma_Fuel,Lemma_Supplies,Lemma_Civilian,Lemma_idf,Lemma_Displace,Lemma_UN,Lemma_Israeli Government,Lemma_October 7th,Lemma_United states,Lemma_Evacuate corridor,Lemma_Terror attacks,Lemma_Release hostages,Lemma_United Nations,Lemma_Israeli military
'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,_7NksAcG_l8,20240714,981,1,8,3,1,1,0,0,1,0,0,0,1,1,1,1,1,0,5,7,0,2,3,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0
'it is time for this war to end' kamala harris speaks after meeting israeli pm netanyahu  dw news_treetagger_output.txt,RDLZkqqOaLM,20240726,1938,17,7,3,7,4,0,0,0,0,0,1,5,9,1,4,0,10,0,0,11,0,0,0,2,0,0,2,0,0,5,11,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
'no other way to respond to hamas after october 7' israel’s ambassador to germany  dw news_treetagger_output.txt,cSMPo4XCSYU,20231117,3354,36,32,15,5,5,1,0,1,7,2,0,1,7,5,0,0,1,11,1,3,4,5,0,3,0,2,2,0,1,3,0,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0
'our first role is to protect israeli civilians' - idf spokesperson on the war in gaza  dw news_treetagger_output.txt,fhwhQhoKVhk,20231220,3215,19,8,15,2,4,0,0,1,7,4,0,3,16,3,5,1,0,2,0,3,0,7,0,8,0,4,1,0,0,2,1,0,1,0,0,2,3,0,1,1,0,0,0,0,0,0,0,0,1,3,0,17,0,1,0,0,0,2,15,0,2,0,0,0,0,0,0,0,0
'responsibility for the overall security of gaza' netanyahu hints at prolonged military presence_treetagger_output.txt,QG9QSHEgX6E,20231107,2675,27,37,11,4,3,0,0,3,2,0,0,3,15,10,6,0,13,2,14,3,0,4,0,10,1,0,1,0,1,2,1,0,1,2,0,3,0,0,1,2,1,0,1,0,0,1,0,0,4,0,1,0,2,0,0,0,1,0,2,0,8,0,0,0,0,0,0,0,0
"'take the prisoners, bring our families home' relatives of hostages hope for deal  dw news_treetagger_output.txt",l5pL2DhnjEE,20231121,2072,4,2,8,6,12,0,0,1,2,0,0,4,8,1,1,0,0,0,3,0,0,2,0,1,0,1,3,0,0,0,1,0,0,0,0,1,1,0,12,8,0,1,0,0,0,0,0,0,0,3,0,1,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
'time is running out' — former israeli government advisor on hamas-held hostages  dw news_treetagger_output.txt,o0arAFe0WmE,20231103,3117,17,13,19,2,12,0,0,3,1,0,0,1,11,4,1,0,0,0,3,1,6,3,0,4,0,1,0,0,2,2,1,0,2,2,0,0,4,0,12,5,0,0,0,0,0,0,4,0,0,0,0,1,4,2,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0
"'when fighting a monster, you cannot become a monster' ian bremmer on the israel-hamas conflict_treetagger_output.txt",FYck1QG52I0,20231019,919,16,3,5,2,0,0,0,0,0,2,1,0,1,1,0,0,1,0,3,0,0,0,1,2,1,3,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28 premature babies arrive in egypt from gaza  dw news_treetagger_output.txt,xSgxVYaNfXg,20231120,2297,9,20,11,1,7,0,1,1,4,0,0,4,8,3,1,2,0,23,5,0,7,1,0,2,0,0,0,0,7,0,2,0,0,1,1,8,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0
54 thai nationals being held hostage by hamas  dw news_treetagger_output.txt,7qxY2fjvGhE,20231027,1007,9,2,10,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,4,4,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
