file_name,video_id,publish_date,total_word_count,..genocide,..Israel,..Gaza,..Hamas,..War,..Iran,..Palestine,..Aid,..Military,Palestinians..,Israelis..,..Palestinian,..Israeli,..Humanitarian,..Ceasefire,..Rafa,..Netanyahu,..Hospital,..Child,..Minister,..Attack,..Kill,..Hezbollah,..Civilian,..Lebanon,..Terrorist,..Terror,..Westbank,..West bank,..Egypt,..Support,..Biden,..Court,..Food,..Water,..Electricity,..Health,..Negotiation,..Militia,..Family,..Hostage,..Refugee,..Protest,..Islamic,..unra,..Unrwa,..Diplomatic,..Jewish,..Suffering,..Casualty,..Death,..Militant,..Soldier,..Human,..Prisoner,..Escalation,..Fuel,..Supply,Supplies..,..idf,..Displace,..UN,..Israeli Government,..October 7th,..United states,..Evacuate corridor,..Terror attack,..Release hostage,..United Nations,..Israeli military,..Human right,..defend itself,..Self-defence,..Self-defense,..self defense,..self defence
'apocalyptic' conditions aid agencies warn of humanitarian catastrophe_output.json,SPOjEsA0tZM,20231207,430,0,6,7,0,6,0,2,0,1,0,0,1,0,1,0,0,0,3,5,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
'blood on his hands' palestine supporters gatecrash biden event_output.json,FPNEFERgL3s,20240329,334,2,1,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'bombing all around us', says gaza’s nasser hospital doctor_output.json",fBvasyOhei4,20240121,1335,0,1,5,0,2,0,0,0,0,0,0,0,5,0,0,1,0,29,5,0,1,1,0,3,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'carpet bombing' in jabalia dozens buried under debris after israeli attacks_output.json,Z8AmhtYLkn8,20231223,414,0,0,0,0,0,0,0,0,1,0,0,1,7,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
'extreme fear and endless anxiety' as israel moves into rafah_output.json,22-4LkDLxfE,20240510,244,0,1,4,0,1,0,0,2,2,4,0,0,5,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"'for blinken, the us doesn't have double standards, only one israeli standard' marwan bishara_output.json",iDQ1pIZw-UM,20240512,877,1,11,4,4,4,0,0,2,2,0,6,0,5,0,2,4,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0
"'for israel, gaza is the greater challenge, west bank is the bigger prize' marwan bishara_output.json",KA9XWQBGLcA,20231226,1204,4,10,12,0,2,0,3,0,3,28,2,17,8,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
'i am so proud to be from gaza' resident_output.json,eR707ZRWP5k,20231030,175,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'i'm not just a number’ doha art installation commemorates over 15,000 children killed in gaza_output.json",7u3GLr2mCgY,20240919,245,0,0,3,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'it’s immoral' un special rapporteur on unrwa funding cuts  upfront_output.json,TkIXOomouKI,20240202,1868,8,12,10,2,0,0,0,4,0,11,0,4,0,9,0,0,0,0,0,0,3,2,0,2,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,4,0,2,2,0,0,0,3,0,2,0,0,0,0,0
