file_name,video_id,publish_date,total_word_count,..genocide,..Israel,..Gaza,..Hamas,..War,..Iran,..Palestine,..Aid,..Military,Palestinians..,Israelis..,..Palestinian,..Israeli,..Humanitarian,..Ceasefire,..Rafa,..Netanyahu,..Hospital,..Child,..Minister,..Attack,..Kill,..Hezbollah,..Civilian,..Lebanon,..Terrorist,..Terror,..Westbank,..West bank,..Egypt,..Support,..Biden,..Court,..Food,..Water,..Electricity,..Health,..Negotiation,..Militia,..Family,..Hostage,..Refugee,..Protest,..Islamic,..unra,..Unrwa,..Diplomatic,..Jewish,..Suffering,..Casualty,..Death,..Militant,..Soldier,..Human,..Prisoner,..Escalation,..Fuel,..Supply,Supplies..,..idf,..Displace,..UN,..Israeli Government,..October 7th,..United states,..Evacuate corridor,..Terror attack,..Release hostage,..United Nations,..Israeli military
'gaza children killed as they slept' in un-run school - bbc news_output.json,6981lyMCjR8,20140730,534,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0
'hamas has destroyed the chance of humanitarian aid for gaza' says mark regev - bbc news_output.json,BomaDpJR9ps,20140801,138,0,0,3,3,0,0,0,0,0,0,1,0,1,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'hamas wants to destroy israel' says mayor of jerusalem nir barkat - bbc news_output.json,eHczHQzhocE,20140711,99,0,3,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'how many israelis need to die to gain your sympathy' asks naftali bennett - bbc news_output.json,M44qSf5Rj2k,20140820,553,0,2,4,6,0,0,0,0,1,1,5,1,4,2,4,0,0,0,0,0,0,5,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'israel has found rockets in un school' says tzipi hotolevy - bbc news_output.json,UK64sRU8ROw,20140730,996,0,24,4,7,0,0,0,0,6,0,0,1,1,0,3,0,2,1,12,0,0,1,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
'miracle' survivor of gaza blast dies in hospital - bbc news_output.json,jsj02JmiJ6E,20140722,337,0,2,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'this is our 911' says israel, as israel-gaza fighting continues - bbc news_output.json",3vJm4Dofo7g,20231009,606,0,9,9,7,0,1,0,0,4,5,2,3,11,1,0,0,0,0,2,1,5,4,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,3,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,3
'we haven't got any rockets in west bank yet israel kills everyday' - bbc news_output.json,43o9BBqAB6o,20140801,142,0,1,1,1,2,0,0,0,0,0,0,2,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'we're hosting over 220,000 internally displaced people in gaza' unrwa - bbc news_output.json",RCHEMULnji8,20140731,977,0,2,10,0,0,0,0,0,3,2,0,2,3,2,2,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5,2,0,0,0,0,0,0,0,1
"1,400 dead in gaza airstrikes the humanitarian crisis - bbc news_output.json",T4u1mT9956E,20231012,685,0,1,10,1,2,0,0,0,0,2,0,0,2,0,0,0,0,6,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0
7 members of hamas leader’s family killed in israeli airstrike - bbc news_output.json,8SepfTHRJ3U,20240410,1164,0,14,15,9,6,1,0,2,2,3,2,4,2,2,5,2,1,0,2,3,2,8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
700 dead in israel as it “declares war” on hamas - bbc news_output.json,FXrVtabZggI,20231008,1015,0,11,11,6,2,0,0,0,2,7,6,4,6,0,0,0,0,0,2,1,5,4,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8-year-old shot dead by israeli forces in west bank  bbc news_output.json,1_6RjK6EXBs,20231129,497,0,5,3,1,1,0,0,0,2,0,0,2,2,0,0,0,0,2,5,0,1,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
airstrike hits area of rafah crossing at gaza-egypt border - bbc news_output.json,SLGy55vAjZM,20231016,893,0,19,5,6,4,0,0,4,2,8,2,6,1,2,0,3,2,6,0,2,0,0,0,3,0,0,1,0,0,7,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,1,1,0,0,1,0,0,0,0,0,0,1,0
al jazeera office in israel raided and channel taken off air in country  bbc news_output.json,Nb-39UN3vjA,20240505,866,0,11,2,2,6,0,0,0,1,0,6,1,8,0,0,0,1,0,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1
anthony blinken pushes us israel-gaza ceasefire plan in middle east  bbc news_output.json,p0e02AaHB3I,20240610,1218,0,9,6,9,7,0,0,1,1,4,2,0,1,1,5,0,5,0,0,5,2,1,0,0,0,0,1,0,0,1,3,0,0,1,0,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0
are  israel and hezbollah edging closer to all-out war  bbc news_output.json,ImkRgON7bqM,20240717,534,0,6,2,1,5,0,0,0,1,0,2,0,2,0,1,0,0,0,0,0,0,3,6,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
are israeli air strike warnings effective - bbc news_output.json,9hQF8o2dKBA,20140717,136,0,0,0,1,0,0,0,0,3,0,0,1,1,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
at least 10 dead in huge israeli military operation in west bank  bbc news_output.json,vGsU_e_LS5Y,20240829,873,0,8,3,3,3,4,0,0,2,10,4,11,6,0,0,0,3,1,0,2,3,4,0,2,0,0,0,0,8,0,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1
at least 19 killed in israeli strike on gaza ‘safe zone’ for displaced people  bbc news_output.json,sJ_BKB_5jDE,20240910,386,0,2,3,4,1,0,0,0,1,1,0,1,4,2,0,1,0,1,4,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1
at least 29 palestinians killed in airstrike on camp for displaced people  bbc news_output.json,9tOG4qvl79E,20240710,389,0,0,4,2,0,0,0,0,1,1,2,1,3,0,0,0,0,0,4,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1
baby contracts gaza's first case of polio in 25 years  bbc news_output.json,o1AcVf-rZY8,20240823,730,0,3,7,5,1,0,0,0,1,0,2,0,6,1,6,0,2,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
baby saved from dead mother's womb in gaza dies  bbc news_output.json,1YageCpNr2U,20240426,386,0,1,2,1,1,0,0,0,0,0,0,0,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
