file_name,video_id,publish_date,total_word_count,..genocide,..Israel,..Gaza,..Hamas,..War,..Iran,..Palestine,..Aid,..Military,Palestinians..,Israelis..,..Palestinian,..Israeli,..Humanitarian,..Ceasefire,..Rafa,..Netanyahu,..Hospital,..Child,..Minister,..Attack,..Kill,..Hezbollah,..Civilian,..Lebanon,..Terrorist,..Terror,..Westbank,..West bank,..Egypt,..Support,..Biden,..Court,..Food,..Water,..Electricity,..Health,..Negotiation,..Militia,..Family,..Hostage,..Refugee,..Protest,..Islamic,..unra,..Unrwa,..Diplomatic,..Jewish,..Suffering,..Casualty,..Death,..Militant,..Soldier,..Human,..Prisoner,..Escalation,..Fuel,..Supply,Supplies..,..idf,..Displace,..UN,..Israeli Government,..October 7th,..United states,..Evacuate corridor,..Terror attack,..Release hostage,..United Nations,..Israeli military,..Human right,..defend itself,..Self-defence,..Self-defense,..self defense,..self defence
'a bird in heaven' grandfather cradles 7-year-old granddaughter killed in southern gaza_output.json,2pgFrmNgjUo,20240210,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'a mistake' biden warns against israel occupying gaza_output.json,GoRBO7Hu9KM,20231016,1542,0,9,8,8,8,4,0,0,1,5,4,4,5,5,0,0,1,0,0,2,0,2,4,1,2,0,0,0,1,1,3,3,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'dangerous and unhinged' white house reacts to trump complimenting hezbollah_output.json,qHx5qTp2DhY,20231012,1979,0,8,0,3,0,1,0,0,0,0,4,1,3,0,0,0,10,0,1,1,4,1,4,0,0,4,0,0,0,0,2,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'death was a blessing' father on learning fate of daughter_output.json,dVxHa7Cv2a0,20231012,1265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'i don't know if we're going to make it' palestinian-american stuck in gaza speaks out_output.json,Iqjqm7pBIIE,20231011,923,0,0,7,3,0,0,0,0,0,3,0,2,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'i was so shocked' mom who broke down on dnc stage speaks out_output.json,PzLBHU9S-go,20240822,1590,0,1,4,3,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,3,0,0,1,0,0,0,5,0,0,0,0,0,0,1,0,4,7,0,1,0,0,0,0,1,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
'israelis are bombing the crap out of gaza' tapper presses biden official on american hostages_output.json,EtAz61fKLeg,20231015,2221,0,10,15,15,4,0,0,0,0,4,8,2,4,0,0,0,0,3,2,0,2,2,0,10,0,2,0,0,0,4,0,4,0,3,6,2,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,1,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0
'it was animal slaughter' israeli festival survivor describes horror_output.json,VWu7zjxvOxg,20231012,1514,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'it was like that place didn't exist' see doctors' journey leaving gaza_output.json,r6s5C5GhnAY,20240531,480,0,1,4,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'it's a very big deal' petraeus on the significance of iran's attack_output.json,gAQMmtiCuG4,20240415,1678,0,15,1,3,5,16,0,0,0,0,8,0,2,0,0,0,1,0,0,1,14,1,3,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
'mind-boggling' retired general on hamas tunnel in gaza_output.json,8cQ7zYQlPyg,20231218,1270,0,2,7,8,0,0,0,0,1,0,2,1,8,0,0,0,0,0,0,0,0,2,0,2,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
