file_name,video_id,publish_date,total_word_count,..genocide,..Israel,..Gaza,..Hamas,..War,..Iran,..Palestine,..Aid,..Military,Palestinians..,Israelis..,..Palestinian,..Israeli,..Humanitarian,..Ceasefire,..Cease fire,..Rafa,..Netanyahu,..Hospital,..Child,..Minister,..Attack,..Kill,..Hezbollah,..Civilian,..Lebanon,..Terrorist,..Terror,..Westbank,..West bank,..Egypt,..Support,..Biden,..Court,..Food,..Water,..Electricity,..Health,..Negotiation,..Militia,..Family,..Hostage,..Refugee,..Protest,..Islamic,..unra,..Unrwa,..Diplomatic,..Jewish,..Suffering,..Casualty,..Death,..Militant,..Soldier,..Human,..Prisoner,..Escalation,..Fuel,..Supply,Supplies..,..idf,..Displace,..UN,..Israeli Government,..October 7th,..United states,..Evacuate corridor,..Terror attack,..Release hostage,..United Nations,..Israeli military,..Human right,..defend itself,..Self-defence,..Self-defense,..self defense,..self defence
'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_output.json,_7NksAcG_l8,20240714,1031,0,1,8,3,1,0,0,1,0,1,0,2,1,1,1,0,1,0,8,8,0,3,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,3,1,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
'it is time for this war to end' kamala harris speaks after meeting israeli pm netanyahu  dw news_output.json,RDLZkqqOaLM,20240726,2035,0,17,7,3,7,0,0,0,0,0,4,5,9,1,4,0,0,10,0,0,11,1,0,0,2,0,0,2,0,0,0,5,11,0,0,0,0,0,3,0,2,5,0,1,0,0,0,0,0,2,0,0,1,0,1,1,0,0,0,0,0,0,1,2,1,5,0,1,0,0,0,0,1,0,0,0,0
'no other way to respond to hamas after october 7' israel’s ambassador to germany  dw news_output.json,cSMPo4XCSYU,20231117,3558,0,36,32,15,5,1,0,1,7,5,3,2,10,5,0,0,0,1,21,1,3,6,5,0,4,0,3,2,0,6,1,3,0,0,1,1,0,1,0,0,2,8,0,0,0,0,0,0,1,0,1,0,2,2,0,0,0,2,0,0,2,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0
'our first role is to protect israeli civilians' - idf spokesperson on the war in gaza  dw news_output.json,fhwhQhoKVhk,20231220,3402,0,19,8,15,2,0,0,1,7,13,0,8,16,3,5,0,1,0,2,0,3,1,9,0,10,0,5,1,0,1,0,3,1,0,1,1,0,2,3,0,1,5,0,0,0,0,0,0,0,0,1,3,0,17,0,1,0,0,0,0,15,2,2,0,0,1,0,0,0,0,4,0,0,0,0,0,0
'responsibility for the overall security of gaza' netanyahu hints at prolonged military presence_output.json,QG9QSHEgX6E,20231107,2832,0,27,37,11,4,0,0,3,2,1,0,4,15,11,7,0,0,13,4,14,3,0,4,0,10,1,0,1,0,2,1,2,1,0,1,2,0,3,0,0,5,5,1,1,1,0,0,1,0,0,4,0,2,0,2,0,0,0,1,1,2,2,8,0,1,1,0,0,0,0,1,0,0,0,0,0,0
"'take the prisoners, bring our families home' relatives of hostages hope for deal  dw news_output.json",l5pL2DhnjEE,20231121,2230,0,4,2,8,6,0,0,1,2,0,1,4,9,1,1,0,0,0,0,6,0,2,4,0,1,0,2,3,0,0,0,0,1,0,0,0,0,1,1,0,21,20,0,2,0,0,0,0,0,0,0,3,2,1,1,5,0,0,0,0,0,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0
'time is running out' — former israeli government advisor on hamas-held hostages  dw news_output.json,o0arAFe0WmE,20231103,3304,0,17,13,19,2,0,0,3,1,0,0,1,11,4,3,0,0,0,0,4,1,9,5,0,4,0,2,0,0,0,2,2,1,0,2,2,0,0,7,0,13,17,0,0,0,0,0,0,4,0,0,0,1,2,4,2,0,0,3,3,2,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
"'when fighting a monster, you cannot become a monster' ian bremmer on the israel-hamas conflict_output.json",FYck1QG52I0,20231019,963,0,16,3,5,3,0,0,0,0,7,2,3,1,1,0,0,0,1,0,3,0,1,2,1,2,1,4,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0
28 premature babies arrive in egypt from gaza  dw news_output.json,xSgxVYaNfXg,20231120,2397,0,9,20,11,1,0,1,1,4,0,1,4,9,3,1,0,2,0,28,5,0,7,1,0,3,0,1,0,0,0,7,0,2,0,0,1,1,8,1,0,2,8,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,2,2,1,2,1,0,1,0,0,0,0,1,2,0,0,0,0,0,0
54 thai nationals being held hostage by hamas  dw news_output.json,7qxY2fjvGhE,20231027,1037,0,9,2,10,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,4,4,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,3,0,2,4,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0
