Token,Tag,Lemma
,,genocide
,,Israel
,,Gaza
,,Hamas
,,War
,,Iran
,,Palestine
,,Aid
,,Military
Palestinians ,,
Israelis ,,
,,Palestinian
,,Israeli 
,,Humanitarian
,,Ceasefire
,,Rafa
,,Netanyahu
,,Hospital
,,Child
,,Minister
,,Attack
,,Kill
,,Hezbollah
,,Civilian
,,Lebanon
,,Terrorist 
,,Terror
,,Westbank
,,West bank
,,Egypt
,,Support
,,Biden
,,Court
,,Food
,,Water
,,Electricity
,,Health
,,Negotiation
,,Militia
,,Family
,,Hostage
,,Refugee
,,Protest
,,Islamic
,,unra
,,Unrwa
,,Diplomatic
,,Jewish
,,Suffering
,,Casualty
,,Death 
,,Militant
,,Soldier
,,Human
,,Prisoner
,,Escalation
,,Fuel
,,Supply
Supplies,,
,,Civilian
,,idf
,,Displace
,,UN
,,Israeli Government
,,October 7th
,,United states
,,Evacuate corridor
,,Terror attack
,,Release hostage
,,United Nations
,,Israeli military 
