file_name,video_id,publish_date,total_word_count,killed.VVN.,killed.VVN.subject,murdered.VVN.,displaced.VVN.,hurt.VVN.,heard.VVN.,displaced.VVN.subject,murdered.VVN.subject,heard.VVN.subject
'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_output.json,_7NksAcG_l8,20240714,1031,1,one,0,0,0,0,,,
'it is time for this war to end' kamala harris speaks after meeting israeli pm netanyahu  dw news_output.json,RDLZkqqOaLM,20240726,2035,0,,0,0,0,0,,,
'no other way to respond to hamas after october 7' israel’s ambassador to germany  dw news_output.json,cSMPo4XCSYU,20231117,3558,3,Palestinians that people,0,0,0,0,,,
'our first role is to protect israeli civilians' - idf spokesperson on the war in gaza  dw news_output.json,fhwhQhoKVhk,20231220,3402,4,grandkids civilians Palestinians Palestinians,0,0,0,0,,,
'responsibility for the overall security of gaza' netanyahu hints at prolonged military presence_output.json,QG9QSHEgX6E,20231107,2832,4,who children people people,0,1,0,0,',,
"'take the prisoners, bring our families home' relatives of hostages hope for deal  dw news_output.json",l5pL2DhnjEE,20231121,2230,1,family,1,0,0,0,,mother,
'time is running out' — former israeli government advisor on hamas-held hostages  dw news_output.json,o0arAFe0WmE,20231103,3304,1,hostage,1,0,0,0,,daughter,
"'when fighting a monster, you cannot become a monster' ian bremmer on the israel-hamas conflict_output.json",FYck1QG52I0,20231019,963,0,,0,0,0,0,,,
28 premature babies arrive in egypt from gaza  dw news_output.json,xSgxVYaNfXg,20231120,2397,1,people,0,0,0,1,,,fighting
54 thai nationals being held hostage by hamas  dw news_output.json,7qxY2fjvGhE,20231027,1037,0,,0,0,0,0,,,
85 journalists have already died in gaza  dw news_output.json,lH3jvaO1wXc,20240221,759,2,journalists journalists,0,0,0,0,,,
a week that changed the middle east  dw news_output.json,we2YBYfeL58,20231015,1067,0,,0,0,0,0,,,
after death of hamas leader in beirut how will hezbollah respond  dw news_output.json,xjeZ0ot9I_Q,20240103,1671,3,who that others,0,0,0,0,,,
after encircling khan younis – what are the idf’s plans for the coming days  dw news_output.json,JwTjZs1kkzI,20231205,1876,2,colleagues been,0,0,0,0,,,
"after killing of aid workers, how have aid organizations been affected  dw news_output.json",BIF4B4s1WWk,20240406,1145,0,,0,1,0,0,we,,
"after netanyhau comments, what is israel’s end-game in gaza  dw news_output.json",EEMrHbVn-x4,20231110,4225,0,,0,0,0,0,,,
"after six months of war, are hostages in gaza being forgotten  dw news_output.json",2S1Jq58-Krs,20240407,2109,1,kerit,3,0,0,0,,that K them,
after successful release what can be expected in the coming days  dw news_output.json,HkhyP7-LCw8,20231124,3016,0,,0,0,0,0,,,
agencies rush to deliver aid to gaza as long as truce holds  dw news_output.json,Cd4DHesX1sU,20231126,1142,0,,0,1,0,0,many,,
aid groups accuse israel of targeting gaza's water and sanitation services  dw news_output.json,wzrFCDo-QXY,20240702,392,0,,0,0,0,0,,,
aid organizations warn that the current heatwave deepens humanitarian crisis in gaza  dw news_output.json,D-W-DL3AJcI,20240622,594,0,,0,0,0,0,,,
"airlines suspend flights to lebanon, iran, and israel over fears of intensifying regional conflict_output.json",Y52gkXzJgtk,20240803,731,2,Palestinians Wing,0,0,0,0,,,
al-shifa hospital in gaza raided while families of hamas hostages march  dw news_output.json,vuTUeoxRxKA,20231115,1595,0,,0,0,0,0,,,
all you need to know about the killing of hamas political leader haniyeh  dw news_output.json,8zB4HN2h01I,20240731,4039,3,bodyguard grandchildren Hamas,0,0,0,0,,,
"amid fears of israeli offensive, parents struggle to provide for their children in rafah  dw news_output.json",kdfIJyfhbwI,20240220,341,0,,0,0,0,0,,,
an israeli and a palestinian state will the two sides listen to the eu  dw news_output.json,PdVMtjFu5Uc,20240123,2591,1,people,0,0,0,0,,,
another strike reported at jabaliya refugee camp in gaza  dw news_output.json,ltul06q2pd0,20231101,1921,3,people people least,0,0,0,0,,,
anti-war protesters interrupt biden's campaign speech  dw news_output.json,lvhBl-GjKwA,20240108,111,0,,0,0,0,0,,,
"antony blinken visits israel, reiterates us support i dw news_output.json",SB5_vNQgTKs,20231012,2514,3,them who people,0,0,0,0,,,
appeal to avoid an escalation of the conflict  dw news_output.json,P7vXJY21Fow,20240419,1012,0,,0,0,0,0,,,
are israel and lebanon inching closer to a full-scale war  dw news_output.json,DVTYyvQvLTM,20240104,964,1,official,0,0,0,0,,,
are we already in the midst of a regional war in the middle east_output.json,hQ4fJ1Ey4rU,20240118,2578,0,,0,0,0,0,,,
are we getting an accurate picture of what is happening in gaza  dw news_output.json,BfMO5snTG2I,20240221,1163,1,journalists,0,1,0,0,',,
army chief iran's missile attack on israel's territory will be met with a response  dw news_output.json,VrgBQlq9w_o,20240416,1656,0,,0,0,0,0,,,
assessing the war's impact on the israeli economy  dw business_output.json,SigTwH0T5KY,20231117,2409,0,,0,0,0,0,,,
"at least 1 dead after ramming, stabbing incident near tel aviv  dw news_output.json",KTJ38RPZlGs,20240115,363,1,people,0,0,0,0,,,
at least 3 dead in shooting at jerusalem bus stop  dw news_output.json,bG1PL37OAiM,20231130,1627,2,suspects people,0,0,0,0,,,
attacks and retaliatory strikes why the red sea conflict is so dangerous  dw news_output.json,onUWmPAb6Fw,20240205,1972,0,,0,0,0,0,,,
authorities open investigation into dam collapse  dw news_output.json,HtIa2H9MU-4,20240406,270,0,,0,0,0,0,,,
baerbock says world court ruling on gaza is binding  dw news_output.json,BqFOwduKHSA,20240527,64,0,,0,0,0,0,,,
behind israel’s use of unguided munitions in gaza   dw analysis_output.json,X7SqqvhmyaM,20231222,1511,1,people,0,1,0,0,population,,
benjamin netanyahu at odds with his war cabinet and military generals  dw news_output.json,IUTqD0xWG5A,20231026,1902,0,,0,0,0,0,,,
benny gantz at the white house how united is israel's government on gaza  dw news_output.json,V2IX9tnzhyI,20240306,1082,0,,0,0,0,0,,,
