video_id,publish_date,passive_voice_count,relative_frequency,vvn_strings
_7NksAcG_l8,20240714,5,0.49019607843137253,"taken, impacted, killed, taken, bombed"
RDLZkqqOaLM,20240726,3,0.15159171298635674,"glued, set, supposed"
cSMPo4XCSYU,20231117,12,0.3538779121203185,"prepared, released, hidden, confirmed, told, taken, taken, killed, killed, killed, found, butchered"
fhwhQhoKVhk,20231220,11,0.33783783783783783,"made, killed, killed, killed, killed, circulated, circulated, suspended, believed, confirmed, called"
QG9QSHEgX6E,20231107,11,0.4066543438077634,"described, killed, mentioned, mentioned, killed, displaced, killed, killed, restored, reconnected, noted"
l5pL2DhnjEE,20231121,8,0.37968675842429994,"killed, taken, taken, murdered, found, confined, released, rescued"
o0arAFe0WmE,20231103,16,0.5079365079365079,"left, taken, started, held, released, killed, released, released, born, murdered, kidnapped, managed, dismembered, injured, built, created"
FYck1QG52I0,20231019,1,0.1049317943336831,agreed
xSgxVYaNfXg,20231120,12,0.516795865633075,"killed, heard, seen, fired, told, asked, taken, trapped, brought, reassured, shifted, brought"
7qxY2fjvGhE,20231027,2,0.1937984496124031,"received, held"
lH3jvaO1wXc,20240221,6,0.8064516129032258,"killed, targeted, killed, held, accused, bombed"
we2YBYfeL58,20231015,4,0.3868471953578337,"flattened, sent, held, caught"
xjeZ0ot9I_Q,20240103,7,0.42813455657492355,"killed, carried, known, told, planned, killed, killed"
JwTjZs1kkzI,20231205,11,0.6037321624588364,"told, driven, engaged, asked, released, bombed, bombed, pushed, bombed, killed, killed"
BIF4B4s1WWk,20240406,4,0.3536693191865605,"affected, displaced, permitted, banned"
EEMrHbVn-x4,20231110,6,0.14792899408284024,"attacked, pushed, designated, injured, subjected, offered"
2S1Jq58-Krs,20240407,22,1.07421875,"killed, kidnapped, murdered, shot, appointed, kidnapped, kidnapped, murdered, kidnapped, kidnapped, released, done, Overjoyed, released, kidnapped, released, happened, murdered, locked, released, shut, saved"
HkhyP7-LCw8,20231124,18,0.6147540983606558,"freed, freed, released, released, released, released, released, broken, released, released, taken, concerned, released, summoned, involved, convicted, agreed, held"
Cd4DHesX1sU,20231126,3,0.2676181980374665,"displaced, exposed, delivered"
wzrFCDo-QXY,20240702,0,0.0,
D-W-DL3AJcI,20240622,1,0.1652892561983471,destroyed
Y52gkXzJgtk,20240803,4,0.535475234270415,"told, changed, killed, killed"
vuTUeoxRxKA,20231115,7,0.45721750489875895,"discovered, treated, invaded, exploded, used, taken, affected"
8zB4HN2h01I,20240731,8,0.20607934054611027,"killed, supposed, killed, founded, arrested, exiled, seen, killed"
kdfIJyfhbwI,20240220,0,0.0,
PdVMtjFu5Uc,20240123,6,0.24291497975708504,"leveled, told, subjected, killed, focused, subjected"
ltul06q2pd0,20231101,17,0.9209100758396532,"targeted, killed, struck, allowed, injured, allowed, released, struck, created, struck, killed, injured, killed, injured, allowed, sent, approved"
lvhBl-GjKwA,20240108,0,0.0,
SB5_vNQgTKs,20231012,11,0.45045045045045046,"forced, killed, crushed, treated, displayed, taken, killed, touched, committed, killed, lost"
P7vXJY21Fow,20240419,1,0.10152284263959391,issued
DVTYyvQvLTM,20240104,3,0.31282586027111575,"killed, caused, evacuated"
hQ4fJ1Ey4rU,20240118,7,0.2875924404272802,"loaded, lost, preserved, set, armed, set, floated"
BfMO5snTG2I,20240221,2,0.1759014951627089,"killed, displaced"
VrgBQlq9w_o,20240416,5,0.31036623215394166,"damaged, designed, seen, put, lifted"
SigTwH0T5KY,20231117,2,0.08830022075055188,"cancelled, sponsored"
KTJ38RPZlGs,20240115,2,0.5305039787798408,"killed, marked"
bG1PL37OAiM,20231130,9,0.5813953488372093,"killed, posted, killed, extended, brought, released, treated, abducted, taken"
onUWmPAb6Fw,20240205,1,0.05243838489774515,accused
HtIa2H9MU-4,20240406,2,0.7168458781362007,"seen, built"
BqFOwduKHSA,20240527,0,0.0,
X7SqqvhmyaM,20231222,9,0.6401137980085349,"described, displaced, damaged, damaged, killed, injured, wiped, flattened, called"
IUTqD0xWG5A,20231026,4,0.21965952773201539,"written, announced, exposed, taken"
V2IX9tnzhyI,20240306,1,0.09643201542912247,dropped
