video_id,publish_date,file_name,search_term,search_column,term_count,relative_frequency
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Israel,Lemma,1,0.09803921568627451
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Gaza,Lemma,10,0.9803921568627451
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Hamas,Lemma,3,0.29411764705882354
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,War,Lemma,1,0.09803921568627451
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Hostages,Lemma,1,0.09803921568627451
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Iran,Lemma,0,0.0
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Palestine,Lemma,0,0.0
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Aid,Lemma,1,0.09803921568627451
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Military,Lemma,0,0.0
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Palestinians,Token,0,0.0
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Israelis,Token,0,0.0
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Palestinian,Lemma,1,0.09803921568627451
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Israeli,Lemma,3,0.29411764705882354
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Humanitarian,Lemma,1,0.09803921568627451
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Ceasefire,Lemma,1,0.09803921568627451
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Rafa,Lemma,1,0.09803921568627451
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Netanyahu,Lemma,0,0.0
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Hospital,Lemma,7,0.6862745098039216
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Children,Lemma,7,0.6862745098039216
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Minister,Lemma,0,0.0
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Attack,Lemma,2,0.19607843137254902
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Killed,Lemma,3,0.29411764705882354
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Hezbollah,Lemma,0,0.0
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Civilians,Lemma,1,0.09803921568627451
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Lebanon,Lemma,0,0.0
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Terrorist,Lemma,0,0.0
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,terror,Lemma,1,0.09803921568627451
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Westbank,Lemma,0,0.0
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Egypt,Lemma,0,0.0
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Support,Lemma,0,0.0
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Biden,Lemma,0,0.0
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Court,Lemma,0,0.0
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Food,Lemma,0,0.0
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Water,Lemma,1,0.09803921568627451
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Electricity,Lemma,0,0.0
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Health,Lemma,2,0.19607843137254902
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Negotiations,Lemma,0,0.0
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Militia,Lemma,0,0.0
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Family,Lemma,1,0.09803921568627451
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Hostage,Lemma,0,0.0
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Refugee,Lemma,0,0.0
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Protest,Lemma,0,0.0
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Islamic,Lemma,0,0.0
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,unra,Lemma,0,0.0
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Unrwa,Lemma,0,0.0
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Diplomatic,Lemma,0,0.0
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Jewish,Lemma,0,0.0
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Suffering,Lemma,0,0.0
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Casualties,Lemma,2,0.19607843137254902
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Death,Lemma,0,0.0
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Militant,Lemma,1,0.09803921568627451
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Soldiers,Lemma,0,0.0
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Human,Lemma,0,0.0
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Prisoners,Lemma,0,0.0
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Escalation,Lemma,0,0.0
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Fuel,Lemma,2,0.19607843137254902
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Supplies,Lemma,1,0.09803921568627451
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Civilian,Lemma,0,0.0
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,idf,Lemma,0,0.0
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Displace,Lemma,0,0.0
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,UN,Lemma,3,0.29411764705882354
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Israeli Government,Lemma,0,0.0
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,October 7th,Lemma,0,0.0
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,United states,Lemma,0,0.0
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Evacuate corridor,Lemma,0,0.0
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Terror attacks,Lemma,0,0.0
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Release hostages,Lemma,0,0.0
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,United Nations,Lemma,0,0.0
_7NksAcG_l8,20240714,'chaos' & 'despair' at gaza hospital after israeli strike on 'safe zone' - un eyewitness  dw news_treetagger_output.txt,Israeli military,Lemma,0,0.0
RDLZkqqOaLM,20240726,'it is time for this war to end' kamala harris speaks after meeting israeli pm netanyahu  dw news_treetagger_output.txt,Israel,Lemma,17,0.8590197069226881
RDLZkqqOaLM,20240726,'it is time for this war to end' kamala harris speaks after meeting israeli pm netanyahu  dw news_treetagger_output.txt,Gaza,Lemma,7,0.35371399696816574
RDLZkqqOaLM,20240726,'it is time for this war to end' kamala harris speaks after meeting israeli pm netanyahu  dw news_treetagger_output.txt,Hamas,Lemma,3,0.15159171298635674
